folio,text in tag,before,after
tc_p002v_preTEI,℥,"['Jai', 'prins', 'minium', '26']","['xpal', 'et', 'broie', 'sur', 'le', 'marbre', '12', '℥', 'verdet', '3']"
tc_p002v_preTEI,℥,"['minium', '26', '℥', 'xpal', 'et', 'broie', 'sur', 'le', 'marbre', '12']","['verdet', '3', '|ʒ|', 'Incorpores', 'le', 'tout', 'ensemble', 'mis', 'dans', 'un']"
tc_p002v_preTEI,|ʒ|,"['xpal', 'et', 'broie', 'sur', 'le', 'marbre', '12', '℥', 'verdet', '3']","['Incorpores', 'le', 'tout', 'ensemble', 'mis', 'dans', 'un', 'et', 'couvert', 'dun']"
tc_p002v_preTEI,℥,"['Jai', 'prins', 'minium', '12']","['christal', '6', '℥', 'verdet', '2', 'grains', 'fuzion', 'doulce', 'vi', 'heures']"
tc_p002v_preTEI,℥,"['Jai', 'prins', 'minium', '12', '℥', 'christal', '6']","['verdet', '2', 'grains', 'fuzion', 'doulce', 'vi', 'heures', 'recuicte', '24', 'heures']"
tc_p002v_preTEI,grains,"['Jai', 'prins', 'minium', '12', '℥', 'christal', '6', '℥', 'verdet', '2']","['fuzion', 'doulce', 'vi', 'heures', 'recuicte', '24', 'heures', 'la', 'mace', 'a']"
tc_p002v_preTEI,℥,"['Caillous', 'ou', 'christal', '8']","['minium', '16', '℥', 'sel', 'de', 'febvre', '4', '℥', 'coryal', 'extincellent']"
tc_p002v_preTEI,℥,"['Caillous', 'ou', 'christal', '8', '℥', 'minium', '16']","['sel', 'de', 'febvre', '4', '℥', 'coryal', 'extincellent', '4', 'grains', 'fuzion']"
tc_p002v_preTEI,℥,"['christal', '8', '℥', 'minium', '16', '℥', 'sel', 'de', 'febvre', '4']","['coryal', 'extincellent', '4', 'grains', 'fuzion', '6', 'heures']"
tc_p002v_preTEI,grains,"['16', '℥', 'sel', 'de', 'febvre', '4', '℥', 'coryal', 'extincellent', '4']","['fuzion', '6', 'heures']"
tc_p003r_preTEI,lb,"['boys', 'ou', 'prendre', 'une', 'branche', 'despine', 'bisarre', 'puys', 'fondre', 'une']","['de', 'poix', 'resine', 'claire', 'de', 'la', 'plus', 'belle', 'et', 'y']"
tc_p003r_preTEI,once,"['resine', 'claire', 'de', 'la', 'plus', 'belle', 'et', 'y', 'mectre', 'une']","['de', 'vermeillon', 'broye', 'subtillement', 'avecq', 'huile', 'de', 'noix', 'Et', 'si']"
tc_p003r_preTEI,quarte partie,"['bien', 'purifiee', 'pour', 'contrefaire', 'ton', 'coral', 'Tu', 'peulx', 'mesler', 'la']","['de', 'mastic', 'parmy', 'ta', 'rousine', 'purifiee', 'pour', 'la', 'rendre', 'plus']"
tc_p003r_preTEI,lb,"['Prendre', 'une']","['de', 'tourmentine', 'de', 'venise', '&', 'la', 'faire', 'chaufer', 'dans', 'un']"
tc_p003r_preTEI,lb,"['pot', 'jusques', 'a', 'ce', 'quelle', 'fremisse', 'et', 'mectre', 'dedans', 'demy']","['dhuile', 'de', 'tormentine', 'de', 'la', 'plus', 'blanche', 'que', 'tu', 'pourras']"
tc_p003r_preTEI,lb,"['hiver', 'quen', 'este', 'il', 'se', 'vend', 'communement', 'quinze', 'sols', 'la']",[]
tc_p003v_preTEI,lb,"['lieu', 'de', 'tourmentine', 'fine', 'Et', 'tu', 'pourras', 'mectre', 'sur', 'deulx']","['de', 'tourmentine', 'commune', 'une', 'lb', 'de', 'tou', 'huile', 'de', 'tourmentine']"
tc_p003v_preTEI,lb,"['tu', 'pourras', 'mectre', 'sur', 'deulx', 'lb', 'de', 'tourmentine', 'commune', 'une']","['de', 'tou', 'huile', 'de', 'tourmentine', 'fine', '&', 'faire', 'tout', 'comme']"
tc_p003v_preTEI,lb,"['Cestuy', 'cy', 'ne', 'reviendra', 'qua', 'cinq', 'ou', 'six', 'sols', 'la']","['&', 'se', 'vend', '40', 'sols', 'la', 'lb']"
tc_p003v_preTEI,lb,"['six', 'sols', 'la', 'lb', '&', 'se', 'vend', '40', 'sols', 'la']",[]
tc_p003v_preTEI,seau,"['Ce', 'vais']","['est', 'pour', 'faire', 'grande', 'quantite', 'dhuile', 'de', 'tourmentine', 'scavoir', 'un']"
tc_p003v_preTEI,lb,"['Et', 'tenir', 'toujours', 'leau', 'froide', 'au', 'refreschissouer', 'den', 'hault', 'La']","['sen', 'vent', 'xii', 'sols', '&', 'au', 'fonds', 'du', 'vaisseau', 'demeure']"
tc_p004r_preTEI,lb,"['le', 'maniant', 'avecq', 'le', 'doigt', 'cest', 'faict', 'Et', 'pour', 'une']","['dhuile', 'daspic', 'tu', 'mectras', 'cinq', 'onces', 'de', 'sandaraque', 'pulverisee', 'combien']"
tc_p004r_preTEI,onces,"['faict', 'Et', 'pour', 'une', 'lb', 'dhuile', 'daspic', 'tu', 'mectras', 'cinq']","['de', 'sandaraque', 'pulverisee', 'combien', 'quaulcuns', 'nen', 'mectent', 'que', 'quattre', 'onces']"
tc_p004r_preTEI,onces,"['onces', 'de', 'sandaraque', 'pulverisee', 'combien', 'quaulcuns', 'nen', 'mectent', 'que', 'quattre']","['Mais', 'il', 'nest', 'pas', 'si', 'bon', 'ni', 'si', 'gras', 'Cestuy']"
tc_p004r_preTEI,seau,"['tu', 'verras', 'que', 'le', 'vieulx', 'vernis', 'sera', 'oste', 'Jecte', 'un']","['deau', 'contre', 'le', 'tableau', 'pour', 'le', 'nettoyer', 'Apres', 'mects', 'le']"
tc_p004v_preTEI,lb,"['bouillir', 'dedans', 'un', 'bon', 'quart', 'dheure', 'Apres', 'mects', 'dans', 'une']","['dhuile', 'ainsy', 'bouilly', 'la', 'grosseur', 'dune', 'noix', 'de', 'poix', 'noire']"
tc_p004v_preTEI,lagrosseur,"['quart', 'dheure', 'Apres', 'mects', 'dans', 'une', 'lb', 'dhuile', 'ainsy', 'bouilly']","['dune', 'noix', 'de', 'poix', 'noire', '&', 'une', 'joinctee', 'de', 'bled']"
tc_p004v_preTEI,patenostres,"['Pour', 'excellent', 'vernis', 'noir', 'mects', 'deulx', 'ou', 'trois']","['de', 'geyct', 'parmy', 'le', 'reste']"
tc_p004v_preTEI,lb,"['En', 'cinq', 'ou', 'six']","['dhuile', 'on', 'mect', 'une', 'lb', 'de', 'Galipot', 'qui', 'coste', '4']"
tc_p004v_preTEI,lb,"['En', 'cinq', 'ou', 'six', 'lb', 'dhuile', 'on', 'mect', 'une']","['de', 'Galipot', 'qui', 'coste', '4', 'sols', '&', 'des', 'gousses', 'dail']"
tc_p005r_preTEI,moictie,"['Prens', 'doncq']","['cuivre', 'de', 'rosette', '&', 'moictie', 'estain', 'doux', 'cest', 'a', 'dire']"
tc_p005r_preTEI,moictie,"['Prens', 'doncq', 'moictie', 'cuivre', 'de', 'rosette', '&']","['estain', 'doux', 'cest', 'a', 'dire', 'fin', 'qui', 'na', 'poinct', 'encores']"
tc_p005r_preTEI,pas,"['son', 'pied', '&', 'quil', 'soict', 'en', 'panchant', 'Apres', 'regarder', 'dun']","['Mays', 'si', 'tu', 'regardes', 'de', 'pres', 'il', 'te', 'represente', 'a']"
tc_p005v_preTEI,au bout dela,"['tourne', 'la', 'concavite', 'vers', 'toy', 'Si', 'tu', 'mects', 'le', 'mirouer']","['table', '&', 'une', 'chandelle', 'dessus', 'il', 'te', 'representera', 'deulx', 'lumieres']"
tc_p005v_preTEI,milieu de la ,"['une', 'foeuille', 'de', 'papier', 'sur', 'la', 'fenestre', '&', 'que', 'le']","['foeille', 'soict', 'sur', 'le', 'trou', 'perce', 'la', 'foeille', 'a', 'lendroict']"
tc_p005v_preTEI,demy lb,"['Prends', 'estaim', 'de', 'glace', 'et', 'le', 'fais', 'fondre', 'mects', 'sur']","['diceluy', 'demy', 'once', 'dargent', 'vif', 'et', 'loste', 'tout', 'aussy', 'tost']"
tc_p005v_preTEI,demy once,"['glace', 'et', 'le', 'fais', 'fondre', 'mects', 'sur', 'demy', 'lb', 'diceluy']","['dargent', 'vif', 'et', 'loste', 'tout', 'aussy', 'tost', 'du', 'foeu', '&']"
tc_p006r_preTEI,une demy coquille de,"['de', 'charbon', 'de', 'saule', 'ou', 'aultant', 'que', 'de', 'suif', '&']","['nois', 'pleine', 'de', 'safran', 'demy', 'brusle', 'aulcuns', 'y', 'mectent', 'un']"
tc_p006v_preTEI,gra,"['estiree', 'celuy', 'qui', 'travaille', 'assis', 'ayant', 'son', 'fourneau', 'de', 'la']","['ndeur', 'dun', 'pot', 'doeillets', 'devant', 'luy', 'la', 'rond', '&', 'continue']"
tc_p007r_preTEI,jours,"['de', 'lhuile', 'gras', 'qui', 'se', 'faict', 'en', 'sept', 'ou', 'huict']","['au', 'soleil', 'avecq', 'de', 'lhuile', 'de', 'noix', 'et', 'du', 'blanc']"
tc_p007v_preTEI,douzaine,"['Prenes', 'une']","['de', 'noix', 'communes', 'seiches', '&', 'lune', 'apres', 'laultre', 'gectes', 'les']"
tc_p007v_preTEI,moictie,"['froidir', 'le', 'vin', 'Et', 'le', 'coules', '&', 'en', 'verses', 'la']","['Car', 'six', 'noix', 'estainctes', 'sont', 'pour', 'une', 'dose', 'Excellent', 'remede']"
tc_p007v_preTEI,dose,"['verses', 'la', 'moictie', 'Car', 'six', 'noix', 'estainctes', 'sont', 'pour', 'une']","['Excellent', 'remede', 'contre', 'la', 'suffocation', 'de', 'matrice']"
tc_p007v_preTEI,demy lb,['Prenes'],"['de', 'marquasite', 'doree', '&', 'jaulne', 'subtillement', 'pulverisee', 'demy', 'once', 'de']"
tc_p007v_preTEI,demy once,"['Prenes', 'demy', 'lb', 'de', 'marquasite', 'doree', '&', 'jaulne', 'subtillement', 'pulverisee']","['de', 'storax', '4', 'lb', 'durine', 'incorpores', 'bien', 'tout', 'ensemble', 'peu']"
tc_p007v_preTEI,lb,"['Prenes', 'demy']","['de', 'marquasite', 'doree', '&', 'jaulne', 'subtillement', 'pulverisee', 'demy', 'once', 'de']"
tc_p007v_preTEI,lb,"['Aquae', 'fabrorum', 'antiquae']","['i', 'boli', 'armeniae', 'in', 'tel', 'tenuissimum', 'pollinem', 'redactae', '℥', 'i']"
tc_p007v_preTEI,℥,"['antiquae', 'lb', 'i', 'boli', 'armeniae', 'in', 'tel', 'tenuissimum', 'pollinem', 'redactae']","['i', 'mellis', 'communis', 'ʒ', 'iii', 'coquantur', 'ad', 'mellis', 'despumationem', 'Tum']"
tc_p007v_preTEI,ʒ,"['armeniae', 'in', 'tel', 'tenuissimum', 'pollinem', 'redactae', '℥', 'i', 'mellis', 'communis']","['iii', 'coquantur', 'ad', 'mellis', 'despumationem', 'Tum', 'refrigerata', 'colentur', 'cum', 'forti']"
tc_p008r_preTEI,six fois autant,"['Mects', 'parmy', 'la', 'pouldre']","['de', 'vif', 'argent', 'et', 'la', 'six', 'iesme', 'partye', 'dicelle', 'de']"
tc_p008r_preTEI,la sixiesme partye,"['parmy', 'la', 'pouldre', 'six', 'fois', 'autant', 'de', 'vif', 'argent', 'et']","['dicelle', 'de', 'vif', 'argent']"
tc_p008v_preTEI,moictie,"['Pourceque', 'parmy', 'le', 'fin', 'estaing', 'ilz', 'meslent', 'bien', 'souvent', 'la']","['de', 'plomb', 'qui', 'rend', 'lestaing', 'sourd', 'pour', 'corriger', 'cela', 'ilz']"
tc_p008v_preTEI,huictiesme partye,"['tu', 'pourras', '&', 'le', 'cave', 'au', 'milieu', 'Mectes', 'y', 'la']","['de', '☿', 'au', '&', 'la', 'dedans', 'frottes', '&', 'uses', 'y']"
tc_p009v_preTEI,cane,"['Cros', 'doibt', 'du', 'iie', 'de', 'Septembre', '1581', '/', 'pour', '1']","['toille', 'babtiste', 'a', '8', 'livres', 'Canne', 'Jedis', '8', 't']"
tc_p009v_preTEI,Canne,"['Cros', 'doibt', 'du', 'iie', 'de', 'septembre', '1581', '/', 'pour', '1']","['toille', 'babtiste', 'a', '8', 'livres', 'Canne', 'Ainsy', 'que', 'appert', 'au']"
tc_p010r_preTEI,lb,"['rouille', '&', 'par', 'sa', 'pesanteur', 'coulante', 'prenant', 'du', 'plomb', 'i']","['et', 'le', 'faire', 'fondre', 'et', 'lescumer', 'et', 'purifier', 'de', 'sa']"
tc_p010r_preTEI,℥,"['lescumer', 'et', 'purifier', 'de', 'sa', 'crasse', 'puys', 'verse', 'dedans', 'quattre']","['de', 'sel', 'commun', 'pulverise', 'subtilement', 'et', 'prends', 'bien', 'garde', 'quil']"
tc_p010v_preTEI,heures,"['miel', 'bien', 'cuit', '&', 'tourmentine', 'de', 'colle', 'forte', 'trempee', '24']","['dans', 'leau', 'puys', 'legierement', 'mise', 'a', 'bouillir', 'affin', 'quelle', 'ne']"
tc_p015r_preTEI,moys,"['metal', 'cuivre', 'ou', 'letton', 'Quand', 'le', 'sable', 'a', 'servi', 'un']","['il', 'en', 'fault', 'prendre', 'de', 'recent', 'pourceque', 'celuy', 'qui', 'a']"
tc_p016r_preTEI,pan & demy,"['ilz', 'font', 'un', 'fourneau', 'en', 'ceste', 'sorte', 'qui', 'ha', 'un']","['de', 'large', '&', 'un', 'pan', '&', 'demy', 'de', 'deulx', 'pan']"
tc_p016r_preTEI,pan & demy,"['qui', 'ha', 'un', 'pan', '&', 'demy', 'de', 'large', '&', 'un']","['de', 'deulx', 'pan', 's', 'de', 'profond', 'Et', 'la', 'tuelle', 'qui']"
tc_p016r_preTEI,pans,"['demy', 'de', 'large', '&', 'un', 'pan', '&', 'demy', 'de', 'deulx']","['de', 'profond', 'Et', 'la', 'tuelle', 'qui', 'est', 'le', 'canon', 'par']"
tc_p016r_preTEI,un pan,"['effect', 'ilz', 'font', 'un', 'fourneau', 'en', 'ceste', 'sorte', 'qui', 'ha']","['&', 'demy', 'de', 'large', '&', 'un', 'pan', '&', 'demy', 'de']"
tc_p016r_preTEI,pan,"['ilz', 'font', 'un', 'fourneau', 'en', 'ceste', 'sorte', 'qui', 'ha', 'un']","['&', 'demy', 'de', 'large', '&', 'un', 'pan', '&', 'demy', 'de']"
tc_p016r_preTEI,pan,['Chasque'],"['de', 'gueule', 'de', 'four', 'en', 'quarre', 'contient', 'un', 'quintal', '&']"
tc_p016r_preTEI,quintal & demy,"['Chasque', 'pan', 'de', 'gueule', 'de', 'four', 'en', 'quarre', 'contient', 'un']","['&', 'le', 'pan', 'du', 'fourneau', 'rond', 'en', 'tient', 'deulx', 'quintal']"
tc_p016r_preTEI,pan,"['four', 'en', 'quarre', 'contient', 'un', 'quintal', '&', 'demy', '&', 'le']","['du', 'fourneau', 'rond', 'en', 'tient', 'deulx', 'quintals']"
tc_p016r_preTEI,quintals,"['demy', '&', 'le', 'pan', 'du', 'fourneau', 'rond', 'en', 'tient', 'deulx']",[]
tc_p016r_preTEI,quintals,"['faire', 'couler', 'la', 'matiere', 'fondue', 'Tu', 'y', 'pourras', 'fondre', 'deulx']","['de', 'fer', 'a', 'chasque', 'fois', 'Et', 'pource', 'faire', 'tu', 'choisiras']"
tc_p016r_preTEI,plus gros,"['fer', 'a', 'chasque', 'fois', 'Et', 'pource', 'faire', 'tu', 'choisiras', 'le']","['charbon', 'que', 'tu', 'pourras', 'trouver', '&', 'en', 'poses', 'une', 'charge']"
tc_p016v_preTEI,pans,"['qui', 'est', 'communement', 'de', 'la', 'haulteur', 'de', 'd', 'trois']","['&', 'fera', 'bien', 'recuire', 'le', 'Mays', 'premierement', 'il', 'fault', 'que']"
tc_p016v_preTEI,lb,"['fer', 'non', 'pas', 'tout', 'au', 'coup', 'Mays', 'dix', 'ou', 'quinze']","['a', 'chasque', 'fois', 'Et', 'comme', 'celuy', 'sera', 'avalle', '&', 'au']"
tc_p016v_preTEI,palles,"['remects', 'en', 'tousjours', 'aultant', 'Et', 'charge', 'de', 'trois', 'ou', 'quattre']","['de', 'charbon', 'nouveau', 'qui', 'soict', 'du', 'plus', 'gros', '&', 'remoille']"
tc_p016v_preTEI,quintals,"['que', 'ton', 'fourneau', 'sera', 'plein', 'de', 'matiere', 'comme', 'de', 'deulx']","['ou', 'de', 'moings', 'si', 'tu', 'nen', 'en', 'pas', 'tant', 'Tu']"
tc_p016v_preTEI,aiguillee,"['Ayes', 'une']","['de', 'soye', 'deliee', '&', 'la', 'passe', 'serre', 'sur', 'les', 'endroits']"
tc_p017r_preTEI,pas,"['canon', 'tire', 'de', 'poincte', 'en', 'blanc', 'cinq', 'ou', 'six', 'cens']","['Mays', 'non', 'pas', 'pour', 'fayre', 'batterie', 'pour', 'laquelle', 'il', 'ne']"
tc_p017r_preTEI,pas,"['poincte', 'en', 'blanc', 'cinq', 'ou', 'six', 'cens', 'pas', 'Mays', 'non']","['pour', 'fayre', 'batterie', 'pour', 'laquelle', 'il', 'ne', 'peult', 'faire', 'bonne']"
tc_p017r_preTEI,pas,"['il', 'ne', 'peult', 'faire', 'bonne', 'execution', 'que', 'de', 'deulx', 'cens']","['ou', 'trois', 'cens', 'pas', 'pour', 'le', 'plus', 'Et', 'ne', 'doit']"
tc_p017r_preTEI,qualibre du,"['ne', 'doit', 'estre', 'plus', 'loing', 'Sa', 'balle', 'poise', 'communement', 'du']","['roy', '40', 'lb', 'Il', 'y', 'a', 'canon', 'perrier', 'qui', 'poyse']"
tc_p017r_preTEI,lb,"['loing', 'Sa', 'balle', 'poise', 'communement', 'du', 'qualibre', 'du', 'roy', '40']","['Il', 'y', 'a', 'canon', 'perrier', 'qui', 'poyse', 'xxv', 'quintals', 'qui']"
tc_p017r_preTEI,quintals,"['40', 'lb', 'Il', 'y', 'a', 'canon', 'perrier', 'qui', 'poyse', 'xxv']","['qui', 'sont', 'petits', 'canons', 'court', 'cest', 'pour', 'battre', 'les', 'cassemattes']"
tc_p017r_preTEI,qualibre de ,"['&', 'pour', 'battre', 'de', 'pres', 'il', 'porte', 'grand', 'balle', 'de']","['roy', 'comme', 'les', 'aultres', 'scavoir', 'de', '40', 'lb', 'Il', 'ne']"
tc_p017r_preTEI,lb,"['de', 'qualibre', 'de', 'roy', 'comme', 'les', 'aultres', 'scavoir', 'de', '40']","['Il', 'ne', 'porte', 'a', 'la', 'culasse', 'que', 'lespesseur', 'de', 'deux']"
tc_p017r_preTEI,espesseurde,"['40', 'lb', 'Il', 'ne', 'porte', 'a', 'la', 'culasse', 'que', 'l']","['deux', 'balles', '&', 'un', 'quart', 'de', 'balle', 'Le', 'devant', 'ne']"
tc_p017r_preTEI,espesseur dune balle & la troisiesme partye dune balle,"['un', 'quart', 'de', 'balle', 'Le', 'devant', 'ne', 'porte', 'que', 'l']","['Sa', 'charge', 'est', 'semblable', 'a', 'celle', 'des', 'plus', 'grands', 'scavoir']"
tc_p017r_preTEI,lb,"['est', 'semblable', 'a', 'celle', 'des', 'plus', 'grands', 'scavoir', 'de', 'xx']","['Et', 'quand', 'on', 'les', 'veult', 'essayer', 'il', 'ne', 'fault', 'poinct']"
tc_p017r_preTEI,pans,"['courte', 'Le', 'canon', 'perrier', 'est', 'communement', 'de', 'Sept', 'a', 'huict']","['de', 'long', 'Il', 'est', 'vray', 'que', 'cest', 'pan', 'de', 'montpellier']"
tc_p017r_preTEI,pande,"['huict', 'pan', 's', 'de', 'long', 'Il', 'est', 'vray', 'que', 'cest']","['montpellier', '&', 'non', 'pas', 'pan', 'de', 'roy', 'qui', 'nest', 'pas']"
tc_p017r_preTEI,pan de,"['huict', 'pan', 's', 'de', 'long', 'Il', 'est', 'vray', 'que', 'cest']","['montpellier', '&', 'non', 'pas', 'pan', 'de', 'roy', 'qui', 'nest', 'pas']"
tc_p017r_preTEI,pan de,"['est', 'vray', 'que', 'cest', 'pan', 'de', 'montpellier', '&', 'non', 'pas']","['roy', 'qui', 'nest', 'pas', 'usite', 'en', 'la', 'fonte', 'de', 'canons']"
tc_p017r_preTEI,pan de ,"['la', 'fonte', 'de', 'canons', 'pour', 'les', 'faire', 'bons', 'Car', 'le']","['montpellier', 'estant', 'plus', 'de', 'court', 'les', 'canons', 'qui', 'y', 'sont']"
tc_p017r_preTEI,p,"['Le', 'canon', 'tire', 'de']","['oincte', 'en', 'blanc', 'cinq', 'ou', 'six', 'cens', 'p', 'as', 'Mays']"
tc_p017r_preTEI,pas,"['balle', 'ne', 'porte', 'de', 'vollee', 'que', 'mille', 'ou', 'xii', 'cens']","['sans', 'se', 'reposer', '&', 'faire', 'bon', 'communement', 'il', 'faict', 'iii']"
