folio,text in tag,before,after
tc_p001r_preTEI,pastel,"['pres', 'sainct', 'Jaques', 'de', 'la', 'boucherie', 'courroyeur', 'essayer', 'fleur', 'de']",[]
tc_p001v_preTEI,pruneaux,['Les'],"['de', 'Sainct', 'Antonin', '&', 'si', 'tu', 'veulx', 'parmy', 'tu', 'pourras']"
tc_p001v_preTEI,mauves,"['si', 'tu', 'veulx', 'parmy', 'tu', 'pourras', 'mectre', 'des', 'foeilles', 'de']","['&', 'de', 'viole', 'y', 'adjoustant', 'du', 'sucre', '&', 'si', 'on']"
tc_p001v_preTEI,viole,"['parmy', 'tu', 'pourras', 'mectre', 'des', 'foeilles', 'de', 'mauves', '&', 'de']","['y', 'adjoustant', 'du', 'sucre', '&', 'si', 'on', 'veult', 'un', 'peu']"
tc_p001v_preTEI,canelle,"['adjoustant', 'du', 'sucre', '&', 'si', 'on', 'veult', 'un', 'peu', 'de']","['pour', 'lestomac']"
tc_p001v_preTEI,guimave,"['bien', 'dans', 'un', 'bouillon', 'de', 'poulet', 'de', 'la', 'racine', 'de']","['la', 'fresche', 'est', 'plus', 'remollitive']"
tc_p001v_preTEI,guindoles,"['Battre', 'du', 'cirop', 'de']","['doulces', 'avecq', 'de', 'leau', '&', 'en', 'prendre', 'au', 'matin', 'lasche']"
tc_p002r_preTEI,choux,"['huile', 'de', 'jacob', 'Et', 'sel', 'tire', 'de', 'la', 'cendre', 'de']",[]
tc_p003r_preTEI,noix,"['mectre', 'une', 'once', 'de', 'vermeillon', 'broye', 'subtillement', 'avecq', 'huile', 'de']","['Et', 'si', 'tu', 'y', 'adjoustes', 'un', 'peu', 'de', 'laque', 'platte']"
tc_p004v_preTEI,lin,"['Prens', 'huile', 'de']","['ou', 'pour', 'meilleur', 'marche', 'de', 'lhuile', 'de', 'noix', 'Et', 'la']"
tc_p004v_preTEI,noix,"['huile', 'de', 'lin', 'ou', 'pour', 'meilleur', 'marche', 'de', 'lhuile', 'de']","['Et', 'la', 'fais', 'desgraisser', 'avecq', 'des', 'aulx', '&', 'oignons', 'queues']"
tc_p004v_preTEI,aulx,"['de', 'lhuile', 'de', 'noix', 'Et', 'la', 'fais', 'desgraisser', 'avecq', 'des']","['&', 'oignons', 'queues', 'de', 'pourrce', 'aulx', 'aulcuns', 'adjoustent', 'des', 'crostes']"
tc_p004v_preTEI,oigno,"['de', 'noix', 'Et', 'la', 'fais', 'desgraisser', 'avecq', 'des', 'aulx', '&']","['ns', 'queues', 'de', 'pourrceaulx', 'aulcuns', 'adjoustent', 'des', 'crostes', 'de', 'pain']"
