folio,text in tag,before,after
tl_p001v_preTEI,leaves of ,"['Antonin', '&', 'if', 'you', 'like', 'you', 'want', 'put', 'among', 'them']","['mallow', '&', 'gilliflower', 'adding', 'in', 'sugar', '&', 'if', 'one', 'wants']"
tl_p001v_preTEI,sugar,"['put', 'among', 'them', 'leaves', 'of', 'mallow', '&', 'gilliflower', 'adding', 'in']","['&', 'if', 'one', 'wants', 'a', 'little', 'cinnamon', 'for', 'the', 'stomach']"
tl_p001v_preTEI,syrup of sweet ,['Beating'],"['jujubes', 'with', 'water', '&', 'taking', 'it', 'in', 'the', 'morning', 'loosens']"
tl_p001v_preTEI,water,"['Beating', 'syrup', 'of', 'sweet', 'jujubes', 'with']","['&', 'taking', 'it', 'in', 'the', 'morning', 'loosens', 'the', 'belly']"
tl_p002r_preTEI,Turpentine oil,[],"['oil', 'of', 'Jacob', 'and', 'salt', 'extracted', 'from', 'cabbage', 'ash']"
tl_p002r_preTEI,oil of Jacob,"['Turpentine', 'oil']","['and', 'salt', 'extracted', 'from', 'cabbage', 'ash']"
tl_p002r_preTEI,salt extractedfrom ,"['Turpentine', 'oil', 'oil', 'of', 'Jacob', 'and']","['cabbage', 'ash']"
tl_p002v_preTEI,minium,"['I', 'have', 'taken']","['26', '℥', 'crystal', 'and', 'ground', 'on', 'marble', '12', '℥', 'verdet']"
tl_p002v_preTEI,crystal,"['I', 'have', 'taken', 'minium', '26', '℥']","['and', 'ground', 'on', 'marble', '12', '℥', 'verdet', '3', '|ʒ|', 'Incorporate']"
tl_p002v_preTEI,marble,"['I', 'have', 'taken', 'minium', '26', '℥', 'crystal', 'and', 'ground', 'on']","['12', '℥', 'verdet', '3', '|ʒ|', 'Incorporate', 'all', 'together', 'put', 'in']"
tl_p002v_preTEI,verdet,"['minium', '26', '℥', 'crystal', 'and', 'ground', 'on', 'marble', '12', '℥']","['3', '|ʒ|', 'Incorporate', 'all', 'together', 'put', 'in', 'a', 'crucible', 'covered']"
tl_p002v_preTEI,minium,"['I', 'have', 'taken']","['12', '℥', 'crystal', '6', '℥', 'verdet', '2', 'grains', 'Soft', 'fusion']"
tl_p002v_preTEI,crystal,"['I', 'have', 'taken', 'minium', '12', '℥']","['6', '℥', 'verdet', '2', 'grains', 'Soft', 'fusion', 'vi', 'hours', 'refired']"
tl_p002v_preTEI,verdet,"['I', 'have', 'taken', 'minium', '12', '℥', 'crystal', '6', '℥']","['2', 'grains', 'Soft', 'fusion', 'vi', 'hours', 'refired', '24', 'hours', 'The']"
tl_p002v_preTEI,Pebbles,[],"['or', 'crystal', '8', '℥', 'minium', '16', '℥', 'blacksmith', 's', 'salt']"
tl_p002v_preTEI,crystal,"['Pebbles', 'or']","['8', '℥', 'minium', '16', '℥', 'blacksmith', 's', 'salt', '4', '℥']"
tl_p002v_preTEI,minium,"['Pebbles', 'or', 'crystal', '8', '℥']","['16', '℥', 'blacksmith', 's', 'salt', '4', '℥', 'sparkling', 'coryal', '4']"
tl_p003r_preTEI,wood,"['One', 'needs', 'to', 'first', 'make', 'the', 'branches', 'of']","['or', 'take', 'a', 'bizarre', 'thorn', 'branch', 'then', 'melt', 'a', 'lb']"
tl_p003r_preTEI,thorn branch,"['make', 'the', 'branch', 'es', 'of', 'wood', 'or', 'take', 'a', 'bizarre']","['then', 'melt', 'a', 'lb', 'of', 'the', 'most', 'beautiful', 'clear', 'pitch']"
tl_p003r_preTEI,clear pitch resin,"['thorn', 'branch', 'then', 'melt', 'a', 'lb', 'of', 'the', 'most', 'beautiful']","['and', 'put', 'in', 'one', 'ounce', 'of', 'subtly', 'ground', 'vermilion', 'with']"
tl_p003r_preTEI,subtly ground vermilion,"['beautiful', 'clear', 'pitch', 'resin', 'and', 'put', 'in', 'one', 'ounce', 'of']","['with', 'walnut', 'oil', 'and', 'if', 'you', 'add', 'in', 'a', 'little']"
tl_p003r_preTEI,resin,"['then', 'melt', 'a', 'lb', 'of', 'the', 'most', 'beautiful', 'clear', 'pitch']","['and', 'put', 'in', 'one', 'ounce', 'of', 'subtly', 'ground', 'vermilion', 'with']"
tl_p003r_preTEI,charcoal,"['vivid', 'and', 'stir', 'everything', 'in', 'the', 'resin', 'melted', 'over', 'a']","['fire', 'and', 'not', 'of', 'flame', 'for', 'fear', 'that', 'it', 'catches']"
tl_p003r_preTEI,charcoal,"['on', 'it', 'turn', 'the', 'branch', 'over', 'the', 'heat', 'of', 'the']",[]
tl_p003r_preTEI,Colophony,[],"['is', 'nothing', 'other', 'than', 'recooked', 'resin', 'To', 'do', 'it', 'well']"
tl_p003r_preTEI,resin,"['Colophony', 'is', 'nothing', 'other', 'than', 'recooked']","['To', 'do', 'it', 'well', 'take', 'a', 'leaded', 'pot', '&', 'melt']"
tl_p003r_preTEI,leaded,"['other', 'than', 'recooked', 'resin', 'To', 'do', 'it', 'well', 'take', 'a']","['pot', '&', 'melt', 'the', 'resin', '&', 'boil', 'it', 'over', 'the']"
tl_p003r_preTEI,resin,"['do', 'it', 'well', 'take', 'a', 'leaded', 'pot', '&', 'melt', 'the']","['&', 'boil', 'it', 'over', 'the', 'brazier', 'a', 'good', 'hour', '&']"
tl_p003r_preTEI,water,"['appears', 'not', 'to', 'be', 'thick', 'but', 'clear', '&', 'liquid', 'like']","['&', 'easily', 'runs', '&', 'flows', 'from', 'the', 'tip', 'of', 'a']"
tl_p003r_preTEI,coarse canvas,"['grind', 'it', '&', 'test', 'it', 'Then', 'pour', 'it', 'through', 'a']","['or', 'a', 'very', 'light', 'tammy', 'cloth', 'such', 'that', 'when', 'pouring']"
tl_p003r_preTEI,very light tammycloth,"['it', 'Then', 'pour', 'it', 'through', 'a', 'coarse', 'canvas', 'or', 'a']","['such', 'that', 'when', 'pouring', 'it', 'falls', 'into', 'the', 'strongest', 'vinegar']"
tl_p003r_preTEI,vinegar,"['cloth', 'such', 'that', 'when', 'pouring', 'it', 'falls', 'into', 'the', 'strongest']","['that', 'you', 'can', 'find', 'for', 'the', 'vinegar', 'gives', 'it', 'strength']"
tl_p003r_preTEI,vinegar,"['into', 'the', 'strongest', 'vinegar', 'that', 'you', 'can', 'find', 'for', 'the']","['gives', 'it', 'strength', '&', 'prevents', 'it', 'from', 'being', 'so', 'fragile']"
tl_p003r_preTEI,coral,"['it', 'will', 'be', 'beautiful', '&', 'well', 'purified', 'For', 'counterfeiting', 'your']","['you', 'can', 'mix', 'a', 'quarter', 'part', 'of', 'mastic', 'into', 'your']"
tl_p003r_preTEI,mastic,"['counterfeiting', 'your', 'coral', 'you', 'can', 'mix', 'a', 'quarter', 'part', 'of']","['into', 'your', 'purified', 'resin', 'to', 'render', 'it', 'more', 'firm', 'and']"
tl_p003r_preTEI,purified resin,"['you', 'can', 'mix', 'a', 'quarter', 'part', 'of', 'mastic', 'into', 'your']","['to', 'render', 'it', 'more', 'firm', 'and', 'more', 'beautiful', '&', 'if']"
tl_p003r_preTEI,mastic,"['&', 'if', 'you', 'were', 'to', 'take', 'a', 'single', 'tear', 'of']","['it', 'would', 'be', 'all', 'the', 'better', 'but', 'it', 'would', 'be']"
tl_p003r_preTEI,Sulfur,[],"['&', 'vermilion', 'makes', 'the', 'same', 'effect']"
tl_p003r_preTEI,vermilion,"['Sulfur', '&']","['makes', 'the', 'same', 'effect']"
