folio,text in tag,before,after
tc_p004r_preTEI,quiterniers,"['de', 'polir', 'leur', 'hebene', 'le', 'vernissent', 'de', 'cestuy', 'cy', 'Les']","['aussi', 'Cestuy', 'cy', 'nest', 'pas', 'si', 'propre', 'pour', 'les', 'tableaulx']"
tc_p007r_preTEI,quiternier,"['salee', 'Les', 'menusiers', 'en', 'collent', 'leurs', 'chef', 'doeuvre', 'et', 'les']","['sen', 'servent', 'aulx', 'ouvrages', 'delicates', 'Elle', 'veult', 'estre', 'fort', 'battue']"
tc_p104v_preTEI,cistre,"['tout', 'aultour', 'en', 'lespesseur', 'et', 'attaches', 'des', 'plumes', 'comme', 'pour']","['ou', 'espinette', '&', 'les', 'dispose', 'selon', 'la', 'chancon', 'que', 'tu']"
tc_p104v_preTEI,espinette,"['en', 'lespesseur', 'et', 'attaches', 'des', 'plumes', 'comme', 'pour', 'cistre', 'ou']","['&', 'les', 'dispose', 'selon', 'la', 'chancon', 'que', 'tu', 'vouldras', 'faire']"
tc_p111r_preTEI,espinette,"['de', 'moingdre', '&', 'du', 'delie', 'p', 'comme', 'grosse', 'corde', 'd']","['pour', 'les', 'petits', 'ouvrages', 'Tu', 'en', 'fais', 'estant', 'de', 'recuit']"
tc_p113r_preTEI,espinettes,"['subtiles', '&', 'delies', 'quasi', 'comme', 'les', 'plus', 'grosses', 'cordes', 'd']","['Et', 'est', 'mieulx', 'quelles', 'soient', 'de', 'fil', 'de', 'fer', 'qui']"
tc_p113r_preTEI,mandorre,"['estant', 'bien', 'pose', 'sur', 'la', 'tourtelle', 'faicte', 'en', 'forme', 'de']","['pose', 'tout', 'aultour', 'un', 'entour', 'de', 'mesme', 'terre', 'en', 'ceste']"
tc_p113v_preTEI,mandorre,"['avecq', 'un', 'grand', 'cousteau', 'luy', '||', 'donnant', 'forme', 'longue', 'de']",['Rasche']
tc_p114r_preTEI,cistre,"['faire', 'des', 'poinctes', 'delicates', 'de', 'fil', 'de', 'cist', 'cordes', 'de']","['de', 'longues', '&', 'courtes']"
tc_p114v_preTEI,mandorre,"['adapte', 'tes', 'deulx', 'moles', 'uniment', 'ensemble', 'en', 'forme', 'longuette', 'de']","['comme', 'dict', 'est', 'a', 'cause', 'du', 'gect', 'Et', 'trempe', 'un']"
tc_p115r_preTEI,mandorre,"['se', 'faict', 'le', 'gect', 'qui', 'est', 'le', 'bout', 'de', 'la']","['NEt', 'ayant', 'faict', 'ton', 'gect', 'noublye', 'pas', 'de', 'faire', 'dans']"
tc_p116r_preTEI,mandorle,"['&', 'alum', 'destrempe', 'dessus', 'ayant', 'dispose', 'ton', 'image', 'sur', 'la']","['dardile', '&', 'y', 'ayant', 'faict', 'un', 'contour', 'de', 'pour', 'luy']"
tc_p117r_preTEI,mandorre,"['comme', 'tu', 'as', 'faict', 'pour', 'les', 'serpens', 'en', 'forme', 'de']","['ainsy', 'que', 'selon', 'la', 'grandeur', 'de', 'ton', 'herbe', 'Puys', 'prens']"
tc_p117r_preTEI,mandorle,"['passe', 'la', 'queue', 'de', 'fer', 'par', 'le', 'bout', 'de', 'la']","['de', 'terre', 'affin', 'que', 'la', 'quille', 'de', 'cire', 'q', 'ou']"
tc_p117r_preTEI,mand,"['comme', 'tu', 'as', 'faict', 'pour', 'les', 'serpens', 'en', 'forme', 'de']","['orre', 'ainsy', 'que', 'selon', 'la', 'grandeur', 'de', 'ton', 'herbe', 'Puys']"
tc_p117r_preTEI,mandorre,"['herbe', 'ainsy', 'couchee', 'quelle', 'demeure', 'au', 'milieu', 'de', 'la', 'dicte']","['sans', 'toucher', 'en', 'aulcun', 'coste', 'affin', 'que', 'lae', 'sable', 'que']"
tc_p117r_preTEI,mandorle,"['ou', 'lherbe', 'est', 'hantee', 'se', 'joingne', 'au', 'bout', 'de', 'la']","['de', 'terre', 'Et', 'dispose', 'tellement', 'ton', 'herbe', 'ainsy', 'couchee', 'quelle']"
tc_p156v_preTEI,espinette,"['chaulde', 'Tu', 'couperas', 'aussy', 'de', 'petits', 'bouts', 'de', 'corde', 'd']","['&', 'les', 'colleras', 'avecq', 'ladicte', 'colle', '&', 'estants', 'secs', 'Cest']"
tc_p157r_preTEI,espinette,"['adaptes', 'en', 'de', 'poil', 'de', 'porc', 'ou', 'de', 'corde', 'd']","['Arreste', 'la', 'foeille', 'sur', 'la', 'platene', 'dardille', 'avecq', 'deux', 'poinctes']"
tc_p165v_preTEI,espinette,"['bouche', 'ouverte', 'mects', 'y', 'un', 'petit', 'bout', 'de', 'corde', 'd']","['qui', 'ne', 'tiendra', 'point', 'de', 'lieu']"
