folio,text in tag,before,after
tc_p005v_preTEI,touches,"['Il', 'gecte', 'la', 'representation', 'hors', 'de', 'soy', 'Et', 'si', 'tu']","['du', 'doigt', 'le', 'lieu', 'loeil', 'de', 'la', 'representation', 'un', 'aultre']"
tc_p008v_preTEI,sourd,"['meslent', 'bien', 'souvent', 'la', 'moictie', 'de', 'plomb', 'qui', 'rend', 'lestaing']","['pour', 'corriger', 'cela', 'ilz', 'meslent', 'de', 'la', 'limaille', 'de', 'letton']"
tc_p008v_preTEI,sonnant,"['meslent', 'de', 'la', 'limaille', 'de', 'letton', 'parmy', 'pour', 'le', 'rendre']",[]
tc_p017v_preTEI,grossevoix,"['fin', 'sur', 'un', 'quintal', 'de', 'rosette', 'pour', 'luy', 'donner', 'plus']","['Car', 'tant', 'plus', 'il', 'y', 'a', 'destaing', 'tant', 'plus', 'le']"
tc_p017v_preTEI,son,"['est', 'de', 'treze', 'ou', 'quatorze', 'pans', 'de', 'long', 'Mays', 'ilz']","['t', 'fort', 'fascheux', 'a', 'conduire', 'La', 'droicte', 'batterie', 'pour', 'avoir']"
tc_p028v_preTEI,sonnante,"['lb', 'de', 'rosette', 'sur', 'un', 'quintal', 'pour', 'rendre', 'la', 'vaisselle']",[]
tc_p033r_preTEI,mal,"['comme', 'le', 'dos', 'dun', 'costeau', 'affin', 'quelle', 'ne', 'puysse', 'fayre']","['Et', 'tu', 'monstreras', 'seulement', 'lendroict', 'du', 'cousteau', 'qui', 'nest', 'pas']"
tc_p033v_preTEI,froideur,"['pensant', 'avoyr', 'la', 'piece', 'au', 'front', 'a', 'cause', 'de', 'la']","['de', 'la', 'salive', 'Il', 'secouera', 'les', 'oreilles', '&', 'nadvancera', 'rien']"
tc_p033v_preTEI,taster,"['pertuis', 'du', 'bort', '&', 'sil', 'nentroict', 'bien', 'faisant', 'semblant', 'de']","['du', 'vin', 'suppe', '&', 'attire', 'un', 'peu', 'lair', 'a', 'toy']"
tc_p034r_preTEI,hault,"['Sil', 'sessaye', 'de', 'le', 'dirae', 'mays', 'il', 'fault', 'quil', 'parle']","['quand', 'il', 'sera', 'alle', '&', 'revenu', 'tu', 'luy', 'diras', 'quil']"
tc_p036v_preTEI,mauvays goust a la viande,"['pots', 'de', 'cuisine', 'se', 'font', 'bons', 'pour', 'ne', 'donner', 'poinct']","['avecq', 'du', 'mesme', 'metal', 'duquel', 'les', 'cloches', 'se', 'font', 'Il']"
tc_p036v_preTEI,puant,"['le', 'letton', 'de', 'soymesme', '&', 'a', 'son', 'seul', 'attouchement', 'est']","['&', 'de', 'mauvaise', 'odeur']"
tc_p036v_preTEI,mauvaiseodeur,"['soymesme', '&', 'a', 'son', 'seul', 'attouchement', 'est', 'puant', '&', 'de']",[]
tc_p037v_preTEI,puanteur,"['prendra', 'aulcunement', 'Et', 'mesme', 'si', 'le', 'vitrier', 'qui', 'travaille', 'a']","['de', 'nes', 'ou', 'de', 'bouche', 'la', '&', 'quil', 'alene', 'sur']"
