folio,text in tag,before,after
tl_p005v_preTEI,touch,"['It', 'casts', 'the', 'representation', 'out', 'of', 'itself', 'and', 'if', 'you']","['le', 'lieu', 'the', 'eye', 'of', 'the', 'representation', 'with', 'your', 'finger']"
tl_p008v_preTEI,deaf,"['often', 'mix', 'a', 'half', 'of', 'lead', 'which', 'renders', 'the', 'tin']","['to', 'correct', 'this', 'they', 'mix', 'in', 'latten', 'filings', 'to', 'render']"
tl_p008v_preTEI,sonorous,"['correct', 'this', 'they', 'mix', 'in', 'latten', 'filings', 'to', 'render', 'it']",[]
tl_p017v_preTEI,biggervoice,"['tin', 'for', 'one', 'quintal', 'of', 'rosette', 'to', 'give', 'it', 'a']","['For', 'the', 'more', 'tin', 'there', 'is', 'the', 'clearer', 'the', 'sound']"
tl_p017v_preTEI,sound,"['voice', 'For', 'the', 'more', 'tin', 'there', 'is', 'the', 'clearer', 'the']","['is', 'Its', 'For', 'gun', 'founding', 'if', 'one', 'provides', 'the', 'material']"
tl_p028v_preTEI,sonorous,"['lb', 'of', 'rosette', 'on', 'a', 'quintal', 'to', 'render', 'the', 'plate']",[]
tl_p033r_preTEI,pain,"['back', 'of', 'a', 'knife', 'in', 'order', 'that', 'it', 'cannot', 'cause']","['And', 'you', 'will', 'only', 'show', 'the', 'part', 'of', 'the', 'knife']"
tl_p033v_preTEI,coolness,"['he', 'has', 'the', 'piece', 'on', 'his', 'forehead', 'due', 'to', 'the']","['of', 'the', 'saliva', 'he', 'will', 'shake', 'his', 'ears', '&', 'will']"
tl_p033v_preTEI,tasting,"['not', 'enter', 'well', 'making', 'it', 'seem', 'as', 'if', 'you', 'are']","['the', 'wine', 'suck', '&', 'draw', 'in', 'a', 'little', 'air', 'drinking']"
tl_p034r_preTEI,loudly,"['tries', 'to', 'saya', 'it', 'but', 'be', 'sure', 'that', 'he', 'speaks']","['once', 'he', 'has', 'been', 'there', '&', 'back', 'you', 'will', 'tell']"
tl_p036v_preTEI,bad taste tothe food,"['pots', 'are', 'made', 'well', 'in', 'order', 'not', 'to', 'give', 'a']","['with', 'the', 'same', 'metal', 'the', 'bells', 'are', 'made', 'of', 'It']"
tl_p036v_preTEI,stinking,"['the', 'latten', 'by', 'itself', '&', 'at', 'a', 'mere', 'touch', 'is']","['&', 'of', 'bad', 'odor']"
tl_p036v_preTEI,bad odor,"['itself', '&', 'at', 'a', 'mere', 'touch', 'is', 'stinking', '&', 'of']",[]
tl_p037v_preTEI,stench,"['And', 'likewise', 'if', 'the', 'glassworker', 'who', 'is', 'working', 'has', 'a']","['from', 'his', 'nose', 'or', 'his', 'mouth', 'la', '&', 'he', 'breathes']"
tl_p039r_preTEI,taste as of,"['is', 'known', 'when', 'put', 'in', 'the', 'mouth', 'it', 'gives', 'a']","['vinegar', 'or', 'when', 'crumbling', '&', 'breaking', 'it', 'it', 'has', 'some']"
tl_p044r_preTEI,sonorous,"['copper', 'shards', 'that', 'coppersmiths', 'make', 'This', 'makes', 'the', 'plate', 'more']","['and', 'it', 'is', 'not', 'as', 'breakable']"
tl_p047r_preTEI,bad odor,"['will', 'go', 'away', 'It', 'is', 'true', 'that', 'it', 'has', 'a']","['but', 'you', 'can', 'mix', 'it', 'with', 'rose', 'honey', '&', 'a']"
tl_p047v_preTEI,taste,"['&', 'soak', 'it', 'in', 'water', '&', 'it', 'will', 'have', 'the']","['of', 'wine']"
tl_p055r_preTEI,little whistle,"['ramrod', 'as', 'you', 'know', '&', 'it', 'will', 'only', 'make', 'a']",[]
tl_p067r_preTEI,fragrant,"['&', 'a', 'little', 'oil', 'not', 'of', 'spike', 'lavender', 'but', 'another']","['one', 'that', 'resembles', 'olive', 'oil', 'Every', 'work', 'done', 'with', 'glair']"
tl_p072v_preTEI,You will know its goodness by rubbing itwith your ,"['the', 'best', '&', 'the', 'softest', '&', 'which', 'runs', 'the', 'best']","['finger', 'which', 'will', 'render', 'it', 'very', 'black', 'immediately']"
tl_p081r_preTEI,smell,"['change', 'the', 'water', 'every', 'day', 'so', 'that', 'it', 'does', 'not']","['bad', '&', 'when', 'you', 'have', 'molded', 'it', 'in', 'the', 'hollow']"
tl_p084v_preTEI,isnot felt between your ,"['thoroughly', 'burned', '&', 'pulverized', '&', 'ground', 'on', 'porphyry', 'until', 'it']","['fingers', 'It', 'molds', 'on', 'its', 'own', 'very', 'neatly', 'But', 'because']"
tl_p085v_preTEI,ring,"['fine', 'copper', 'And', 'for', 'a', 'private', 'home', 'they', 'do', 'not']","['so', 'much', '&', 'do', 'not', 'carry', 'as', 'much', 'noise', 'as']"
tl_p085v_preTEI,noise,"['not', 'ring', 'so', 'much', '&', 'do', 'not', 'carry', 'as', 'much']","['as', 'those', 'of', 'metal', 'It', 'is', 'true', 'that', 'those', 'that']"
tl_p085v_preTEI,ring,"['that', 'those', 'that', 'are', 'of', 'metal', 'have', 'more', 'of', 'a']","['for', 'the', 'apothecaries']"
tl_p086v_preTEI,sonorous,"['old', 'K', 'The', 'substance', 'turned', 'out', 'very', 'beautiful', 'shiny', '&']","['&', 'without', 'a', 'crust', 'and', 'my', 'sand', 'was', 'not', 'corrupted']"
tl_p087r_preTEI,ring,"['against', 'it', 'with', 'their', 'finger', '&', 'if', 'they', 'start', 'to']","['like', 'a', 'pot', 'then', 'they', 'are', 'sufficiently', 'reheated']"
tl_p088v_preTEI,break apart between your,"['However', 'it', 'should']","['hands', '&', 'have', 'very', 'small', 'men', '&', 'delicate', 'grains', '&']"
tl_p090r_preTEI,softwhen handling it between the ,"['a', 'very', 'small', '&', 'delicate', 'grain', '&', 'which', 'is', 'found']","['fingers', 'And', 'because', 'the', 'latter', 'is', 'only', 'found', 'near', 'the']"
tl_p093r_preTEI,touch,"['not', 'refresh', 'their', 'salt', 'water', 'which', 'one', 'ought', 'not', 'to']","['with', 'the', 'hands', 'for', 'this', 'makes', 'them', 'spoil']"
tl_p093v_preTEI,screeches,"['fireplaces', 'of', 'large', 'kitchens', 'It', 'is', 'difficult', 'to', 'grind', '&']","['on', 'the', 'marble']"
tl_p097r_preTEI,one smells it & brings it close to the,"['guard', 'always', 'needs', 'to', 'be', 'warm', 'And', 'to', 'know', 'this']","['nose', 'For', 'one', 'ought', 'not', 'to', 'touch', 'it', 'with', 'the']"
tl_p099r_preTEI,smells like ,"['very', 'neatly', 'en', 'noyau', 'the', 'substance', 'of', 'skillets', 'White', 'sand']","['sulfur', 'when', 'reheated', 'and', 'I', 'believe', 'it', 'would', 'melt', 'And']"
tl_p100r_preTEI,observe,"['One', 'needs', 'to', 'carefully']","['the', 'eyes', 'the', 'nose', '&', 'the', 'beard', 'for', 'these', 'three']"
tl_p108v_preTEI,reason to scratch yourself well,"['throat', 'or', 'land', 'on', 'your', 'face', 'which', 'will', 'give', 'you']","['Put', 'it', 'in', 'the', 'mortar', 'a', 'little', 'at', 'a', 'time']"
tl_p108v_preTEI,soft to the touch,"['it', 'collects', 'on', 'all', 'sides', 'Render', 'it', 'very', 'fine', '&']",[]
