folio,text in tag,before,after
tcn_p001v_preTEI,pourl’,"['veu', 'l', 't', 'un', 'peu', 'de', 'cane', 'l', 'l', 'e']",['estomac']
tcn_p001v_preTEI,remollitive,"['poulet', 'de', 'la', 'racine', 'de', 'guimave', 'La', 'fresche', 'est', 'plus']",[]
tcn_p001v_preTEI,lasche le ,"['doulces', 'avecq', 'de', 'l', 'eau', '&', 'en', 'prendre', 'au', 'matin']",['ventre']
tcn_p007v_preTEI,contre la suffocation,"['car', 'six', 'noix', 'estainctes', 'sont', 'pour', 'une', 'dose', 'Excellent', 'remede']","['de', 'matrice']"
tcn_p007v_preTEI,injectionem,"['refrigerata', 'colentur', 'cum', 'forti', 'expressione', '&', 'de', 'colatura', 'utatur', 'per']",[]
tcn_p013v_preTEI,ne pourront se mouvoir ne parler ne donner empeschement,"['en', 'la', 'chambre', 'de', 'quelques', 'uns', 'de', 'nuict', 'qu', 'ilz']","['aulx', 'larrons']"
tcn_p015v_preTEI,defluxion,"['Quand', 'quelque']","['y', 'vient', 'il', 'se', 'fault', 'bien', 'garder', 'd', 'y', 'rien']"
tcn_p015v_preTEI,à l’,"['rien', 'mectre', 'dedans', 'et', 'se', 'l', 'on', 'l', 'e', 'proverbe']","['oei', 'l', '&', 'à', 'l', 'orei', 'l', 'l', 'e', 'i']"
tcn_p015v_preTEI,conforte,"['c', 'est', 'à', 'dire', 'tenu', 'parmy', 'du', 'musc', 'car', 'il']","['bien', 'fort']"
tcn_p016v_preTEI,injection,"['coings', 'en', 'eau', 'claire', '&', 'de', 'cette', 'eau', 'mucilagineuse', 'fais']",[]
tcn_p020v_preTEI,contre la colique venteuse,"['l', 'eau', 'distilée', 'de', 'l', 'escorce', 'd', 'orenge', 'est', 'excellent']","['L', 'escorce', 'aussi', 'confite', 'est', 'excellente', 'pour', 'les', 'vents', 'de']"
tcn_p020v_preTEI,pour les ,"['contre', 'la', 'colique', 'venteuse', 'L', 'escorce', 'aussi', 'confite', 'est', 'excellente']","['vents', 'de', 'l', 'estomac', 'Et', 'pour', 'en', 'faire', 'preuve', 'ayant']"
tcn_p020v_preTEI,nourrissant,"['un', 'doigt', 'de', 'vin', 'Et', 'oultre', 'ce', 'que', 'cela', 'est']","['il', 'faict', 'bon', 'ventre']"
tcn_p020v_preTEI,faict bon,"['de', 'vin', 'Et', 'oultre', 'ce', 'que', 'cela', 'est', 'nourrissant', 'il']",['ventre']
