folio,text in tag,before,after
tcn_p005v_preTEI,touches,"['Il', 'gecte', 'la', 'representation', 'hors', 'de', 'soy', 'et', 'si', 'tu']","['du', 'doigt', 'le', 'lieu', 'l', 'oeil', 'de', 'la', 'representation', 'un']"
tcn_p008v_preTEI,sourd,"['bien', 'souvent', 'la', 'moictié', 'de', 'plomb', 'qui', 'rend', 'l', 'estaing']","['pour', 'corriger', 'cela', 'ilz', 'meslent', 'de', 'la', 'limaille', 'de', 'letton']"
tcn_p008v_preTEI,sonnant,"['meslent', 'de', 'la', 'limaille', 'de', 'letton', 'parmy', 'pour', 'le', 'rendre']",[]
tcn_p017v_preTEI,grossevoix,"['fin', 'sur', 'un', 'quintal', 'de', 'rosette', 'pour', 'luy', 'donner', 'plus']","['Car', 'tant', 'plus', 'il', 'y', 'a', 'd', 'estaing', 'tant', 'plus']"
tcn_p017v_preTEI,son,"['est', 'de', 'treze', 'ou', 'quatorze', 'pans', 'de', 'long', 'Mays', 'ilz']","['t', 'fort', 'fascheux', 'à', 'conduire', 'La', 'droicte', 'batterie', 'pour', 'avoir']"
tcn_p028v_preTEI,sonnante,"['lb', 'de', 'rosette', 'sur', 'un', 'quintal', 'pour', 'rendre', 'la', 'vaisselle']",[]
tcn_p033r_preTEI,mal,"['dos', 'd', 'un', 'costeau', 'affin', 'qu', 'elle', 'ne', 'puysse', 'fayre']","['Et', 'tu', 'monstreras', 'seulement', 'l', 'endroict', 'du', 'cousteau', 'qui', 'n']"
tcn_p033v_preTEI,froideur,"['pensant', 'avoyr', 'la', 'piece', 'au', 'front', 'à', 'cause', 'de', 'la']","['de', 'la', 'salive', 'il', 'secouera', 'les', 'oreilles', '&', 'n', 'advancera']"
tcn_p033v_preTEI,taster,"['bort', '&', 's', 'il', 'n', 'entroict', 'bien', 'faisant', 'semblant', 'de']","['du', 'vin', 'suppe', '&', 'attire', 'un', 'peu', 'l', 'air', 'à']"
tcn_p034r_preTEI,hault,"['essaye', 'de', 'le', 'dirae', 'mays', 'il', 'fault', 'qu', 'il', 'parle']","['quand', 'il', 'sera', 'allé', '&', 'revenu', 'tu', 'luy', 'diras', 'qu']"
