folio,text in tag,before,after
tl_p001r_preTEI,master,"['Cousin', 'who', 'resides', 'in', 'the', 'Faubourg', 'Saint-Germain', 'knows', 'of', 'the']","['Mestre', 'Jehan', 'Garnier', 'in', 'the', 'Rue', 'des', 'Escrivains', 'by', 'St']"
tl_p001r_preTEI,currier,"['the', 'Rue', 'des', 'Escrivains', 'by', 'St', 'Jacques', 'de', 'la', 'Boucherie']","['Try', 'pastel', 'woad', 'flowers']"
tl_p001r_preTEI,harvester,['The'],"['that', 'leaves', 'some', 'ears', 'is', 'not', 'blamed', 'Sacra', 'Eleusinæ', 'deæ']"
tl_p001r_preTEI,historicus,"['venatione', 'Nicolaus', 'Damascenus', 'Caresariensis', 'De', 'rebus', 'Persarum', 'Isidorus', 'Osorius', 'Eupolemus']","['gentilis', 'qui', 'de', 'rebus', 'Davidis', '&', 'Salomonis', 'scripsit', 'monsieur', 'Cathalogue']"
tl_p001r_preTEI,bergiers,"['Davidis', '&', 'Salomonis', 'scripsit', 'monsieur', 'Cathalogue', 'des', 'villes', 'Calendrier', 'des']","['Grammaire', 'italiene', 'Arithmetique', 'of', 'Savonne', 'Instruction', 'pour', 'le', 'faict', 'des']"
tl_p001r_preTEI,inventor of rusticfigulines,"['des', 'finances', 'à', 'Lyon', 'Synesius', 'Olaus', 'Magnus', 'Mestre', 'Bernard', 'Palissi']","['to', 'the', 'king', 'and', 'the', 'queen', 'mother']"
tl_p001r_preTEI,king,"['Magnus', 'Mestre', 'Bernard', 'Palissi', 'inventor', 'of', 'rustic', 'figulines', 'to', 'the']","['and', 'the', 'queen', 'mother']"
tl_p001r_preTEI,queen mother,"['Palissi', 'inventor', 'of', 'rustic', 'figulines', 'to', 'the', 'king', 'and', 'the']",[]
tl_p002v_preTEI,blacksmith,"['Pebbles', 'or', 'crystal', '8', '℥', 'minium', '16', '℥']","['s', 'salt', '4', '℥', 'sparkling', 'coryal', '4', 'grains', 'Fusion', '6']"
tl_p004r_preTEI,Frame makers,"['so', 'good', 'nor', 'so', 'fatty', 'This', 'one', 'is', 'promptly', 'dry']","['to', 'avoid', 'the', 'trouble', 'of', 'polishing', 'their', 'ebony', 'varnish', 'it']"
tl_p004v_preTEI,furbishers,"['part', 'of', 'this', 'book', 'after', 'sands', 'in', 'the', 'chapter', 'on']",[]
tl_p005v_preTEI,women,"['will', 'represent', 'a', 'nipple', 'as', 'large', 'as', 'a', 'plate', 'and']","['can', 'see', 'the', 'secret', 'places', 'that', 'they', 'do', 'not', 'want']"
tl_p005v_preTEI,surgeons,"['secret', 'places', 'that', 'they', 'do', 'not', 'want', 'to', 'show', 'to']","['It', 'casts', 'the', 'representation', 'out', 'of', 'itself', 'and', 'if', 'you']"
tl_p006v_preTEI,Glass button makers,"['for', 'capes', 'which', 'are', 'cut', 'as', 'said', 'with', 'a', 'file']","['also', 'avail', 'themselves', 'of', 'the', 'said', 'furnace']"
tl_p007r_preTEI,Joiners,"['is', 'made', 'from', 'codfish', 'skin', 'boiled', 'rather', 'than', 'being', 'salted']","['glue', 'their', 'masterpieces', 'with', 'it', 'and', 'guitar', 'maker', 'use', 'it']"
tl_p007v_preTEI,fabrorum,['Aquæ'],"['antiquæ', 'lb', 'i', 'boli', 'Armeniæ', 'in', 'tel', 'tenuissimum', 'pollinem', 'redactæ']"
tl_p009r_preTEI,harvesters,"['Because', 'millet', 'is', 'by', 'nature', 'very', 'dry']","['beat', 'it', 'most', 'often', 'at', 'night', 'in', 'the', 'cool', '&']"
tl_p009r_preTEI,apprentices,"['have', 'four', 'books', 'The', 'tyrant', 'which', 'is', 'a', 'formulary', 'for']","['by', 'which', 'they', 'can', 'know', 'how', 'much', 'every', 'item', 'of']"
tl_p009v_preTEI,merchants,"['The', 'rule', 'that']","['are', 'accustomed', 'to', 'keep', 'in', 'their', 'books', 'that', 'is', 'to']"
tl_p010r_preTEI,Painters,[],"['make', 'it', 'beautiful', 'making', 'the', 'first', 'ground', 'of', 'common', 'azure']"
tl_p011r_preTEI,common painters,"['This', 'is', 'a', 'secret', 'that', 'is', 'hardly', 'known', 'to']","['Some', 'take', 'the', 'most', 'delicate', 'they', 'can', '&', 'grind', 'it']"
tl_p012r_preTEI,barbers',"['with', 'a', 'closed', 'fire', 'such', 'as', 'a', 'reverberatory', 'furnace', 'or']","['ovens', 'And', 'the', 'most', 'freshly', 'cooked', 'is', 'the', 'best', 'to']"
tl_p012v_preTEI,goldsmiths’,"['Gently', 'boil', 'them', 'in', 'the']","['bouteure', 'then', 'with', 'tripoli', '&', 'a', 'piece', 'of', 'leather', 'sprinkled']"
tl_p012v_preTEI,ancient lapidaries,"['is', 'natural', 'others', 'say', 'that', 'it', 'is', 'a', 'secret', 'of']","['that', 'is', 'lost', 'others', 'say', 'that', 'it', 'is', 'refired', 'enamel']"
tl_p012v_preTEI,goldsmith,"['in', 'a', 'small', 'iron', 'casket', 'on', 'the', 'fire', 'of', 'my']","['s', 'forge', 'with', 'three', 'or', 'four', 'small', 'half-burnt', 'charcoals', 'and']"
tl_p013r_preTEI,glassworkers’,"['the', 'thing', '&', 'put', 'it', 'inside', 'Then', 'I', 'reddened', 'two']","['solders', '&', 'as', 'they', 'were', 'red', 'I', 'presented', 'them', 'one']"
tl_p013v_preTEI,sophisticators,"['is', 'very', 'pale', 'in', 'color', 'because', 'oil', 'darkens', 'it', 'Certain']","['mix', 'them', 'but', 'you', 'will', 'know', 'this', 'if', 'you', 'pour']"
tl_p013v_preTEI,thieves,"['will', 'be', 'neither', 'able', 'to', 'move', 'nor', 'speak', 'nor', 'thwart']",[]
tl_p013v_preTEI,Candlemakers,[],"['never', 'make', 'a', 'good', 'candle', 'when', 'the', 'Autan', 'wind', 'blows']"
tl_p014r_preTEI,gunpowder makers,"['saltpeter', 'in', 'it', 'That', 'is', 'why', 'when', 'they', 'fall', 'down']","['profit', 'from', 'them']"
tl_p015r_preTEI,founders',"['well', 'in', 'the', 'frame', 'because', 'if', 'it', 'were', 'humid', 'like']","['sand', 'the', 'gold', 'and', 'silver', 'would', 'spatter', '&', 'cause', 'damage']"
tl_p016r_preTEI,people,['Most'],"['consider', 'that', 'iron', 'once', 'melted', 'cannot', 'be', 'melted', 'again', 'because']"
tl_p016r_preTEI,Alchemists,"['it', 'in', 'small', 'forges', 'in', 'which', 'it', 'only', 'becomes', 'red-hot']","['undertake', 'to', 'melt', 'it', 'mixed', 'with', 'realgar', 'or', 'lead', 'or']"
tl_p016r_preTEI,miners,['The'],"['to', 'make', 'the', 'iron', 'run', 'put', 'at', 'the', 'mouth', 'of']"
tl_p016r_preTEI,workers,"['&', 'compass', '&', 'with', 'great', 'speed', 'which', 'the', 'strength', 'of']","['could', 'f', 'not', 'do', 'Therefore', 'one', 'raises', 'the', 'wall', 'as']"
tl_p016v_preTEI,worker,"['blue', '&', 'green', 'which', 'are', 'also', 'more', 'profitable', 'for', 'the']","['Black', 'is', 'less', 'abundant', 'because', 'it', 'charges', 'much']"
tl_p017r_preTEI,King,"['any', 'farther', 'Its', 'ball', 'commonly', 'weighs', '40', 'lb', 'of', 'the']","['s', 'caliber', 'There', 'is', 'a', 'cannon-perrier', 'which', 'weighs', 'xxv', 'quintals']"
tl_p017r_preTEI,King,"['at', 'close', 'range', 'It', 'bears', 'a', 'large', 'ball', 'of', 'the']","['s', 'caliber', 'like', 'the', 'others', 'namely', 'of', '40', 'lb', 'It']"
tl_p017r_preTEI,King,"['that', 'this', 'is', 'a', 'pan', 'of', 'Montpellier', '&', 'not', 'a']","['s', 'pan', 'which', 'is', 'not', 'used', 'in', 'the', 'founding', 'of']"
tl_p017r_preTEI,King,"['thickness', 'ce', 'the', 'length', 'that', 'they', 'would', 'have', 'by', 'the']","['s', 'pan', 'by', 'which', 'measure', 'they', 'will', 'be', 'found', 'longer']"
