folio,text in tag,before,after
tc_p001r_preTEI,rue de la heaumerie,"['Mestre', 'Nico', 'Coste', 'a', 'la']","['a', 'limage', 'sainct', 'claude', '/', 'mirouers', 'Mestre', 'Jehan', 'Cousin', 'qui']"
tc_p001r_preTEI,faulxbourgsde s,"['Me', 's', 'tre', 'Jehan', 'Cou', 's', 'in', 'qui', 'demeure', 'au']","['ainct', 'germain', 's', 'caict', 'du', 'me', 's', 'tre', 'Me', 's']"
tc_p001r_preTEI,rue desescrivains,"['sainct', 'germain', 'scaict', 'du', 'mestre', 'Mestre', 'Jehan', 'Garnier', 'a', 'la']","['pres', 'sainct', 'Jaques', 'de', 'la', 'boucherie', 'courroyeur', 'essayer', 'fleur', 'de']"
tc_p001r_preTEI,s,['Me'],"['tre', 'Nico', 'Co', 's', 'te', 'a', 'la', 'rue', 'de', 'la']"
tc_p001r_preTEI,Eleusinæ,"['Le', 'moissonneur', 'laissant', 'quelques', 'espis', 'nest', 'repris', 'Sacra']","['deæ', 'propalare', 'nefas', 'Trompettes', 'voy', 'le', 'livre', 'des', 'funerailles']"
tc_p001r_preTEI,Ingolstadiensis,"['Vuolfangus', 'Lazius', 'Petrus', 'appianus', 'Mathemat']","['Comment', 'urb', 'rom', 'Hieronimo', 'Ruscelli', 'Hermolaus', 'barbarus', 'Angelius', 'Bargæus', 'de']"
tc_p001r_preTEI,urb. rom.,"['Vuolfangus', 'Lazius', 'Petrus', 'appianus', 'Mathemat', 'Ingolstadiensis', 'Comment']","['Hieronimo', 'Ruscelli', 'Hermolaus', 'barbarus', 'Angelius', 'Bargæus', 'de', 'aucupio', 'et', 'venatione']"
tc_p001r_preTEI,Italiene,"['salomonis', 'scripsit', 'monsieur', 'Cathalogue', 'des', 'villes', 'Calendrier', 'des', 'bergiers', 'Grammaire']","['Arithmetique', 'de', 'Savonne', 'Instruction', 'pour', 'le', 'faict', 'des', 'finances', 'Questions']"
tc_p001r_preTEI,Lyon,"['Questions', 'Aenigmatiques', 'Des', 'præceptes', 'dagriculture', 'Le', 'secret', 'des', 'finances', 'a']","['Synesius', 'Olaus', 'Magnus', 'Mestre', 'Bernard', 'palissi', 'inventeur', 'des', 'rustiques', 'figulines']"
tc_p001r_preTEI,Alex.,[],"['ander', 'Aphrodisæus', 'Polydorus', 'verg', 'Appianus', 'Athenæus', 'Pausanias', 'Statius', 'Thebaidos', 'Servius']"
tc_p001r_preTEI,Romæ,"['Aquatilium', 'animalium', 'historiæ', 'hypolito', 'salviano', 'typhernate', 'authore']",['1554']
tc_p001r_preTEI,Normandie,"['Les', 'Annales', 'de']",[]
tc_p001v_preTEI,S,"['Les', 'pruneaux', 'de']","['ainct', 'Antonin', '&', 'si', 'tu', 'veulx', 'parmy', 'tu', 'pourras', 'mectre']"
tc_p002v_preTEI,brescia,"['Practica', 'cioe', 'nova', 'inventionedi', 'contegiare', 'stampata', 'in']","['per', 'vincenzo', 'sabio']"
tc_p003r_preTEI,venise,"['si', 'tu', 'y', 'adjoustes', 'un', 'peu', 'de', 'laque', 'platte', 'de']","['la', 'couleur', 'en', 'sera', 'plus', 'vive', 'et', 'remuer', 'le', 'tout']"
tc_p003r_preTEI,venise,"['Prendre', 'une', 'lb', 'de', 'tourmentine', 'de']","['&', 'la', 'faire', 'chaufer', 'dans', 'un', 'pot', 'jusques', 'a', 'ce']"
