folio,text in tag,before,after
tc_p001r_preTEI,aucupio,"['Comment', 'urb', 'rom', 'Hieronimo', 'Ruscelli', 'Hermolaus', 'barbarus', 'Angelius', 'Bargæus', 'de']","['et', 'venatione', 'Nicolaus', 'Damascenus', 'Cares', 'de', 'rebus', 'persarum', 'Isidorus', 'Osorius']"
tc_p001v_preTEI,poulet,"['Ou', 'bien', 'dans', 'un', 'bouillon', 'de']","['de', 'la', 'racine', 'de', 'guimave', 'la', 'fresche', 'est', 'plus', 'remollitive']"
tc_p006r_preTEI,mouton,"['sanguine', 'aultant', 'dun', 'que', 'daultre', 'aussy', 'gros', 'de', 'suif', 'de']","['comme', 'une', 'febve', 'ou', 'un', 'poys', 'selon', 'la', 'quantite', 'du']"
tc_p007r_preTEI,perdrix,"['tu', 'auras', 'dore', 'dor', 'bel', 'colore', 'le', 'avecq', 'fumee', 'de']","['ou', 'de', 'drap', 'rouge', 'ou', 'jaulne', '&', 'il', 'sera', 'beau']"
tc_p007r_preTEI,dragon,"['Le', 'bon', 'sang', 'de']","['destrempe', 'en', 'eau', 'de', 'vye', 'porte', 'son', 'mastic', 'ou', 'colle']"
tc_p007r_preTEI,moulue,"['Elle', 'se', 'faict', 'avecq', 'peau', 'de']","['boullie', 'plustost', 'questre', 'salee', 'Les', 'menusiers', 'en', 'collent', 'leurs', 'chef']"
tc_p010v_preTEI,cheval,"['Frotte', 'tes', 'armes', 'ou', 'aultres', 'pieces', 'dorees', 'de', 'fiente', 'de']",['seche']
tc_p011v_preTEI,mouton,"['Fays', 'deulx', 'petites', 'leches', 'deliees', 'de', 'cher', 'de']","['cru', '&', 'avecq', 'un', 'bandeau', 'aplique', 'la', 'nuict', 'sur', 'les']"
tc_p012r_preTEI,lesard,"['du', 'verdegris', 'tu', 'm', 'en', 'gecteras', 'dans', 'le', 'plastre', 'un']","['ou', 'aultre', 'chose', 'fort', 'nette']"
tc_p013r_preTEI,porceau,"['poincte', 'de', 'diamant', 'Et', 'la', 'polis', 'avecq', 'des', 'sayes', 'de']","['et', 'du', 'tripoly', 'Je', 'ne', 'scay', 'sil', 'seroict', 'mieulx', 'de']"
tc_p013r_preTEI,animal,"['semblables', '&', 'taincts', 'ce', 'qui', 'ne', 'sen', 'yra', 'si', 'l']","['ne', 'mue', 'non', 'bona']"
tc_p013v_preTEI,cheval,"['plus', 'forte', '&', 'rejecte', 'la', 'farine', 'comme', 'le', 'poil', 'de']",[]
tc_p013v_preTEI,crapault,"['Celle', 'qui', 'est', 'de', 'la', 'teste', 'du']","['&', 'qui', 'ha', 'la', 'figure', 'du', 'crapault', 'naturellement', 'paincte', 'comme']"
tc_p013v_preTEI,crapault,"['la', 'teste', 'du', 'crapault', '&', 'qui', 'ha', 'la', 'figure', 'du']","['naturellement', 'paincte', 'comme', 'tu', 'as', 'veu', 'est', 'la', 'plus', 'excellente']"
tc_p013v_preTEI,serpent,"['On', 'dict', 'que', 'si', 'on', 'nomme', 'en', 'grec', 'un']","['disant', 'ΟΦΗ', 'ΟΦΗ', 'quil', 'sen', 'fuyra', 'Comme', 'si', 'en', 'grec']"
tc_p013v_preTEI,pourceau,"['sen', 'fuyra', 'Comme', 'si', 'en', 'grec', 'on', 'nom', 'appelle', 'un']","['y', 'ïon', 'quil', 'viendra']"
tc_p014r_preTEI,hirondelles,['Les'],"['nous', 'ont', 'aprins', 'ce', 'mestier', 'faisant', 'leurs', 'nids', 'de', 'boue']"
tc_p015r_preTEI,cheval,"['sable', 'La', 'terre', 'est', 'ardille', 'sabloneuse', 'meslee', 'de', 'fiente', 'de']","['&', 'de', 'bourre', 'Celle', 'qui', 'est', 'a', 'servi', 'a', 'la']"
tc_p015v_preTEI,seiche,"['poincte', 'dargent', 'Et', 'apres', 'on', 'lefface', 'avecq', 'de', 'los', 'de']","['les', 'en', 'frottant']"
tc_p017r_preTEI,chevaulx,"['au', 'lieu', 'de', 'pouldre', 'ordinayre', 'de', 'canon', 'Et', 'quattre', 'bons']","['sont', 'suffisans', 'pour', 'les', 'trainer', 'Ils', 'sont', 'ayses', '&', 'de']"
tc_p017v_preTEI,chevaulx,"['de', 'pouldre', 'Sa', 'balle', 'de', '40', 'lb', 'Il', 'fault', 'xxv']","['pour', 'le', 'tirer', 'Quand', 'on', 'tire', 'plus', 'que', 'la', 'portee']"
tc_p018r_preTEI,chevaulx,"['aussy', 'pour', 'soubstenir', 'la', 'batterie', 'Il', 'fault', 'quinze', 'ou', 'seize']","['pour', 'la', 'mener', 'Elles', 'sont', 'tout', 'de', 'mesme', 'ligue', 'que']"
tc_p018r_preTEI,chevaux,"['long', 'treize', 'ou', 'xiiii', 'pans', 'comme', 'le', 'grand', 'canon', 'dix']","['la', 'peuvent', 'mener', 'Elle', 'acompaigne', 'fort', 'de', 'poincte', 'en', 'blanc']"
tc_p018v_preTEI,chevaulx,"['remparent', 'apres', 'que', 'les', 'canons', 'ont', 'joue', 'ou', 'tire', 'Quattre']","['la', 'peuvent', 'conduire', 'Elle', 'porte', 'de', 'poincte', 'en', 'blanc', 'huict']"
tc_p018v_preTEI,bons,"['sur', 'les', 'murailles', 'ou', 'sur', 'une', 'tour', 'Il', 'fault', 'trois']","['chevaulx', 'pour', 'la', 'conduire']"
tc_p018v_preTEI,chevaulx,"['culasse', 'il', 'ha', 'trois', 'balles', '&', 'deux', 'de', 'devant', 'Deulx']","['le', 'peuvent', 'mener', 'Car', 'un', 'cheval', 'seul', 'ne', 'se', 'mect']"
tc_p018v_preTEI,cheval,"['deux', 'de', 'devant', 'Deulx', 'chevaulx', 'le', 'peuvent', 'mener', 'Car', 'un']","['seul', 'ne', 'se', 'mect', 'pas', 'a', 'mener', 'une', 'piece', 'Il']"
tc_p018v_preTEI,chevaulx,"['culasse', 'trois', 'balles', 'au', 'devant', 'deulx', 'pour', 'le', 'mener', 'deux']","['combien', 'que', 'telles', 'pieces', 'ne', 'se', 'meuvent', 'gueres', 'daultant', 'que']"
tc_p019v_preTEI,chat,"['qui', 'pour', 'le', 'mieulx', 'est', 'doibt', 'estre', 'de', 'peau', 'de']","['qui', 'est', 'plus', 'moufle', 'que', 'nulle', 'aultre', 'Et', 'lors', 'on']"
tc_p022v_preTEI,chevaulx,"['grands', 'lanternes', 'Sa', 'balle', 'poise', '56', 'lb', 'Il', 'fault', 'trente']","['pour', 'le', 'conduire', 'll', 'faict', 'bien', 'plus', 'destonnement', 'a', 'la']"
tc_p024r_preTEI,cigne,"['trou', 'doibt', 'estre', 'grand', 'comme', 'la', 'grosseur', 'dune', 'plume', 'de']","['&', 'nas', 'que', 'faire', 'de', 'le', 'faire', 'en', 'ancrou', 'Mays']"
tc_p025r_preTEI,chevaulx,"['aultour', 'des', 'la', 'roues', '&', 'mectent', 'aussy', 'aulx', 'pieds', 'de']","['des', 'soles', 'ou', 'souliers', 'de', 'cuir', 'affin', 'quon', 'ne', 'les']"
