folio,text in tag,before,after
tcn_p002v_preTEI,℥,"['J', 'ai', 'prins', 'minium', '26']","['christal', 'et', 'broié', 'sur', 'le', 'marbre', '12', '℥', 'verdet', '3']"
tcn_p002v_preTEI,℥,"['minium', '26', '℥', 'christal', 'et', 'broié', 'sur', 'le', 'marbre', '12']","['verdet', '3', '|ʒ|', 'Incorporés', 'le', 'tout', 'ensemble', 'mis', 'dans', 'un']"
tcn_p002v_preTEI,|ʒ|,"['christal', 'et', 'broié', 'sur', 'le', 'marbre', '12', '℥', 'verdet', '3']","['Incorporés', 'le', 'tout', 'ensemble', 'mis', 'dans', 'un', 'croiset', 'couvert', 'd']"
tcn_p002v_preTEI,℥,"['J', 'ai', 'prins', 'minium', '12']","['christal', '6', '℥', 'verdet', '2', 'grains', 'Fuzion', 'doulce', 'vi', 'heures']"
tcn_p002v_preTEI,℥,"['J', 'ai', 'prins', 'minium', '12', '℥', 'christal', '6']","['verdet', '2', 'grains', 'Fuzion', 'doulce', 'vi', 'heures', 'recuicte', '24', 'heures']"
tcn_p002v_preTEI,grains,"['ai', 'prins', 'minium', '12', '℥', 'christal', '6', '℥', 'verdet', '2']","['Fuzion', 'doulce', 'vi', 'heures', 'recuicte', '24', 'heures', 'La', 'mace', 'a']"
tcn_p002v_preTEI,℥,"['Caillous', 'ou', 'christal', '8']","['minium', '16', '℥', 'sel', 'de', 'febvre', '4', '℥', 'coryal', 'extincellent']"
tcn_p002v_preTEI,℥,"['Caillous', 'ou', 'christal', '8', '℥', 'minium', '16']","['sel', 'de', 'febvre', '4', '℥', 'coryal', 'extincellent', '4', 'grains', 'Fuzion']"
tcn_p002v_preTEI,℥,"['christal', '8', '℥', 'minium', '16', '℥', 'sel', 'de', 'febvre', '4']","['coryal', 'extincellent', '4', 'grains', 'Fuzion', '6', 'heures']"
tcn_p002v_preTEI,grains,"['16', '℥', 'sel', 'de', 'febvre', '4', '℥', 'coryal', 'extincellent', '4']","['Fuzion', '6', 'heures']"
tcn_p003r_preTEI,lb,"['ou', 'prendre', 'une', 'branche', 'd', 'espine', 'bisarre', 'puys', 'fondre', 'une']","['de', 'poix', 'resine', 'claire', 'de', 'la', 'plus', 'belle', 'et', 'y']"
tcn_p003r_preTEI,once,"['resine', 'claire', 'de', 'la', 'plus', 'belle', 'et', 'y', 'mectre', 'une']","['de', 'vermeillon', 'broyé', 'subtillement', 'avecq', 'huile', 'de', 'noix', 'et', 'si']"
tcn_p003r_preTEI,quarte partie,"['bien', 'purifiée', 'Pour', 'contrefaire', 'ton', 'coral', 'tu', 'peulx', 'mesler', 'la']","['de', 'mastic', 'parmy', 'ta', 'rousine', 'purifiée', 'pour', 'la', 'rendre', 'plus']"
tcn_p003r_preTEI,lb,"['Prendre', 'une']","['de', 'tourmentine', 'de', 'Venise', '&', 'la', 'faire', 'chaufer', 'dans', 'un']"
tcn_p003r_preTEI,lb,"['jusques', 'à', 'ce', 'qu', 'elle', 'fremisse', 'et', 'mectre', 'dedans', 'demy']","['d', 'huile', 'de', 'tormentine', 'de', 'la', 'plus', 'blanche', 'que', 'tu']"
tcn_p003r_preTEI,lb,"['qu', 'en', 'esté', 'Il', 'se', 'vend', 'communement', 'quinze', 'sols', 'la']",[]
tcn_p003v_preTEI,lb,"['lieu', 'de', 'tourmentine', 'fine', 'Et', 'tu', 'pourras', 'mectre', 'sur', 'deulx']","['de', 'tourmentine', 'commune', 'une', 'lb', 'de', 'tou', 'huile', 'de', 'tourmentine']"
tcn_p003v_preTEI,lb,"['tu', 'pourras', 'mectre', 'sur', 'deulx', 'lb', 'de', 'tourmentine', 'commune', 'une']","['de', 'tou', 'huile', 'de', 'tourmentine', 'fine', '&', 'faire', 'tout', 'comme']"
tcn_p003v_preTEI,lb,"['cy', 'ne', 'reviendra', 'qu', 'à', 'cinq', 'ou', 'six', 'sols', 'la']","['&', 'se', 'vend', '40', 'sols', 'la', 'lb']"
tcn_p003v_preTEI,lb,"['six', 'sols', 'la', 'lb', '&', 'se', 'vend', '40', 'sols', 'la']",[]
tcn_p003v_preTEI,seau,"['Ce', 'vais']","['est', 'pour', 'faire', 'grande', 'quantité', 'd', 'huile', 'de', 'tourmentine', 'sçavoir']"
tcn_p003v_preTEI,lb,"['toujours', 'l', 'eau', 'froide', 'au', 'refreschissouer', 'd', 'en', 'hault', 'La']","['s', 'en', 'vent', 'xii', 'sols', '&', 'au', 'fonds', 'du', 'vaisseau']"
tcn_p004r_preTEI,lb,"['maniant', 'avecq', 'le', 'doigt', 'c', 'est', 'faict', 'Et', 'pour', 'une']","['d', 'huile', 'd', 'aspic', 'tu', 'mectras', 'cinq', 'onces', 'de', 'sandaraque']"
tcn_p004r_preTEI,onces,"['pour', 'une', 'lb', 'd', 'huile', 'd', 'aspic', 'tu', 'mectras', 'cinq']","['de', 'sandaraque', 'pulverisée', 'combien', 'qu', 'aulcuns', 'n', 'en', 'mectent', 'que']"
tcn_p004r_preTEI,onces,"['sandaraque', 'pulverisée', 'combien', 'qu', 'aulcuns', 'n', 'en', 'mectent', 'que', 'quattre']","['mais', 'il', 'n', 'est', 'pas', 'si', 'bon', 'ni', 'si', 'gras']"
tcn_p004r_preTEI,seau,"['tu', 'verras', 'que', 'le', 'vieulx', 'vernis', 'sera', 'oste', 'jecte', 'un']","['d', 'eau', 'contre', 'le', 'tableau', 'pour', 'le', 'nettoyer', 'Aprés', 'mects']"
tcn_p004v_preTEI,lb,"['dedans', 'un', 'bon', 'quart', 'd', 'heure', 'Aprés', 'mects', 'dans', 'une']","['d', 'huile', 'ainsy', 'bouilly', 'la', 'grosseur', 'd', 'une', 'noix', 'de']"
tcn_p004v_preTEI,lagrosseur,"['heure', 'Aprés', 'mects', 'dans', 'une', 'lb', 'd', 'huile', 'ainsy', 'bouilly']","['d', 'une', 'noix', 'de', 'poix', 'noire', '&', 'une', 'joinctée', 'de']"
tcn_p004v_preTEI,patenostres,"['Pour', 'excellent', 'vernis', 'noir', 'mects', 'deulx', 'ou', 'trois']","['de', 'geyct', 'parmy', 'le', 'reste']"
tcn_p004v_preTEI,lb,"['En', 'cinq', 'ou', 'six']","['d', 'huile', 'on', 'mect', 'une', 'lb', 'de', 'galipot', 'qui', 'coste']"
tcn_p004v_preTEI,lb,"['En', 'cinq', 'ou', 'six', 'lb', 'd', 'huile', 'on', 'mect', 'une']","['de', 'galipot', 'qui', 'coste', '4', 'sols', '&', 'des', 'gousses', 'd']"
tcn_p005r_preTEI,moictié,"['Prens', 'doncq']","['cuivre', 'de', 'rosette', '&', 'moictié', 'estain', 'doux', 'c', 'est', 'à']"
tcn_p005r_preTEI,moictié,"['Prens', 'doncq', 'moictié', 'cuivre', 'de', 'rosette', '&']","['estain', 'doux', 'c', 'est', 'à', 'dire', 'fin', 'qui', 'n', 'a']"
tcn_p005r_preTEI,pas,"['&', 'qu', 'il', 'soict', 'en', 'panchant', 'aprés', 'regarder', 'd', 'un']","['Mays', 'si', 'tu', 'regardes', 'de', 'pres', 'il', 'te', 'represente', 'à']"
tcn_p005v_preTEI,au bout de la,"['tourne', 'la', 'concavité', 'vers', 'toy', 'Si', 'tu', 'mects', 'le', 'mirouer']","['table', '&', 'une', 'chandelle', 'dessus', 'il', 'te', 'representera', 'deulx', 'lumieres']"
tcn_p005v_preTEI,milieu de la ,"['une', 'foeuille', 'de', 'papier', 'sur', 'la', 'fenestre', '&', 'que', 'le']","['foeille', 'soict', 'sur', 'le', 'trou', 'Perce', 'la', 'foeille', 'à', 'l']"
tcn_p005v_preTEI,demy lb,"['Prends', 'estaim', 'de', 'glace', 'et', 'le', 'fais', 'fondre', 'Mects', 'sur']","['d', 'iceluy', 'demy', 'once', 'd', 'argent', 'vif', 'et', 'l', 'oste']"
tcn_p005v_preTEI,demy once,"['et', 'le', 'fais', 'fondre', 'Mects', 'sur', 'demy', 'lb', 'd', 'iceluy']","['d', 'argent', 'vif', 'et', 'l', 'oste', 'tout', 'aussy', 'tost', 'du']"
tcn_p006r_preTEI,une demy coquille de,"['de', 'charbon', 'de', 'saule', 'ou', 'aultant', 'que', 'de', 'suif', '&']","['nois', 'pleine', 'de', 'safran', 'demy', 'bruslé', 'Aulcuns', 'y', 'mectent', 'un']"
tcn_p006v_preTEI,gra,"['estirée', 'celuy', 'qui', 'travaille', 'assis', 'ayant', 'son', 'fourneau', 'de', 'la']","['ndeur', 'd', 'un', 'pot', 'd', 'oeillets', 'devant', 'luy', 'la', 'rompt']"
tcn_p007r_preTEI,jours,"['l', 'huile', 'gras', 'qui', 'se', 'faict', 'en', 'sept', 'ou', 'huict']","['au', 'soleil', 'avecq', 'de', 'l', 'huile', 'de', 'noix', 'et', 'du']"
tcn_p007v_preTEI,douzaine,"['Prenés', 'une']","['de', 'noix', 'communes', 'seiches', '&', 'l', 'une', 'aprés', 'l', 'aultre']"
tcn_p007v_preTEI,moictié,"['froidir', 'le', 'vin', 'et', 'le', 'coulés', '&', 'en', 'versés', 'la']","['car', 'six', 'noix', 'estainctes', 'sont', 'pour', 'une', 'dose', 'Excellent', 'remede']"
tcn_p007v_preTEI,dose,"['versés', 'la', 'moictié', 'car', 'six', 'noix', 'estainctes', 'sont', 'pour', 'une']","['Excellent', 'remede', 'contre', 'la', 'suffocation', 'de', 'matrice']"
tcn_p007v_preTEI,demy lb,['Prenés'],"['de', 'marquasite', 'dorée', '&', 'jaulne', 'subtillement', 'pulverisée', 'demy', 'once', 'de']"
tcn_p007v_preTEI,demy once,"['Prenés', 'demy', 'lb', 'de', 'marquasite', 'dorée', '&', 'jaulne', 'subtillement', 'pulverisée']","['de', 'storax', '4', 'lb', 'd', 'urine', 'incorporés', 'bien', 'tout', 'ensemble']"
tcn_p007v_preTEI,lb,"['Prenés', 'demy']","['de', 'marquasite', 'dorée', '&', 'jaulne', 'subtillement', 'pulverisée', 'demy', 'once', 'de']"
tcn_p007v_preTEI,lb,"['Aquae', 'fabrorum', 'antiquae']","['i', 'boli', 'Armeniae', 'in', 'tel', 'tenuissimum', 'pollinem', 'redactae', '℥', 'i']"
tcn_p007v_preTEI,℥,"['antiquae', 'lb', 'i', 'boli', 'Armeniae', 'in', 'tel', 'tenuissimum', 'pollinem', 'redactae']","['i', 'mellis', 'communis', 'ʒ', 'iii', 'coquantur', 'ad', 'mellis', 'despumationem', 'Tum']"
tcn_p007v_preTEI,ʒ,"['Armeniae', 'in', 'tel', 'tenuissimum', 'pollinem', 'redactae', '℥', 'i', 'mellis', 'communis']","['iii', 'coquantur', 'ad', 'mellis', 'despumationem', 'Tum', 'refrigerata', 'colentur', 'cum', 'forti']"
tcn_p008r_preTEI,six fois autant,"['Mects', 'parmy', 'la', 'pouldre']","['de', 'vif', 'argent', 'et', 'la', 'six', 'iesme', 'partye', 'd', 'icelle']"
tcn_p008r_preTEI,la sixiesme partye,"['parmy', 'la', 'pouldre', 'six', 'fois', 'autant', 'de', 'vif', 'argent', 'et']","['d', 'icelle', 'de', 'vif', 'argent']"
tcn_p008v_preTEI,moictié,"['que', 'parmy', 'le', 'fin', 'estaing', 'ilz', 'meslent', 'bien', 'souvent', 'la']","['de', 'plomb', 'qui', 'rend', 'l', 'estaing', 'sourd', 'pour', 'corriger', 'cela']"
tcn_p008v_preTEI,huictiesme partye,"['tu', 'pourras', '&', 'le', 'cave', 'au', 'milieu', 'Mectés', 'y', 'la']","['de', '☿', 'au', '&', 'là', 'dedans', 'frottés', '&', 'usés', 'y']"
tcn_p009v_preTEI,cane,"['du', 'Cros', 'doibt', 'du', 'iie', 'de', 'septembre', '1581', 'pour', 'i']","['toille', 'babtiste', 'à', '8', 'livres', 'canne', 'je', 'dis', '8', 'lb']"
tcn_p009v_preTEI,canne,"['du', 'Cros', 'doibt', 'du', 'iie', 'de', 'septembre', '1581', 'pour', '1']","['toille', 'babtiste', 'à', '8', 'livres', 'canne', 'ainsy', 'que', 'appert', 'au']"
tcn_p010r_preTEI,lb,"['rouille', '&', 'par', 'sa', 'pesanteur', 'coulante', 'prenant', 'du', 'plomb', 'i']","['et', 'le', 'faire', 'fondre', 'et', 'l', 'escumer', 'et', 'purifier', 'de']"
tcn_p010r_preTEI,℥,"['escumer', 'et', 'purifier', 'de', 'sa', 'crasse', 'puys', 'verse', 'dedans', 'quattre']","['de', 'sel', 'commun', 'pulverisé', 'subtilement', 'et', 'prends', 'bien', 'garde', 'qu']"
tcn_p010v_preTEI,heures,"['miel', 'bien', 'cuit', '&', 'tourmentine', 'de', 'colle', 'forte', 'trempée', '24']","['dans', 'l', 'eau', 'puys', 'legierement', 'mise', 'à', 'bouillir', 'affin', 'qu']"
tcn_p015r_preTEI,moys,"['metal', 'cuivre', 'ou', 'letton', 'Quand', 'le', 'sable', 'a', 'servi', 'un']","['il', 'en', 'fault', 'prendre', 'de', 'recent', 'pource', 'que', 'celuy', 'qui']"
tcn_p016r_preTEI,pan & demy,"['ilz', 'font', 'un', 'fourneau', 'en', 'ceste', 'sorte', 'qui', 'ha', 'un']","['de', 'large', '&', 'un', 'pan', '&', 'demy', 'de', 'deulx', 'pan']"
tcn_p016r_preTEI,pan & demy,"['qui', 'ha', 'un', 'pan', '&', 'demy', 'de', 'large', '&', 'un']","['de', 'deulx', 'pan', 's', 'de', 'profond', 'Et', 'la', 'tuelle', 'qui']"
tcn_p016r_preTEI,pans,"['demy', 'de', 'large', '&', 'un', 'pan', '&', 'demy', 'de', 'deulx']","['de', 'profond', 'Et', 'la', 'tuelle', 'qui', 'est', 'le', 'canon', 'par']"
tcn_p016r_preTEI,pan,"['ilz', 'font', 'un', 'fourneau', 'en', 'ceste', 'sorte', 'qui', 'ha', 'un']","['&', 'demy', 'de', 'large', '&', 'un', 'pan', '&', 'demy', 'de']"
tcn_p016r_preTEI,pan,"['qui', 'ha', 'un', 'pan', '&', 'demy', 'de', 'large', '&', 'un']","['&', 'demy', 'de', 'deulx', 'pan', 's', 'de', 'profond', 'Et', 'la']"
tcn_p016r_preTEI,pan,['Chasque'],"['de', 'gueule', 'de', 'four', 'en', 'quarré', 'contient', 'un', 'quintal', '&']"
tcn_p016r_preTEI,quintal & demy,"['Chasque', 'pan', 'de', 'gueule', 'de', 'four', 'en', 'quarré', 'contient', 'un']","['&', 'le', 'pan', 'du', 'fourneau', 'rond', 'en', 'tient', 'deulx', 'quintal']"
tcn_p016r_preTEI,pan,"['four', 'en', 'quarré', 'contient', 'un', 'quintal', '&', 'demy', '&', 'le']","['du', 'fourneau', 'rond', 'en', 'tient', 'deulx', 'quintals']"
tcn_p016r_preTEI,quintals,"['demy', '&', 'le', 'pan', 'du', 'fourneau', 'rond', 'en', 'tient', 'deulx']",[]
tcn_p016r_preTEI,quintals,"['faire', 'couler', 'la', 'matiere', 'fondue', 'Tu', 'y', 'pourras', 'fondre', 'deulx']","['de', 'fer', 'a', 'chasque', 'fois', 'Et', 'pour', 'ce', 'faire', 'tu']"
tcn_p016r_preTEI,plus gros,"['a', 'chasque', 'fois', 'Et', 'pour', 'ce', 'faire', 'tu', 'choisiras', 'le']","['charbon', 'que', 'tu', 'pourras', 'trouver', '&', 'en', 'poses', 'une', 'charge']"
tcn_p016v_preTEI,pans,"['qui', 'est', 'communement', 'de', 'la', 'haulteur', 'de', 'd', 'trois']","['&', 'fera', 'bien', 'recuire', 'le', 'Mays', 'premierement', 'il', 'fault', 'que']"
tcn_p016v_preTEI,lb,"['fer', 'non', 'pas', 'tout', 'au', 'coup', 'mays', 'dix', 'ou', 'quinze']","['a', 'chasque', 'fois', 'Et', 'comme', 'celuy', 'sera', 'avallé', '&', 'au']"
tcn_p016v_preTEI,palles,"['remects', 'en', 'tousjours', 'aultant', 'Et', 'charge', 'de', 'trois', 'ou', 'quattre']","['de', 'charbon', 'nouveau', 'qui', 'soict', 'du', 'plus', 'gros', '&', 'remoillé']"
tcn_p016v_preTEI,quintals,"['que', 'ton', 'fourneau', 'sera', 'plein', 'de', 'matiere', 'comme', 'de', 'deulx']","['ou', 'de', 'moings', 'si', 'tu', 'n', 'en', 'en', 'as', 'pas']"
tcn_p016v_preTEI,aiguillée,"['Ayes', 'une']","['de', 'soye', 'deliée', '&', 'la', 'passe', 'serré', 'sur', 'les', 'endroits']"
tcn_p017r_preTEI,pas,"['canon', 'tire', 'de', 'poincte', 'en', 'blanc', 'cinq', 'ou', 'six', 'cens']","['Mays', 'non', 'pas', 'pour', 'fayre', 'batterie', 'pour', 'laquelle', 'il', 'ne']"
tcn_p017r_preTEI,pas,"['poincte', 'en', 'blanc', 'cinq', 'ou', 'six', 'cens', 'pas', 'Mays', 'non']","['pour', 'fayre', 'batterie', 'pour', 'laquelle', 'il', 'ne', 'peult', 'faire', 'bonne']"
tcn_p017r_preTEI,pas,"['il', 'ne', 'peult', 'faire', 'bonne', 'execution', 'que', 'de', 'deulx', 'cens']","['ou', 'trois', 'cens', 'pas', 'pour', 'le', 'plus', 'et', 'ne', 'doit']"
tcn_p017r_preTEI,qualibre du,"['ne', 'doit', 'estre', 'plus', 'loing', 'Sa', 'balle', 'poise', 'communement', 'du']","['roy', '40', 'lb', 'Il', 'y', 'a', 'canon', 'perrier', 'qui', 'poyse']"
tcn_p017r_preTEI,lb,"['loing', 'Sa', 'balle', 'poise', 'communement', 'du', 'qualibre', 'du', 'roy', '40']","['Il', 'y', 'a', 'canon', 'perrier', 'qui', 'poyse', 'xxv', 'quintals', 'qui']"
tcn_p017r_preTEI,quintals,"['40', 'lb', 'Il', 'y', 'a', 'canon', 'perrier', 'qui', 'poyse', 'xxv']","['qui', 'sont', 'petits', 'canons', 'court', 'C', 'est', 'pour', 'battre', 'les']"
tcn_p017r_preTEI,qualibre de ,"['&', 'pour', 'battre', 'de', 'pres', 'Il', 'porte', 'grand', 'balle', 'de']","['roy', 'comme', 'les', 'aultres', 'sçavoir', 'de', '40', 'lb', 'Il', 'ne']"
tcn_p017r_preTEI,lb,"['de', 'qualibre', 'de', 'roy', 'comme', 'les', 'aultres', 'sçavoir', 'de', '40']","['Il', 'ne', 'porte', 'à', 'la', 'culasse', 'que', 'l', 'espesseur', 'de']"
tcn_p017r_preTEI,espesseurde,"['40', 'lb', 'Il', 'ne', 'porte', 'à', 'la', 'culasse', 'que', 'l']","['deux', 'balles', '&', 'un', 'quart', 'de', 'balle', 'Le', 'devant', 'ne']"
tcn_p017r_preTEI,espesseur d’une balle & la troisiesme partye d’une balle,"['un', 'quart', 'de', 'balle', 'Le', 'devant', 'ne', 'porte', 'que', 'l']","['Sa', 'charge', 'est', 'semblable', 'à', 'celle', 'des', 'plus', 'grands', 'sçavoir']"
tcn_p017r_preTEI,lb,"['fayre', 'c', 'est', 'de', 'luy', 'donner', 'sa', 'charge', 'de', 'xx']","['de', 'fine', 'pouldre', 'd', 'harquebus', 'au', 'lieu', 'de', 'pouldre', 'ordinayre']"
tcn_p017r_preTEI,pans,"['courte', 'Le', 'canon', 'perrier', 'est', 'communement', 'de', 'sept', 'à', 'huict']","['de', 'long', 'Il', 'est', 'vray', 'que', 'c', 'est', 'pan', 'de']"
tcn_p017r_preTEI,pande,"['pan', 's', 'de', 'long', 'Il', 'est', 'vray', 'que', 'c', 'est']","['Montpellier', '&', 'non', 'pas', 'pan', 'de', 'roy', 'qui', 'n', 'est']"
tcn_p017r_preTEI,pan de,"['pan', 's', 'de', 'long', 'Il', 'est', 'vray', 'que', 'c', 'est']","['Montpellier', '&', 'non', 'pas', 'pan', 'de', 'roy', 'qui', 'n', 'est']"
tcn_p017r_preTEI,pan de,"['vray', 'que', 'c', 'est', 'pan', 'de', 'Montpellier', '&', 'non', 'pas']","['roy', 'qui', 'n', 'est', 'pas', 'usité', 'en', 'la', 'fonte', 'de']"
tcn_p017r_preTEI,pan de ,"['la', 'fonte', 'de', 'canons', 'pour', 'les', 'faire', 'bons', 'Car', 'le']","['Montpellier', 'estant', 'plus', 'de', 'court', 'les', 'canons', 'qui', 'y', 'sont']"
tcn_p017r_preTEI,pas,"['bonne', 'execution', 'que', 'de', 'deulx', 'cens', 'pas', 'ou', 'trois', 'cens']","['pour', 'le', 'plus', 'et', 'ne', 'doit', 'estre', 'plus', 'loing', 'Sa']"
tcn_p017r_preTEI,pas,"['balle', 'ne', 'porte', 'de', 'vollée', 'que', 'mille', 'ou', 'xii', 'cens']","['sans', 'se', 'reposer', '&', 'faire', 'bon', 'communement', 'il', 'faict', 'iii']"
tcn_p017r_preTEI,trois pars,"['La', 'bonne', 'ligue', 'de', 'pieces', 'est', 'de']","['de', 'rosette', '&', 'une', 'de', 'metal', 'fin', 'de', 'la', 'grosse']"
tcn_p017v_preTEI,quintals,"['est', 'pour', 'grandes', 'batteries', 'poise', 'communement', 'cinquante', 'cinq', 'ou', 'lx']","['Sur', 'la', 'culasse', 'il', 'porte', 'l', 'espesseur', 'de', 'b', 'deulx']"
tcn_p017v_preTEI,espesseur de ,"['cinq', 'ou', 'lx', 'quintals', 'Sur', 'la', 'culasse', 'il', 'porte', 'l']","['b', 'deulx', 'balles', '&', 'ldes', 'trois', 'parties', 'd', 'une', 'balle']"
