folio,text in tag,before,after
tcn_p001r_preTEI,aucupio,"['Comment', 'urb', 'rom', 'Hieronimo', 'Ruscelli', 'Hermolaus', 'Barbarus', 'Angelius', 'Bargaeus', 'De']","['et', 'venatione', 'Nicolaus', 'Damascenus', 'Caresariensis', 'De', 'rebus', 'Persarum', 'Isidorus', 'Osorius']"
tcn_p001v_preTEI,poulet,"['Ou', 'bien', 'dans', 'un', 'bouillon', 'de']","['de', 'la', 'racine', 'de', 'guimave', 'La', 'fresche', 'est', 'plus', 'remollitive']"
tcn_p006r_preTEI,mouton,"['d', 'un', 'que', 'd', 'aultre', 'aussy', 'gros', 'de', 'suif', 'de']","['comme', 'une', 'febve', 'ou', 'un', 'poys', 'selon', 'la', 'quantité', 'du']"
tcn_p007r_preTEI,perdrix,"['auras', 'doré', 'd', 'or', 'bel', 'colore', 'le', 'avecq', 'fumée', 'de']","['ou', 'de', 'drap', 'rouge', 'ou', 'jaulne', '&', 'il', 'sera', 'beau']"
tcn_p007r_preTEI,dragon,"['Le', 'bon', 'sang', 'de']","['destrempé', 'en', 'eau', 'de', 'vye', 'porte', 'son', 'mastic', 'ou', 'colle']"
tcn_p007r_preTEI,moulue,"['Elle', 'se', 'faict', 'avecq', 'peau', 'de']","['boullie', 'plustost', 'qu', 'estre', 'salée', 'Les', 'menusiers', 'en', 'collent', 'leurs']"
tcn_p010v_preTEI,cheval,"['Frotte', 'tes', 'armes', 'ou', 'aultres', 'pieces', 'dorées', 'de', 'fiente', 'de']",['seche']
tcn_p011v_preTEI,mouton,"['Fays', 'deulx', 'petites', 'leches', 'deliées', 'de', 'cher', 'de']","['cru', '&', 'avecq', 'un', 'bandeau', 'aplique', 'la', 'nuict', 'sur', 'les']"
tcn_p012r_preTEI,lesard,"['du', 'verdegris', 'tu', 'm', 'en', 'gecteras', 'dans', 'le', 'plastre', 'un']","['ou', 'aultre', 'chose', 'fort', 'nette']"
tcn_p013r_preTEI,porceau,"['poincte', 'de', 'diamant', 'et', 'la', 'polis', 'avecq', 'des', 'sayes', 'de']","['et', 'du', 'tripoly', 'Je', 'ne', 'sçay', 's', 'il', 'seroict', 'mieulx']"
tcn_p013r_preTEI,animal,"['&', 'taincts', 'ce', 'qui', 'ne', 's', 'en', 'yra', 'si', 'l']","['ne', 'mue', 'Non', 'bona']"
tcn_p013v_preTEI,cheval,"['plus', 'forte', '&', 'rejecte', 'la', 'farine', 'comme', 'le', 'poil', 'de']",[]
tcn_p013v_preTEI,crapault,"['Celle', 'qui', 'est', 'de', 'la', 'teste', 'du']","['&', 'qui', 'ha', 'la', 'figure', 'du', 'crapault', 'naturellement', 'paincte', 'comme']"
tcn_p013v_preTEI,crapault,"['la', 'teste', 'du', 'crapault', '&', 'qui', 'ha', 'la', 'figure', 'du']","['naturellement', 'paincte', 'comme', 'tu', 'as', 'veu', 'est', 'la', 'plus', 'excellente']"
tcn_p013v_preTEI,serpent,"['On', 'dict', 'que', 'si', 'on', 'nomme', 'en', 'grec', 'un']","['disant', 'ΟΦΗ', 'ΟΦΗ', 'qu', 'il', 's', 'enfuyra', 'Comme', 'si', 'en']"
tcn_p013v_preTEI,pourceau,"['s', 'enfuyra', 'Comme', 'si', 'en', 'grec', 'on', 'nom', 'appelle', 'un']","['y', 'ïon', 'qu', 'il', 'viendra']"
tcn_p014r_preTEI,hirondelles,['Les'],"['nous', 'ont', 'aprins', 'ce', 'mestier', 'faisant', 'leurs', 'nids', 'de', 'boue']"
tcn_p015r_preTEI,cheval,"['sable', 'La', 'terre', 'est', 'ardille', 'sabloneuse', 'meslée', 'de', 'fiente', 'de']","['&', 'de', 'bourre', 'Celle', 'qui', 'est', 'a', 'servi', 'à', 'la']"
tcn_p015v_preTEI,seiche,"['et', 'aprés', 'on', 'l', 'efface', 'avecq', 'de', 'l', 'os', 'de']","['les', 'en', 'frottant']"
tcn_p017r_preTEI,chevaulx,"['au', 'lieu', 'de', 'pouldre', 'ordinayre', 'de', 'canon', 'Et', 'quattre', 'bons']","['sont', 'suffisans', 'pour', 'les', 'trainer', 'Ils', 'sont', 'aysés', '&', 'de']"
tcn_p017v_preTEI,chevaulx,"['de', 'pouldre', 'sa', 'balle', 'de', '40', 'lb', 'Il', 'fault', 'xxv']","['pour', 'le', 'tirer', 'Quand', 'on', 'tire', 'plus', 'que', 'la', 'portée']"
tcn_p018r_preTEI,chevaulx,"['aussy', 'pour', 'soubstenir', 'la', 'batterie', 'Il', 'fault', 'quinze', 'ou', 'seize']","['pour', 'la', 'mener', 'Elles', 'sont', 'tout', 'de', 'mesme', 'ligue', 'que']"
tcn_p018r_preTEI,chevaux,"['long', 'treize', 'ou', 'xiiii', 'pans', 'comme', 'le', 'grand', 'canon', 'Dix']","['la', 'peuvent', 'mener', 'Elle', 'acompaigne', 'fort', 'de', 'poincte', 'en', 'blanc']"
tcn_p018v_preTEI,chevaulx,"['remparent', 'aprés', 'que', 'les', 'canons', 'ont', 'joué', 'ou', 'tiré', 'Quattre']","['la', 'peuvent', 'conduire', 'Elle', 'porte', 'de', 'poincte', 'en', 'blanc', 'huict']"
tcn_p018v_preTEI,bons,"['sur', 'les', 'murailles', 'ou', 'sur', 'une', 'tour', 'Il', 'fault', 'trois']","['chevaulx', 'pour', 'la', 'conduire']"
tcn_p018v_preTEI,chevaulx,"['culasse', 'il', 'ha', 'trois', 'balles', '&', 'deux', 'de', 'devant', 'Deulx']","['le', 'peuvent', 'mener', 'car', 'un', 'cheval', 'seul', 'ne', 'se', 'mect']"
tcn_p018v_preTEI,cheval,"['deux', 'de', 'devant', 'Deulx', 'chevaulx', 'le', 'peuvent', 'mener', 'car', 'un']","['seul', 'ne', 'se', 'mect', 'pas', 'à', 'mener', 'une', 'piece', 'Il']"
tcn_p018v_preTEI,chevaulx,"['culasse', 'trois', 'balles', 'au', 'devant', 'deulx', 'Pour', 'le', 'mener', 'deux']","['combien', 'que', 'telles', 'pieces', 'ne', 'se', 'meuvent', 'gueres', 'd', 'aultant']"
tcn_p019v_preTEI,chat,"['qui', 'pour', 'le', 'mieulx', 'est', 'doibt', 'estre', 'de', 'peau', 'de']","['qui', 'est', 'plus', 'moufle', 'que', 'nulle', 'aultre', 'Et', 'lors', 'on']"
tcn_p022v_preTEI,chevaulx,"['grands', 'lanternes', 'Sa', 'balle', 'poise', '56', 'lb', 'Il', 'fault', 'trente']","['pour', 'le', 'conduire', 'll', 'faict', 'bien', 'plus', 'd', 'estonnement', 'à']"
tcn_p024r_preTEI,"cigne,","['doibt', 'estre', 'grand', 'comme', 'la', 'grosseur', 'd', 'une', 'plume', 'de']","['&', 'n', 'as', 'que', 'faire', 'de', 'le', 'faire', 'en', 'ancrou']"
tcn_p025r_preTEI,chevaulx,"['aultour', 'des', 'la', 'roues', '&', 'mectent', 'aussy', 'aulx', 'pieds', 'de']","['des', 'soles', 'ou', 'souliers', 'de', 'cuir', 'affin', 'qu', 'on', 'ne']"
tcn_p029v_preTEI,dragon,"['Le', 'bon', 'sang', 'de']","['se', 'trouve', 'à', 'grands', 'lopins', 'comme', 'pieces', 'de', 'torteau', 'cestuy']"
tcn_p029v_preTEI,dragon,"['Le', 'plus', 'obscur', 'sang', 'de']","['est', 'le', 'meilleur', '&', 'ha', 'plus', 'de', 'taincture;', 'c', 'est']"
tcn_p029v_preTEI,dragon,"['avecq', 'laquelle', 'je', 'croy', 'qu', 'ilz', 'sophistiquent', 'le', 'sang', 'de']",[]
tcn_p030r_preTEI,cheval,"['se', 'font', 'de', 'terre', 'ardille', 'blanche', 'meslée', 'de', 'fiente', 'de']","['&', 'bourre', '&', 'fort', 'battue', 'pource', 'que', 'les', 'pintes', 'estant']"
tcn_p031r_preTEI,pigeon,"['labourée', 'mects', 'a', 'chasque', 'pied', 'deulx', 'poignées', 'de', 'fiente', 'de']",[]
tcn_p036r_preTEI,vache,"['Fais', 'un', 'petit', 'estuy', 'de', 'cuyr', 'simple', 'comme', 'de']","['ou', 'marroquin', 'assés', 'espois', 'hault', 'de', 'trois', 'doits', 'cousu', 'comme']"
tcn_p037v_preTEI,rats mulots,"['terre', '&', 'n', 'empesche', 'leur', 'naissance', 'Les', 'havets', 'attirent', 'les']","['qui', 'mangent', 'les', 'graines', 'Et', 'pour', 'obvier', 'à', 'cela', 'ilz']"
tcn_p038v_preTEI,dragon,"['qui', 'est', 'vené', 'de', 'rouge', 'qu', 'on', 'appelle', 'sang', 'de']","['et', 'l', 'aplique', 'de', 'sur', 'le', 'front', 'de', 'celuy', 'qui']"
tcn_p038v_preTEI,boeuf,"['à', 'prendre', '&', 'pour', 'couvrir', 'les', 'ampeaulx', 'la', 'fiente', 'de']","['est', 'fort', 'propre', 'pource', 'qu', 'elle', 'ne', 'se', 'deffaict', 'point']"
tcn_p040v_preTEI,dragon,"['blanche', 'd', 'esmail', 'est', 'sang', 'larme', 'fine', 'de', 'sang', 'de']","['destrempé', 'en', 'eau', 'de', 'vye', 'ou', 'bien', 'laque', 'platte', 'd']"
tcn_p041r_preTEI,cheval,"['rend', 'grace', 'estant', 'battue', 'et', 'meslée', 'aussy', 'de', 'fient', 'de']","['La', 'terre', 'des', 'potiers', 'seroict', 'trop', 'grasse', 'et', 'se', 'fendroict']"
tcn_p041r_preTEI,cheval,"['sable', 'et', 'de', 'la', 'quarte', 'ou', 'cinquiesme', 'de', 'fiens', 'de']","['Et', 'la', 'laisser', 'seicher', 'puys', 'la', 'mectre', 'en', 'pouldre', 'puys']"
tcn_p041r_preTEI,boeuf,"['albastre', 'calciné', 'ou', 'chose', 'semblable', 'ou', 'moelle', 'de', 'corne', 'de']","['bruslée', 'ou', 'aspalte', 'bruslé', 'parmy', 'Si', 'tu', 'le', 'broyes', 'bien']"
tcn_p041v_preTEI,brebis,"['les', 'blesse', 'il', 'y', 'mect', 'de', 'la', 'fiente', 'mesme', 'de']","['dessus', 'Quand', 'elles', 'sont', 'grasses', 'elles', 'sont', 'plus', 'aysées', 'à']"
tcn_p041v_preTEI,moutons,"['aye', 'esté', 'avecq', 'sa', 'femme', 'car', 'cela', 'feroit', 'mourir', 'les']",[]
tcn_p044v_preTEI,cheval,"['à', 'Coustance', 'en', 'Normandie', 'de', 'poil', 'de', 'la', 'queue', 'de']","['qu', 'ilz', 'nettoyent', 'avecq', 'de', 'la', 'lessive', 'à', 'cause', 'qu']"
tcn_p046r_preTEI,corbeau,"['Ayes', 'des', 'oeufs', 'frais', 'd', 'un']","['ou', 'qualtre', 'ou', 'cinq', '&le', 'l', 'espace', 'de', '4', 'ou']"
tcn_p047r_preTEI,boeuf,"['&', 'mise', 'entre', 'des', 'pieces', 'coupeures', 'en', 'une', 'piece', 'de']","['puys', 'bouillie', 'les', 'reunist', 'à', 'ce', 'qu', 'on', 'dict']"
tcn_p048r_preTEI,oiseaulx,"['l', 'ayant', 'cou', 'remplye', 'de', 'cotton', '&', 'cousue', 'escorche', 'les']","['laissant', 'neantmoings', 'la', 'teste', 'le', 'col', 'les', 'aisles', '&', 'les']"
