folio,text in tag,before,after
tc_p008r_preTEI,harquebuse,"['entrer', 'un', 'peu', 'a', 'force', '&', 'fort', 'justement', 'dans', 'l']","['ou', 'pistole', 'Et', 'plustost', 'que', 'tirer', 'cha', 'fais', 'sil', 'est']"
tc_p008r_preTEI,pistole,"['un', 'peu', 'a', 'force', '&', 'fort', 'justement', 'dans', 'lharquebuse', 'ou']","['Et', 'plustost', 'que', 'tirer', 'cha', 'fais', 'sil', 'est', 'possible', 'que']"
tc_p008r_preTEI,mortier,"['faict', 'trou', 'dans', 'la', 'muraille', 'comme', 'tu', 'scais', 'mects', 'un']","['dedans', 'charge', 'de', 'pouldre', 'qui', 'soict', 'quasi', 'comme', 'couche', '&']"
tc_p015r_preTEI,artiglerie,"['pas', 'tant', 'On', 'gecte', 'en', 'terre', 'les', 'grands', 'ouvraiges', 'comme']","['cloches', '&', 'choses', 'semblables', '&', 'le', 'cuivre', 'gecte', 'en', 'terre']"
tc_p017r_preTEI,canon,['Le'],"['tire', 'de', 'poincte', 'en', 'blanc', 'cinq', 'ou', 'six', 'cens', 'pas']"
tc_p017r_preTEI,cano,['Le'],"['n', 'tire', 'de', 'poincte', 'en', 'blanc', 'cinq', 'ou', 'six', 'cens']"
tc_p017r_preTEI,petits canonscourt,"['y', 'a', 'canon', 'perrier', 'qui', 'poyse', 'xxv', 'quintals', 'qui', 'sont']","['cest', 'pour', 'battre', 'les', 'cassemattes', 'des', 'fosses', '&', 'pour', 'battre']"
tc_p017r_preTEI,piece,"['poinct', 'pour', 'cella', 'quil', 'la', 'surcharge', 'car', 'cella', 'faulce', 'la']","['Et', 'pour', 'la', 'premiere', 'foys', '&', 'jusques', 'a', 'ce', 'quelle']"
tc_p017r_preTEI,piece,"['&', 'jusques', 'a', 'ce', 'quelle', 'aye', 'tire', 'cinq', 'ou', 'six']","['s', 'coups', 'il', 'est', 'mieulx', 'de', 'ne', 'luy', 'donner', 'pas']"
tc_p017r_preTEI,harquebus,"['donner', 'sa', 'charge', 'de', 'xx', 'lb', 'de', 'fine', 'pouldre', 'd']","['au', 'lieu', 'de', 'pouldre', 'ordinayre', 'de', 'canon', 'Et', 'quattre', 'bons']"
tc_p017r_preTEI,canon,"['communement', 'du', 'qualibre', 'du', 'roy', '40', 'lb', 'Il', 'y', 'a']","['perrier', 'qui', 'poyse', 'xxv', 'quintals', 'qui', 'sont', 'petits', 'canon', 's']"
tc_p017r_preTEI,piece,"['de', 'ne', 'luy', 'donner', 'pas', 'sa', 'charge', 'entiere', 'Car', 'la']","['sasseure', 'Et', 'lessay', 'quon', 'peult', 'fayre', 'cest', 'de', 'luy', 'donner']"
tc_p017r_preTEI,piece,"['a', 'la', 'pouldre', '&', 'danger', 'de', 'se', 'crever', 'a', 'la']","['cest', 'la', 'longueur', 'de', 'la', 'piece', 'pource', 'que', 'la', 'pouldre']"
tc_p017r_preTEI,longue piece,"['Limpetuosite', 'est', 'plus', 'long', 'temps', 'tenue', 'contraincte', 'en', 'une', 'petite']","['quen', 'une', 'gr', 'courte', 'Le', 'canon', 'perrier', 'est', 'communement', 'de']"
tc_p017r_preTEI,canon perrier,"['communement', 'du', 'qualibre', 'du', 'roy', '40', 'lb', 'Il', 'y', 'a']","['qui', 'poyse', 'xxv', 'quintals', 'qui', 'sont', 'petits', 'canon', 's', 'court']"
tc_p017r_preTEI,canons,"['a', 'canon', 'perrier', 'qui', 'poyse', 'xxv', 'quintals', 'qui', 'sont', 'petits']","['court', 'cest', 'pour', 'battre', 'les', 'cassemattes', 'des', 'fosses', '&', 'pour']"
tc_p017r_preTEI,canons,"['de', 'roy', 'qui', 'nest', 'pas', 'usite', 'en', 'la', 'fonte', 'de']","['pour', 'les', 'faire', 'bons', 'Car', 'le', 'pan', 'de', 'montpellier', 'estant']"
tc_p017r_preTEI,canon perrier,"['en', 'une', 'petite', 'longue', 'piece', 'quen', 'une', 'gr', 'courte', 'Le']","['est', 'communement', 'de', 'Sept', 'a', 'huict', 'pans', 'de', 'long', 'Il']"
tc_p017r_preTEI,canon perrier,['Le'],"['na', 'pas', 'grand', 'portee', 'sinon', 'de', 'pres']"
tc_p017r_preTEI,piece,"['On', 'cognoist', 'la', 'bonne', 'ligue', 'dune']","['en', 'la', 'voyant', 'Car', 'si', 'avecq', 'la', 'verdeur', 'quelles', 'jectent']"
tc_p017r_preTEI,pieces,"['La', 'bonne', 'ligue', 'de']","['est', 'de', 'trois', 'pars', 'de', 'rosette', '&', 'une', 'de', 'metal']"
tc_p017r_preTEI,piece,"['Il', 'fault', 'pour', 'bien', 'un', 'pointer', 'une']","['quelle', 'soict', 'aussy', 'haulte', 'du', 'bort', 'de', 'la', 'gueule', 'que']"
tc_p017v_preTEI,grand canon,['Le'],"['qui', 'est', 'pour', 'grand', 'es', 'batteries', 'poise', 'communement', 'cinquante', 'cinq']"
