folio,text in tag,before,after
tl_p001r_preTEI,aucupio,"['Comment', 'urb', 'rom', 'Hieronimo', 'Ruscelli', 'Hermolaus', 'Barbarus', 'Angelius', 'Bargaeus', 'De']","['et', 'venatione', 'Nicolaus', 'Damascenus', 'Caresariensis', 'De', 'rebus', 'Persarum', 'Isidorus', 'Osorius']"
tl_p001v_preTEI,chicken,"['Or', 'else', 'marshmallow', 'root', 'in', 'a']","['broth', 'The', 'fresh', 'kind', 'is', 'more', 'mollifying']"
tl_p006r_preTEI,lamb,"['sanguine', 'as', 'much', 'of', 'one', 'as', 'of', 'the', 'other', 'also']","['tallow', 'the', 'size', 'of', 'a', 'bean', 'or', 'a', 'pea', 'depending']"
tl_p007r_preTEI,partridge,"['you', 'have', 'gilded', 'with', 'tinsel', 'color', 'it', 'with', 'smoke', 'of']","['or', 'of', 'yellow', 'or', 'red', 'cloth', '&', 'it', 'will', 'be']"
tl_p007r_preTEI,dragon,['Good'],"['s', 'blood', 'soaked', 'in', 'eau-de-vie', 'carries', 'its', 'mastic', 'or', 'glue']"
tl_p007r_preTEI,codfish,"['It', 'is', 'made', 'from']","['skin', 'boiled', 'rather', 'than', 'being', 'salted', 'Joiners', 'glue', 'their', 'masterpieces']"
tl_p010v_preTEI,horse,"['Rub', 'your', 'weapons', 'or', 'other', 'gilt', 'objects', 'with', 'dry']",['dung']
tl_p011v_preTEI,mutton,"['Make', 'two', 'small', 'thin', 'slices', 'of', 'raw']","['flesh', '&', 'with', 'a', 'head', 'band', 'apply', 'to', 'the', 'eyes']"
tl_p012r_preTEI,lizard,"['and', 'you', 'm', 'will', 'very', 'neatly', 'cast', 'in', 'plaster', 'a']","['or', 'something', 'else']"
tl_p013r_preTEI,hog,"['with', 'a', 'diamond', 'point', 'and', 'I', 'polished', 'it', 'with', 'small']","['bristle', 'brushes', 'and', 'tripoli', 'I', 'do', 'not', 'know', 'if', 'it']"
tl_p013r_preTEI,animal,"['similar', '&', 'dye', 'This', 'will', 'not', 'come', 'off', 'unless', 'the']","['sheds', 'Non', 'bona']"
tl_p013v_preTEI,horse,"['silk', 'because', 'it', 'is', 'stronger', '&', 'casts', 'out', 'flour', 'like']",['hair']
tl_p013v_preTEI,toad,"['The', 'kind', 'which', 'comes', 'from', 'the', 'head', 'of', 'the']","['&', 'has', 'the', 'figure', 'of', 'the', 'toad', 'painted', 'naturally', 'as']"
tl_p013v_preTEI,toad,"['head', 'of', 'the', 'toad', '&', 'has', 'the', 'figure', 'of', 'the']","['painted', 'naturally', 'as', 'you', 'have', 'seen', 'is', 'the', 'most', 'excellent']"
tl_p013v_preTEI,snake,"['It', 'is', 'said', 'that', 'if', 'one', 'calls', 'a']","['in', 'Greek', 'saying', 'ΟΦΗ', 'ΟΦΗ', 'it', 'will', 'flee', 'Likewise', 'if']"
tl_p013v_preTEI,swine,"['ΟΦΗ', 'it', 'will', 'flee', 'Likewise', 'if', 'one', 'nom', 'calls', 'a']","['in', 'Greek', 'y', 'ïon', 'it', 'will', 'come']"
tl_p014r_preTEI,Swallows,[],"['have', 'taught', 'us', 'this', 'craft', 'making', 'their', 'nests', 'out', 'of']"
tl_p015r_preTEI,horse,"['cast', 'in', 'sand', 'The', 'earth', 'is', 'sandy', 'clay', 'mixed', 'with']","['dung', '&', 'cloth', 'waste', 'That', 'which', 'is', 'has', 'been', 'used']"
tl_p015v_preTEI,cuttlefish,"['on', 'it', 'with', 'silverpoint', 'and', 'next', 'erases', 'it', 'with', 'a']","['bone', 'by', 'rubbing', 'them']"
tl_p017r_preTEI,horses,"['arquebus', 'powder', 'instead', 'of', 'ordinary', 'cannon', 'powder', 'And', 'four', 'good']","['are', 'sufficient', 'to', 'drag', 'them', 'They', 'are', 'easy', '&', 'close']"
tl_p017v_preTEI,horses,"['of', 'powder', 'its', 'ball', 'of', '40', 'lb', 'One', 'needs', 'xxv']","['to', 'draw', 'it', 'When', 'one', 'fires', 'it', 'farther', 'than', 'its']"
tl_p018r_preTEI,horses,"['serve', 'to', 'support', 'the', 'battery', 'One', 'needs', 'fifteen', 'or', 'sixteen']","['for', 'moving', 'it', 'They', 'are', 'tout', 'of', 'the', 'same', 'alloy']"
tl_p018r_preTEI,horses,"['thirteen', 'or', 'xiiii', 'pans', 'long', 'like', 'the', 'large', 'cannon', 'Ten']","['can', 'move', 'it', 'It', 'accompanies', 'well', 'the', 'large', 'culverin', 'for']"
tl_p018v_preTEI,horses,"['from', 're-fortifying', 'after', 'the', 'cannons', 'have', 'played', 'or', 'fired', 'Four']","['can', 'draw', 'it', 'It', 'shoots', 'eight', 'or', 'nine', 'hundred', 'paces']"
tl_p018v_preTEI,goodhorses,"['on', 'the', 'walls', 'or', 'on', 'a', 'tower', 'One', 'needs', 'three']","['for', 'drawing', 'it']"
tl_p018v_preTEI,horses,"['it', 'has', 'three', 'balls', '&', 'two', 'in', 'the', 'front', 'Two']","['can', 'move', 'it', 'for', 'a', 'single', 'horse', 'does', 'not', 'begin']"
tl_p018v_preTEI,horse,"['it', 'has', 'three', 'balls', '&', 'two', 'in', 'the', 'front', 'Two']","['s', 'can', 'move', 'it', 'for', 'a', 'single', 'horse', 'does', 'not']"
tl_p018v_preTEI,horses,"['three', 'balls', 'at', 'the', 'front', 'two', 'To', 'move', 'it', 'two']","['although', 'such', 'pieces', 'are', 'hardly', 'moved', 'insofar', 'as', 'they', 'only']"
tl_p019v_preTEI,cat,"['bags', 'which', 'for', 'the', 'best', 'result', 'is', 'must', 'be', 'of']","['skin', 'which', 'is', 'more', 'mitten-like', 'than', 'any', 'other', 'And', 'then']"
tl_p022v_preTEI,horses,"['big', 'ladles', 'Its', 'ball', 'weighs', '56', 'lb', 'One', 'needs', 'thirty']","['to', 'draw', 'it', 'It', 'makes', 'much', 'more', 'of', 'a', 'fracas']"
tl_p024r_preTEI,swan,"['needs', 'to', 'be', 'as', 'large', 'as', 'the', 'thickness', 'of', 'a']","['s', 'quill', '&', 'you', 'need', 'not', 'bother', 'to', 'make', 'it']"
tl_p025r_preTEI,horses’,"['wheels', '&', 'also', 'put', 'leather', 'soles', 'or', 'shoes', 'on', 'the']","['hooves', 'in', 'order', 'that', 'one', 'does', 'not', 'hear', 'them']"
tl_p029v_preTEI,dragon,"['The', 'good', 'kind', 'of']","['s', 'blood', 'can', 'be', 'found', 'in', 'large', 'pieces', 'like', 'cake']"
tl_p029v_preTEI,dragon,"['The', 'darker']","['s', 'blood', 'is', 'the', 'best', '&', 'has', 'more', 'of', 'a']"
tl_p029v_preTEI,dragon,"['of', 'tragacanth', 'gum', 'with', 'which', 'I', 'think', 'they', 'adulterate', 'the']","['s', 'blood']"
tl_p030r_preTEI,horse,"['pints', 'molds', 'are', 'made', 'with', 'white', 'clay', 'earth', 'mixed', 'with']","['dung', '&', 'cloth', 'waste', '&', 'well', 'beaten', 'because', 'the', 'pints']"
tl_p031r_preTEI,pigeon,"['having', 'plowed', 'it', 'put', 'at', 'each', 'foot', 'two', 'handfuls', 'of']",['dung']
tl_p036r_preTEI,cow,"['Make', 'a', 'small', 'sheath', 'of', 'plain', 'leather', 'such', 'as']","['or', 'morocco', 'somewhat', 'thick', 'as', 'tall', 'as', 'three', 'fingers', 'sewn']"
tl_p037v_preTEI,field mice,"['not', 'beat', 'the', 'earth', '&', 'prevent', 'their', 'birth', 'Havets', 'attract']","['who', 'eat', 'the', 'seeds', 'And', 'for', 'avoiding', 'this', 'one', 'must']"
tl_p038v_preTEI,dragon,"['acutum', 'of', 'the', 'sort', 'that', 'is', 'red-veined', 'which', 'is', 'called']","['s', 'blood', 'and', 'apply', 'it', 'de', 'to', 'the', 'forehead', 'of']"
tl_p038v_preTEI,cow,"['s', 'day', 'fails', 'to', 'take', '&', 'for', 'covering', 'the', 'bark']","['dung', 'is', 'very', 'appropriate', 'for', 'it', 'is', 'not', 'undone', 'in']"
tl_p040v_preTEI,dragon,"['the', 'white', 'enamel', 'cross', 'is', 'blood', 'of', 'fine', 'tear', 'of']","['s', 'blood', 'tempered', 'with', 'eau-de-vie', 'or', 'else', 'Indian', 'laque', 'platte']"
tl_p041r_preTEI,horse,"['It', 'renders', 'itself', 'fatty', 'once', 'beaten', 'and', 'also', 'mixed', 'with']","['dung', 'Potter', 's', 'earth', 'would', 'be', 'too', 'fatty', 'and', 'would']"
tl_p041r_preTEI,horse,"['as', 'much', 'sand', 'and', 'a', 'quarter', 'or', 'a', 'fifth', 'of']","['dung', 'And', 'leave', 'it', 'to', 'dry', 'then', 'turn', 'it', 'to']"
tl_p041r_preTEI,ox,"['calcined', 'alabaster', 'or', 'something', 'similar', 'or', 'the', 'burned', 'marrow', 'of']","['horn', 'or', 'burned', 'aspalte', 'throughout', 'If', 'you', 'grind', 'it', 'quite']"
tl_p041v_preTEI,ewe,"['sometimes', 'wounds', 'them', 'he', 'puts', 'the', 'very', 'dung', 'of', 'the']","['on', 'top', 'When', 'they', 'are', 'fat', 'they', 'are', 'easier', 'to']"
tl_p041v_preTEI,sheep,"['have', 'been', 'with', 'his', 'wife', 'for', 'this', 'would', 'make', 'the']",['die']
tl_p044v_preTEI,horse,"['They', 'are', 'made', 'at', 'Coustance', 'in', 'Normandy', 'with']","['tail', 'hair', 'which', 'they', 'clean', 'with', 'lye', 'because', 'they', 'sort']"
tl_p046r_preTEI,crow,"['Take', 'or', 'four', 'or', 'five', 'fresh']","['eggs', '&', 'the', 'over', 'the', 'space', 'of', '4', 'or', 'five']"
tl_p047r_preTEI,beef,"['pestled', '&', 'put', 'between', 'pieces', 'cuts', 'in', 'a', 'piece', 'of']","['then', 'boiled', 'rejoins', 'them', 'as', 'they', 'say']"
tl_p048r_preTEI,birds,"['cou', 'filled', 'it', 'with', 'cotton', '&', 'sewn', 'it', 'skin', 'them']","['leaving', 'however', 'the', 'head', 'the', 'neck', 'the', 'wings', '&', 'the']"
tl_p048r_preTEI,birds,"['head', 'the', 'neck', 'the', 'wings', '&', 'the', 'feet', 'on', 'the']","['&', 'the', 'head', 'the', 'legs', '&', 'the', 'feet', '&', 'tail']"
tl_p049r_preTEI,oyster,"['Lump', 'of', 'iron', 'Calcined', 'iron']",['shell']
tl_p049r_preTEI,cuttlefish,"['Burnt', '&', 'calcined', 'pumice', 'stone', 'Burnt', '&', 'calcined']","['bones', 'as', 'much', 'of', 'one', 'as', 'of', 'the', 'other;', '&']"
tl_p049v_preTEI,Calandra larks,[],"['&', 'all', 'birds', 'taken', 'from', 'the', 'nest', '&', 'which', 'have']"
tl_p049v_preTEI,birds,"['Calandra', 'larks', '&', 'all']","['taken', 'from', 'the', 'nest', '&', 'which', 'have', 'not', 'had', 'freedom']"
tl_p049v_preTEI,calandra larks,"['which', 'makes', 'them', 'sick', '&', 'sometimes', 'makes', 'them', 'die', 'especially']","['One', 'knows', 'this', 'when', 'they', 'are', 'sad', '&', 'do', 'not']"
tl_p049v_preTEI,calandra lark,"['which', 'makes', 'them', 'sick', '&', 'sometimes', 'makes', 'them', 'die', 'especially']","['s', 'One', 'knows', 'this', 'when', 'they', 'are', 'sad', '&', 'do']"
tl_p049v_preTEI,Ortolans,"['March', 'die', 'because', 'they', 'are', 'starting', 'to', 'fall', 'into', 'love']","['are', 'fed', 'on', 'oats', 'all', 'summer', 'in', 'order', 'that', 'they']"
tl_p049v_preTEI,turtledoves,"['have', 'their', 'young', 'in', 'this', 'country', 'they', 'go', 'away', 'like']","['do', 'Siskins', 'should', 'also', 'be', 'taken', 'from', 'All', 'Saints', 'Day']"
tl_p049v_preTEI,Siskins,"['young', 'in', 'this', 'country', 'they', 'go', 'away', 'like', 'turtledoves', 'do']","['should', 'also', 'be', 'taken', 'from', 'All', 'Saints', 'Day', 'until', 'Christmas']"
tl_p049v_preTEI,Ortolans,[],"['are', 'ventriloquists', 'such', 'that', 'singing', 'without', 'opening', 'the', 'beak', 'one']"
tl_p050v_preTEI,Ortolans,[],"['sing', 'at', 'night', 'if', 'they', 'are', 'left', 'in', 'the', 'serain']"
tl_p050v_preTEI,Chaffinches,"['are', 'better', 'for', 'fattening', 'for', 'fine', 'tables', 'than', 'for', 'singing']","['are', 'prone', 'to', 'becoming', 'blind', '&', 'their', 'eyes', 'become', 'swollen']"
tl_p050v_preTEI,Goldfinches,"['&', 'their', 'eyes', 'become', 'swollen', 'at', 'the', 'beginning', 'of', 'August']","['like', 'lettuce', 'seeds', 'very', 'much', '&', 'often', 'one', 'catches', 'them']"
tl_p050v_preTEI,spider,"['with', 'hemp', 'seed', 'The', 'passe', 'solitaire', 'is', 'purged', 'with', 'a']","['which', 'one', 'needs', 'to', 'give', 'to', 'it', 'once', 'a', 'week']"
tl_p050v_preTEI,calandra,"['week', 'in', 'order', 'that', 'no', 'gaillardisse', 'comes', 'to', 'it', 'The']","['is', 'purged', 'with', 'dry', 'mortar', 'composed', 'of', 'lime', '&', 'sand']"
tl_p050v_preTEI,Young smallbirds,"['sand', 'to', 'keep', 'it', 'from', 'gaillardise', '&', 'fattening', 'too', 'much']","['are', 'purged', 'with', 'the', 'same', 'dry', 'mortar', 'by', 'putting', 'some']"
tl_p050v_preTEI,cuckoo,"['dry', 'mortar', 'by', 'putting', 'some', 'pieces', 'in', 'their', 'cages', 'The']","['lays', 'in', 'the', 'nest', 'of', 'ortolans', 'otherwise', 'called', 'verdaule', 'This']"
tl_p050v_preTEI,ortolans,"['in', 'their', 'cages', 'The', 'cuckoo', 'lays', 'in', 'the', 'nest', 'of']","['otherwise', 'called', 'verdaule', 'This', 'bird', 'is', 'very', 'simple', 'In', 'the']"
tl_p050v_preTEI,bird,"['keep', 'it', 'from', 'gaillardise', '&', 'fattening', 'too', 'much', 'Young', 'small']","['s', 'are', 'purged', 'with', 'the', 'same', 'dry', 'mortar', 'by', 'putting']"
tl_p050v_preTEI,goldfinches,"['after', 'several', 'days', 'returned', 'to', 'their', 'cage', 'For', 'feeding', 'young']","['one', 'needs', 'to', 'pestle', 'almonds', 'with', 'pith', 'a', 'very', 'little']"
tl_p050v_preTEI,linnet,"['and', 'lettuce', 'seed', 'or', 'hemp', 'seed', 'If', 'it', 'is', 'for']","['some', 'rapeseed']"
tl_p052r_preTEI,colt,"['Take', 'a']","['of', 'three', 'or', '4', 'years', '&', 'feed', 'it', 'on', 'rye']"
tl_p052r_preTEI,horses,"['barley', '&', 'straw', 'pig', 'cut', 'in', 'the', 'manner', 'one', 'feeds']","['in', 'Spain', 'and', 'water', 'it', 'with', 'good', 'fountain', 'or', 'river']"
tl_p052r_preTEI,worms,"['to', 'the', 'neck', 'and', 'leave', 'it', 'there', 'until', 'several', 'f']","['are', 'engendered', 'And', 'then', 'remove', 'the', 'mattras', '&', 'do', 'not']"
tl_p052r_preTEI,worms,"['on', 'the', 'hot', 'layer', 'of', 'the', 'dung', 'until', 'all', 'the']","['will', 'have', 'eaten', '&', 'consumed', 'one', 'd', 'another', 'bustling', '&']"
tl_p052r_preTEI,snake,"['two', 'months', 'or', 'seven', 'weeks', '&', 'will', 'become', 'like', 'a']","['one', 'empan', '&', '4', 'fingers', 'long', '&', 'one', 'lb', 'in']"
tl_p053r_preTEI,cuttlefish,"['little', 'sublimate', 'It', 'casts', 'well', 'in', 'small', 'works', 'in', 'a']","['bone', 'provided', 'it', 'is', 'good']"
tl_p053r_preTEI,horse,"['the', 'price', 'that', 'is', 'set', 'in', 'Lyon', 'Burnt', '&', 'calcined']","['bones', 'mold', 'very', 'neatly']"
tl_p053r_preTEI,oxen,"['I', 'believe', 'that', 'the', 'marrow', 'from', 'the', 'horns', 'of']","['or', 'sheep', 'that', 'is', 'to', 'say', 'the', 'spongy', 'bone', 'from']"
tl_p053r_preTEI,sheep,"['believe', 'that', 'the', 'marrow', 'from', 'the', 'horns', 'of', 'oxen', 'or']","['that', 'is', 'to', 'say', 'the', 'spongy', 'bone', 'from', 'the', 'inside']"
tl_p053v_preTEI,worms,"['that', 'merchants', 'bring', 'there', 'is', 'considered', 'the', 'best', 'because', 'the']","['which', 'come', 'from', 'there', 'are', 'not', 'so', 'subject', 'to', 'illnesses']"
tl_p053v_preTEI,worms,"['more', 'silk', 'In', 'Spain', 'from', 'one', 'ounce', 'of', 'silk', 'seed']","['are', 'produced', 'from', 'it', 'which', 'commonly', 'yield', 'ord', 'xv', 'lb']"
tl_p053v_preTEI,worms,"['ounces', 'of', 'seed', 'are', 'for', 'producing', 'such', 'a', 'quantity', 'of']","['that', 'with', 'them', 'you', 'will', 'be', 'able', 'to', 'furnish', 'a']"
tl_p053v_preTEI,black ants,"['cushions', 'And', 'at', 'the', 'beginning', 'they', 'molt', 'like', 'f', 'little']","['&', 'as', 'soon', 'as', 'there', 'are', 'two', 'or', 'three', 'molted']"
tl_p053v_preTEI,worms,"['abounds', 'more', '&', 'is', 'all', 'the', 'better', 'for', 'it', 'Some']","['make', 'it', 'whiter', 'others', 'more', 'yellowish', 'And', 'even', 'if', 'it']"
tl_p053v_preTEI,worms,"['yellows', 'when', 'one', 'draws', 'it', 'with', 'hot', 'water', 'despuys', 'The']","['from', 'their', 'birth', 'until', 'u', 'the', 'their', 'time', 'when', 'they']"
tl_p053v_preTEI,bombicum,"['Hieronymus', 'Vida', 'Albensis', 'episcopus', 'de', 'b', 'Cremonensis', 'scripsit', 'carmine', 'de']",['natura']
tl_p054r_preTEI,pigeon,"['prison', 'which', 'one', 'calls', 'cocoon', 'commonly', 'the', 'size', 'of', 'a']","['egg', 'although', 'one', 'finds', 'much', 'larger', 'ones', 'because', 'it', 'sometimes']"
tl_p054r_preTEI,worms,"['sometimes', 'happens', 'that', 'two', 'or', 'three', '&', 'up', 'to', 'xi']","['are', 'put', 'in', 'a', 'cocoon', 'which', 'is', 'hairy', '&', 'downy']"
tl_p054r_preTEI,worm,"['sometimes', 'happens', 'that', 'two', 'or', 'three', '&', 'up', 'to', 'xi']","['s', 'are', 'put', 'in', 'a', 'cocoon', 'which', 'is', 'hairy', '&']"
tl_p054r_preTEI,butterfly,"['4', 'feet', 'On', 'the', 'other', 'hand', 'it', 'has', 'become', 'a']","['&', 'has', 'wings', 'without', 'however', 'flying', 'And', 'there', 'are', 'male']"
tl_p055r_preTEI,pork,"['&', 'plug', 'the', 'touch-hole', 'below', '&', 'take', 'a', 'piece', 'of']","['fat', 'the', 'freshest', 'that', 'you', 'can', 'as', 'long', 'as', 'the']"
tl_p055r_preTEI,chicken,"['Cut', 'a']","['or', 'a', 'dog', 'to', 'test', '&', 'in', 'the', 'wound', 'put']"
tl_p055r_preTEI,dog,"['Cut', 'a', 'chicken', 'or', 'a']","['to', 'test', '&', 'in', 'the', 'wound', 'put', 'sap', '&', 'pestled']"
tl_p055r_preTEI,snails,"['month', 'of', 'June', '&', 'July', 'a', 'number', 'of', 'the', 'largest']","['you', 'can', 'with', 'their', 'shell', 'put', 'them', 'in', 'a', 'glass']"
tl_p055r_preTEI,horse,"['good', 'vinegar', 'Stopper', 'the', 'whole', 'well', '&', 'put', 'it', 'under']","['dung', 'for', 'the', 'space', 'of', 'fifteen', 'days', 'The', 'snails', 'will']"
tl_p055r_preTEI,snails,"['it', 'under', 'horsedung', 'for', 'the', 'space', 'of', 'fifteen', 'days', 'The']","['will', 'first', 'live', 'on', 'the', 'egg', 'yolks', 'then', 'with', 'the']"
tl_p055v_preTEI,Daot,[],"['ni', 'a', 'top', 'with', 'quicklime', 'which', 'will', 'consume', 'all', 'this']"
tl_p055v_preTEI,earthworms,['Distil'],"['separately', '&', 'horseradish', 'leaf', 'separately', '&', 'mix', 'these', 'two', 'waters']"
tl_p056r_preTEI,pigeon,"['into', 'the', 'cauldron', 'with', 'the', 'said', 'water', 'Take', 'as', 'much']","['dung', 'as', 'the', 'said', 'earth', '&', 'as', 'much', 'horse', 'dung']"
tl_p056r_preTEI,horse,"['much', 'pigeon', 'dung', 'as', 'the', 'said', 'earth', '&', 'as', 'much']","['dung', '&', 'as', 'much', 'iron', 'filings', '&', 'mix', 'the', 'whole']"
tl_p057v_preTEI,lambs,"['Sheath', 'makers', 'use', 'small', 'very', 'delicate', 'skins', 'of']","['and', 'young', 'goats', 'almost', 'like', 'parchment', 'and', 'keep', 'them', 'constantly']"
tl_p057v_preTEI,goats,"['makers', 'use', 'small', 'very', 'delicate', 'skins', 'of', 'lambs', 'and', 'young']","['almost', 'like', 'parchment', 'and', 'keep', 'them', 'constantly', 're-moistened', 'in', 'humid']"
tl_p058v_preTEI,oxen,"['of', 'lamp', 'smoke', 'of', 'burnt', 'bones', 'of', 'the', 'feet', 'of']",[]
tl_p058v_preTEI,porcupine,"['paintbrushes', 'is', 'made', 'by', 'those', 'who', 'work', 'with', 'care', 'from']","['quills', 'by', 'others', 'from', 'wood', 'of', 'arrows', 'from', 'Turkey', 'with']"
tl_p058v_preTEI,squirrel,"['which', 'have', 'a', 'firm', 'point', 'areon', 'needed', 'And', 'because', 'a']","['s', 'tail', 'hair', 'is', 'soft', 'the', 'most', 'careful', 'take', 'the']"
tl_p058v_preTEI,rats,"['soft', 'the', 'most', 'careful', 'take', 'the', 'bristles', 'of', 'the', 'oldest']","['especially', 'of', 'dormice', 'if', 'they', 'can', 'find', 'them', '&', 'put']"
tl_p058v_preTEI,dormice,"['careful', 'take', 'the', 'bristles', 'of', 'the', 'oldest', 'rats', 'especially', 'of']","['if', 'they', 'can', 'find', 'them', '&', 'put', 'two', 'or', 'three']"
tl_p058v_preTEI,beech martens,"['stick', 'to', 'them', 'as', 'to', 'the', 'point', 'The', 'bristles', 'of']","['&', 'weasels', '&', 'small', 'animals', 'that', 'make', 'musk', 'are', 'even']"
