folio,text in tag,before,after
tl_p001r_preTEI,pastel woad,"['des', 'Escrivains', 'by', 'St', 'Jacques', 'de', 'la', 'Boucherie', 'currier', 'Try']",['flowers']
tl_p001v_preTEI,Prunes,[],"['of', 'Saint', 'Antonin', '&', 'if', 'you', 'like', 'you', 'want', 'put']"
tl_p001v_preTEI,mallow,"['if', 'you', 'like', 'you', 'want', 'put', 'among', 'them', 'leaves', 'of']","['&', 'gilliflower', 'adding', 'in', 'sugar', '&', 'if', 'one', 'wants', 'a']"
tl_p001v_preTEI,gilliflower,"['like', 'you', 'want', 'put', 'among', 'them', 'leaves', 'of', 'mallow', '&']","['adding', 'in', 'sugar', '&', 'if', 'one', 'wants', 'a', 'little', 'cinnamon']"
tl_p001v_preTEI,cinnamon,"['gilliflower', 'adding', 'in', 'sugar', '&', 'if', 'one', 'wants', 'a', 'little']","['for', 'the', 'stomach']"
tl_p001v_preTEI,marshmallow,"['Or', 'else']","['root', 'in', 'a', 'chicken', 'broth', 'The', 'fresh', 'kind', 'is', 'more']"
tl_p001v_preTEI,jujubes,"['Beating', 'syrup', 'of', 'sweet']","['with', 'water', '&', 'taking', 'it', 'in', 'the', 'morning', 'loosens', 'the']"
tl_p002r_preTEI,cabbage,"['Turpentine', 'oil', 'oil', 'of', 'Jacob', 'and', 'salt', 'extracted', 'from']",['ash']
tl_p003r_preTEI,walnut,"['and', 'put', 'in', 'one', 'ounce', 'of', 'subtly', 'ground', 'vermilion', 'with']","['oil', 'and', 'if', 'you', 'add', 'in', 'a', 'little', 'Venice', 'laque']"
tl_p004v_preTEI,linseed,['Take'],"['oil', 'or', 'more', 'cheaply', 'walnut', 'oil', 'and', 'rid', 'it', 'of']"
tl_p004v_preTEI,walnut,"['Take', 'linseed', 'oil', 'or', 'more', 'cheaply']","['oil', 'and', 'rid', 'it', 'of', 'grease', 'with', 'garlic', '&', 'onions']"
tl_p004v_preTEI,garlic,"['more', 'cheaply', 'walnut', 'oil', 'and', 'rid', 'it', 'of', 'grease', 'with']","['&', 'onions', 'hog', 's', 'fennel', 'some', 'also', 'add', 'bread', 'crusts']"
tl_p004v_preTEI,onions,"['walnut', 'oil', 'and', 'rid', 'it', 'of', 'grease', 'with', 'garlic', '&']","['hog', 's', 'fennel', 'some', 'also', 'add', 'bread', 'crusts', 'which', 'you']"
tl_p004v_preTEI,hog’sfennel,"['oil', 'and', 'rid', 'it', 'of', 'grease', 'with', 'garlic', '&', 'onions']","['some', 'also', 'add', 'bread', 'crusts', 'which', 'you', 'will', 'boil', 'in']"
tl_p004v_preTEI,walnut,"['lb', 'of', 'the', 'oil', 'thus', 'boiled', 'the', 'size', 'of', 'a']","['of', 'black', 'pitch', '&', 'a', 'double', 'handful', 'of', 'grains', 'of']"
tl_p004v_preTEI,grains of wheat,"['a', 'walnut', 'of', 'black', 'pitch', '&', 'a', 'double', 'handful', 'of']","['without', 'removing', 'the', 'garlic', '&', 'onions', 'and', 'let', 'it', 'boil']"
tl_p004v_preTEI,garlic,"['a', 'double', 'handful', 'of', 'grains', 'of', 'wheat', 'without', 'removing', 'the']","['&', 'onions', 'and', 'let', 'it', 'boil', 'together', 'for', 'a', 'good']"
tl_p004v_preTEI,onions,"['handful', 'of', 'grains', 'of', 'wheat', 'without', 'removing', 'the', 'garlic', '&']","['and', 'let', 'it', 'boil', 'together', 'for', 'a', 'good', 'quarter', 'of']"
tl_p004v_preTEI,walnut,"['Some', 'consider']","['oil', 'better']"
