folio,text in tag,before,after
tcn_p003r_preTEI,à l’ombre,"['choses', 'painctes', 'sans', 'corrompre', 'les', 'couleurs', 'ne', 'jaulnir', 'Et', 'seiche']","['&', 'au', 'soleil', '&', 'du', 'jour', 'au', 'lendemain', 'et', 'aussy']"
tcn_p003r_preTEI,ausoleil,"['ne', 'j', 'au', 'lnir', 'Et', 'seiche', 'à', 'l', 'ombre', '&']","['&', 'du', 'jour', 'au', 'lendemain', 'et', 'au', 'ssy', 'bien', 'en']"
tcn_p003r_preTEI,pluye,"['la', 'poulsiere', 'Le', 'vernis', 'de', 'mastic', 'ne', 'soubstient', 'point', 'la']","['mays', 'bien', 'celuy', 'd', 'huile', 'et', 'rousine']"
tcn_p003v_preTEI,au,"['Il', 'est', 'mieulx', 'de', 'ch']","['fer', 'un', 'peu', 'le', 'vernis', 'que', 'le', 'coucher', 'au', 'soleil']"
tcn_p004r_preTEI,au soleil,"['pour', 'le', 'nettoyer', 'Aprés', 'mects', 'le', 'un', 'quart', 'd', 'heure']","['pour', 'le', 'faire', 'seicher', 'et', 'revenir', 'les', 'couleurs', 'Aprés', 'estant']"
tcn_p004v_preTEI,basse court,"['et', 'est', 'malaisé', 'd', 'estaindre', 'Fais', 'le', 'doncq', 'dans', 'une']","['ou', 'lieu', 'descouvert']"
tcn_p004v_preTEI,lieu,"['d', 'estaindre', 'Fais', 'le', 'doncq', 'dans', 'une', 'basse', 'court', 'ou']",['descouvert']
tcn_p005v_preTEI,fenestre,"['poses', 'le', 'mirouer', 'concave', 'derriere', 'la', 'chandelle', 'posee', 'sur', 'la']","['Tu', 'liras', '&', 'escripras', 'bien', 'loing', 'de', 'la', 'chandelle', 'si']"
tcn_p005v_preTEI,rue,"['la', 'table', 'Pour', 'voir', 'ce', 'qui', 'se', 'faict', 'en', 'une']","['ferme', 'une', 'fenestre', 'où', 'le', 'plus', 'que', 'tu', 'en', 'fermeras']"
tcn_p005v_preTEI,fenestre,"['voir', 'ce', 'qui', 'se', 'faict', 'en', 'une', 'rue', 'ferme', 'une']","['où', 'le', 'plus', 'que', 'tu', 'en', 'fermeras', 'sera', 'le', 'meilleur']"
tcn_p005v_preTEI,fenestre,"['en', 'part', 'Puys', 'pose', 'une', 'foeuille', 'de', 'papier', 'sur', 'la']","['&', 'que', 'le', 'milieu', 'de', 'la', 'foeille', 'soict', 'sur', 'le']"
tcn_p005v_preTEI,rue,"['&', 'il', 'te', 'representera', 'tout', 'ceulx', 'qui', 'passeront', 'en', 'la']","['sur', 'la', 'foeille', 'de', 'papier', 'De', 'mesmes', 'à', 'la', 'porte']"
tcn_p005v_preTEI,porte percee d’une chambre fermee,"['rue', 'sur', 'la', 'foeille', 'de', 'papier', 'De', 'mesmes', 'à', 'la']","['Tu', 'en', 'peulx', 'faire', 'd', 'ondes', '&', 'triangulaires', '&', 'de']"
tcn_p005v_preTEI,soleil,"['loing', 'à', 'de', 'la', 'paille', 'allume', 'une', 'chandelle', 'avecq', 'le']","['À', 'la', 'reverberation', 'aussy', 'du', 'foeu', 'il', 'eschaufe']"
tcn_p006r_preTEI,à la pluye,"['tout', 'à', 'huile', 'Et', 'cest', 'or', 'mat', 'ainsy', 'apliqué', 'dure']","['comme', 'les', 'plomberies', 'dorées', '&', 'choses', 'semblables', 'Doncques', 'pour', 'or']"
tcn_p007r_preTEI,au soleil,"['huile', 'gras', 'qui', 'se', 'faict', 'en', 'sept', 'ou', 'huict', 'jours']","['avecq', 'de', 'l', 'huile', 'de', 'noix', 'et', 'du', 'blanc', 'de']"
tcn_p007r_preTEI,à la pluye,"['foeille', 'd', 'or', 'dessus', 'avecq', 'du', 'cotton', 'Cet', 'or', 'tiendra']","['sur', 'les', 'maysons', '&', 'ailleurs', 'Et', 'si', 'tu', 'auras', 'doré']"
tcn_p008r_preTEI,muraille,"['Ayant', 'faict', 'trou', 'dans', 'la']","['comme', 'tu', 'sçais', 'mects', 'un', 'mortier', 'dedans', 'chargé', 'de', 'pouldre']"
tcn_p009r_preTEI,à la frescheur &aux,"['sec', 'les', 'mestiviers', 'le', 'plus', 'souvent', 'le', 'battent', 'de', 'nuict']","['rays', 'de', 'la', 'lune', 'Ce', 'qui', 'ne', 'se', 'pourroict', 'faire']"
tcn_p009r_preTEI,jugement,"['&', 'à', 'cestuy', 'cy', 'l', 'il', 'est', 'adjouxté', 'foy', 'en']",[]
tcn_p011r_preTEI,veines de la montaigne,"['vert', 'd', 'azur', 'se', 'trouve', 'qui', 'naturellement', 'distille', 'par', 'les']","['ou', 'qui', 'est', 'par', 'alambic', 'distillée', 'par', 'des', 'pierres', 'mineralles']"
tcn_p012r_preTEI,au vent,"['grisastre', '&', 'vif', 'n', 'est', 'pas', 'bon', 'Ne', 'gecte', 'pas']","['&', 'au', 'froict', 'car', 'il', 'soufleroit']"
tcn_p012r_preTEI,au froict,"['n', 'est', 'pas', 'bon', 'Ne', 'gecte', 'pas', 'au', 'vent', '&']","['car', 'il', 'soufleroit']"
tcn_p012r_preTEI,montaigne,"['Celuy', 'de']","['est', 'plus', 'gris', 'et', 'le', 'celuy', 'd', 'Albigeois', 'plus', 'blanc']"
tcn_p012v_preTEI,pres,"['dedans', '&', 'lors', 'je', 'la', 'laissay', 'de', 'soy', 'mesmes', 'refroidir']","['du', 'feu', 'car', 'aultrement', 'l', 'exposant', 'tout', 'à', 'coup', 'à']"
tcn_p013v_preTEI,chambre,"['de', 'la', 'pouldre', 'd', 'icelle', 'sur', 'un', 'brasier', 'en', 'la']","['de', 'quelques', 'uns', 'de', 'nuict', 'qu', 'ilz', 'ne', 'pourront', 'se']"
tcn_p013v_preTEI,vent d’,"['d', 'eliers', 'ne', 'font', 'bonne', 'chan', 'd', 'elle', 'lorsque', 'le']","['haultan', 'soufle', 'pource', 'qu', 'elle', 'est', 'tousjours', 'fon', 'd', 'ante']"
tcn_p014r_preTEI,bon & fertile territoire,"['trouve', 'pas', 'partout', 'de', 'semblables', 'terres', 'ceulx', 'qui', 'sont', 'en']","['ayants', 'designé', 'avecq', 'le', 'cordeau', 'les', 'largeur', '&', 'longueur', 'de']"
