folio,text in tag,before,after
tc_p002v_preTEI,lute,"['tout', 'ensemble', 'mis', 'dans', 'un', 'et', 'couvert', 'dun', 'aultre', 'bien']","['qui', 'ait', 'un', 'trou', 'dans', 'le', 'hault', 'fuzion', '7', 'heures']"
tc_p003r_preTEI,pot ,"['chose', 'que', 'rousine', 'recuite', 'Pour', 'bien', 'la', 'faire', 'Ayes', 'un']","['plombe', '&', 'fais', 'fondre', 'la', 'resine', '&', 'bouillir', 'sur', 'brasier']"
tc_p003r_preTEI,brasier,"['pot', 'plombe', '&', 'fais', 'fondre', 'la', 'resine', '&', 'bouillir', 'sur']","['une', 'bonne', 'heure', '&', 'jusques', 'a', 'ce', 'quelle', 'ne', 'demonstre']"
tc_p003r_preTEI,baston,"['&', 'que', 'facillement', 'elle', 'coule', '&', 'file', 'au', 'bout', 'dun']","['avecq', 'lequel', 'tu', 'la', 'broyes', '&', 'en', 'fais', 'lessay', 'Lors']"
tc_p003r_preTEI,lime,"['Le', 'coral', 'faict', 'desmail', 'de', 'gueule', 'endure', 'la']","['et', 'le', 'polissement']"
tc_p003r_preTEI,pile,"['ciment', 'qui', 'est', 'plus', 'fort', 'mesle', 'de', 'verre', 'que', 'de']","['que', 'de', 'brique', 'Ainsy', 'on', 'y', 'mesle', 'avecq', 'le', 'vermeillon']"
tc_p003r_preTEI,pile,"['de', 'lesmail', 'de', 'gueule', 'qui', 'est', 'rouge', 'en', 'corps', 'bien']","['Ainsy', 'de', 'toutes', 'couleurs', 'desmails']"
tc_p003r_preTEI,pot,"['de', 'tourmentine', 'de', 'venise', '&', 'la', 'faire', 'chaufer', 'dans', 'un']","['jusques', 'a', 'ce', 'quelle', 'fremisse', 'et', 'mectre', 'dedans', 'demy', 'lb']"
tc_p003v_preTEI,vaisseau,['Ce'],"['est', 'pour', 'faire', 'grande', 'quantite', 'dhuile', 'de', 'tourmentine', 'scavoir', 'un']"
tc_p003v_preTEI,vaisseau,"['La', 'lb', 'sen', 'vent', 'xii', 'sols', '&', 'au', 'fonds', 'du']","['demeure', 'la', 'colophoine', 'aultrement', 'pix', 'græca', 'Dans', 'ce', 'vaisseau', 'se']"
tc_p003v_preTEI,vaisseau,"['du', 'vaisseau', 'demeure', 'la', 'colophoine', 'aultrement', 'pix', 'græca', 'Dans', 'ce']","['se', 'fait', 'bien', 'aussi', 'leau', 'de', 'vye', 'et', 'nest', 'besoin']"
tc_p003v_preTEI,fourneau,"['besoin', 'de', 'la', 'repasser', 'Il', 'ne', 'te', 'fault', 'poinct', 'de']","['pour', 'ce', 'vaisseau', 'de', 'cuivre', 'Ains', 'seulement', 'du', 'charbon', 'aultour']"
tc_p003v_preTEI,vaisseau de ,"['repasser', 'Il', 'ne', 'te', 'fault', 'poinct', 'de', 'fourneau', 'pour', 'ce']","['cuivre', 'Ains', 'seulement', 'du', 'charbon', 'aultour', 'sil', 'a', 'le', 'cul']"
tc_p003v_preTEI,trepier,"['plat', 'Mays', 'sil', 'est', 'rond', 'tu', 'le', 'mectras', 'sur', 'un']",[]
