folio,text in tag,before,after
tl_p008r_preTEI,arquebus,"['a', 'little', 'force', '&', 'very', 'precisely', 'force', 'it', 'into', 'the']","['or', 'pistol', 'And', 'before', 'firing', 'cha', 'if', 'possible', 'make', 'it']"
tl_p008r_preTEI,pistol,"['force', '&', 'very', 'precisely', 'force', 'it', 'into', 'the', 'arquebus', 'or']","['And', 'before', 'firing', 'cha', 'if', 'possible', 'make', 'it', 'so', 'that']"
tl_p008r_preTEI,petard,"['a', 'hole', 'in', 'the', 'wall', 'as', 'you', 'know', 'put', 'a']","['inside', 'charged', 'with', 'powder', 'which', 'should', 'be', 'as', 'if', 'lying']"
tl_p015r_preTEI,artillery,"['work', 'not', 'so', 'porous', 'One', 'casts', 'large', 'works', 'such', 'as']","['bells', '&', 'similar', 'things', 'in', 'earth', '&', 'copper', 'cast', 'in']"
tl_p017r_preTEI,cannon,['The'],"['fires', 'at', 'point', 'blank', 'from', 'five', 'to', 'six', 'hundred', 'paces']"
tl_p017r_preTEI,cannon-perrier,"['40', 'lb', 'of', 'the', 'King', 's', 'caliber', 'There', 'is', 'a']","['which', 'weighs', 'xxv', 'quintals', 'which', 'are', 'small', 'short', 'cannons', 'It']"
tl_p017r_preTEI,"small, short cannons","['There', 'is', 'a', 'cannon-perrier', 'which', 'weighs', 'xxv', 'quintals', 'which', 'are']","['It', 'is', 'for', 'fighting', 'the', 'ditch', 'casemates', '&', 'for', 'battering']"
tl_p017r_preTEI,piece,"['one', 'ought', 'not', 'to', 'over-charge', 'it', 'for', 'this', 'damages', 'the']","['And', 'for', 'the', 'first', 'time', '&', 'until', 'it', 'has', 'fired']"
tl_p017r_preTEI,piece,"['first', 'time', '&', 'until', 'it', 'has', 'fired', 'five', 'or', 'six']","['s', 'shots', 'it', 'is', 'better', 'not', 'to', 'give', 'its', 'complete']"
tl_p017r_preTEI,arquebus,"['to', 'give', 'it', 'a', 'charge', 'of', 'xx', 'lb', 'of', 'fine']","['powder', 'instead', 'of', 'ordinary', 'cannon', 'powder', 'And', 'four', 'good', 'horses']"
tl_p017r_preTEI,cannon,"['40', 'lb', 'of', 'the', 'King', 's', 'caliber', 'There', 'is', 'a']","['-perrier', 'which', 'weighs', 'xxv', 'quintals', 'which', 'are', 'small', 'short', 'cannon']"
tl_p017r_preTEI,piece,"['is', 'better', 'not', 'to', 'give', 'its', 'complete', 'charge', 'for', 'the']","['is', 'still', 'proving', 'itself', 'And', 'the', 'test', 'that', 'one', 'can']"
tl_p017r_preTEI,piece,"['which', 'gives', 'great', 'strength', 'to', 'the', 'powder', '&', 'puts', 'the']","['in', 'danger', 'of', 'bursting', 'is', 'the', 'length', 'of', 'the', 'piece']"
