folio,text in tag,before,after
tl_p001v_preTEI,in the morning,"['Beating', 'syrup', 'of', 'sweet', 'jujubes', 'with', 'water', '&', 'taking', 'it']","['loosens', 'the', 'belly']"
tl_p002v_preTEI,hours,"['luted', 'that', 'has', 'a', 'hole', 'in', 'the', 'top', 'Fusion', '7']","['without', 'blowing', 'The', 'mass', 'was', 'of', 'a', 'beautiful', 'green']"
tl_p002v_preTEI,hours,"['℥', 'crystal', '6', '℥', 'verdet', '2', 'grains', 'Soft', 'fusion', 'vi']","['refired', '24', 'hours', 'The', 'mass', 'was', 'green', 'yellow', '&', 'red']"
tl_p002v_preTEI,hours,"['℥', 'verdet', '2', 'grains', 'Soft', 'fusion', 'vi', 'hours', 'refired', '24']","['The', 'mass', 'was', 'green', 'yellow', '&', 'red']"
tl_p002v_preTEI,hours,"['s', 'salt', '4', '℥', 'sparkling', 'coryal', '4', 'grains', 'Fusion', '6']",[]
tl_p003r_preTEI,hour,"['the', 'resin', '&', 'boil', 'it', 'over', 'the', 'brazier', 'a', 'good']","['&', 'until', 'it', 'appears', 'not', 'to', 'be', 'thick', 'but', 'clear']"
tl_p003r_preTEI,overnight,"['dries', 'both', 'in', 'the', 'shade', 'and', 'in', 'the', 'sun', 'and']","['and', 'during', 'the', 'winter', 'as', 'well', 'as', 'in', 'the', 'summer']"
tl_p003r_preTEI,during the winter,"['in', 'the', 'shade', 'and', 'in', 'the', 'sun', 'and', 'overnight', 'and']","['as', 'well', 'as', 'in', 'the', 'summer', 'It', 'is', 'commonly', 'sold']"
tl_p003r_preTEI,in the summer,"['sun', 'and', 'overnight', 'and', 'during', 'the', 'winter', 'as', 'well', 'as']","['It', 'is', 'commonly', 'sold', '15', 'sous', 'a', 'lb']"
tl_p003r_preTEI,months,"['a', 'long', 'time', 'to', 'dry', '&', 'drips', 'more', 'than', 'two']","['after', 'it', 'has', 'been', 'applied', 'to', 'the', 'planks', 'But', 'this']"
tl_p003r_preTEI,timespast,"['planks', 'But', 'this', 'one', 'does', 'not', 'drip', 'like', 'that', 'of']","['which', 'was', 'made', 'of', 'linseed', 'oil', 'garlic', 'boiled', 'in', 'it']"
tl_p003v_preTEI,hour,"['of', 'turpentine', 'oil', 'that', 'is', 'to', 'say', 'a', 'bucket', 'an']","['and', 'no', 'matter', 'which', 'turpentine', 'it', 'may', 'be', 'whether', 'fine']"
tl_p004r_preTEI,quarter of an hour,"['the', 'panel', 'to', 'clean', 'it', 'Next', 'put', 'it', 'for', 'a']","['in', 'the', 'sun', 'to', 'make', 'it', 'dry', 'and', 'to', 'revive']"
tl_p004v_preTEI,good quarter of an hour,"['bread', 'crusts', 'which', 'you', 'will', 'boil', 'in', 'it', 'for', 'a']","['Next', 'put', 'in', 'one', 'lb', 'of', 'the', 'oil', 'thus', 'boiled']"
tl_p004v_preTEI,good quarter of an hour,"['garlic', '&', 'onions', 'and', 'let', 'it', 'boil', 'together', 'for', 'a']","['And', 'when', 'the', 'pitch', 'is', 'well', 'melted', '&', 'when', 'the']"
tl_p004v_preTEI,half a day,"['lot', 'of', 'varnish', 'it', 'needs', 'to', 'boil', 'for', 'at', 'least']","['for', 'it', 'is', 'better', 'the', 'more', 'it', 'boils', 'It', 'is']"
tl_p004v_preTEI,hours,"['other', 'in', 'quite', 'strong', 'vinegar', '&', 'leave', 'it', 'for', 'xx4']","['before', 'using', 'it', '&', 'all', 'will', 'be', 'tempered', 'Next', 'spread']"
tl_p005r_preTEI,hours,"['or', 'linen', '&', 'leave', 'it', 'thus', 'for', 'xx4']","['&', 'it', 'will', 'be', 'engraved', 'But', 'if', 'you', 'should', 'want']"
tl_p005v_preTEI,at night,"['You', 'will', 'make', 'a', 'light']","['for', 'someone', 'quite', 'far', 'away', 'if', 'you', 'place', 'the', 'concave']"
tl_p007r_preTEI,night,"['it', 'in', 'in', 'eau-de-vie', 'of', 'vinegar', 'white', 'wine', 'for', 'one']","['then', 'one', 'melts', 'it', 'on', 'a', 'slow', 'fire', 'Others', 'soak']"
