folio,text in tag,before,after
tc_p001v_preTEI,estomac,"['&', 'si', 'on', 'veult', 'un', 'peu', 'de', 'canelle', 'pour', 'l']",[]
tc_p001v_preTEI,ventre,"['avecq', 'de', 'leau', '&', 'en', 'prendre', 'au', 'matin', 'lasche', 'le']",[]
tc_p003r_preTEI,doigt,"['donner', 'corps', 'au', 'vernis', 'lequel', 'se', 'doibt', 'coucher', 'avecq', 'le']","['affin', 'de', 'lestendre', 'plus', 'delie', 'et', 'moings', 'espes', 'car', 'quand']"
tc_p004r_preTEI,doigt,"['assiette', 'Et', 'sil', 'est', 'gras', 'en', 'le', 'maniant', 'avecq', 'le']","['cest', 'faict', 'Et', 'pour', 'une', 'lb', 'dhuile', 'daspic', 'tu', 'mectras']"
tc_p004v_preTEI,joinctee,"['bouilly', 'la', 'grosseur', 'dune', 'noix', 'de', 'poix', 'noire', '&', 'une']","['de', 'bled', 'de', 'froment', 'sans', 'oster', 'les', 'aulx', '&', 'oignons']"
tc_p005r_preTEI,visaige,"['regardes', 'de', 'pres', 'il', 'te', 'represente', 'a', 'lendroit', 'mays', 'le']","['fort', 'grand', '&', 'le', 'poil', 'de', 'la', 'barbe', 'gros', 'comme']"
tc_p005r_preTEI,poil de la barbe,"['represente', 'a', 'lendroit', 'mays', 'le', 'visaige', 'fort', 'grand', '&', 'le']","['gros', 'comme']"
tc_p005v_preTEI,teston,"['fisselle', '&', 'representera', 'aussi', 'un']","['grand', 'comme', 'une', 'assiette', 'Et', 'les', 'femmes', 'voyent', 'les', 'lieulx']"
tc_p005v_preTEI,lieulxsecrets,"['teston', 'grand', 'comme', 'une', 'assiette', 'Et', 'les', 'femmes', 'voyent', 'les']","['quelles', 'ne', 'veulent', 'pas', 'monstrer', 'aulx', 'Chirurgiens', 'Il', 'gecte', 'la']"
tc_p005v_preTEI,doigt,"['la', 'representation', 'hors', 'de', 'soy', 'Et', 'si', 'tu', 'touches', 'du']","['le', 'lieu', 'loeil', 'de', 'la', 'representation', 'un', 'aultre', 'doigt', 'viendra']"
tc_p005v_preTEI,doigt,"['du', 'doigt', 'le', 'lieu', 'loeil', 'de', 'la', 'representation', 'un', 'aultre']","['viendra', 'contre', 'le', 'tien']"
tc_p005v_preTEI,petit doigt,"['meilleur', 'Fais', 'a', 'celle', 'dembas', 'un', 'trou', 'gros', 'comme', 'le']","['tout', 'rond', 'de', 'part', 'en', 'part', 'puys', 'pose', 'une', 'foeuille']"
tc_p006v_preTEI,main,"['&', 'laultre', 'bout', 'de', 'la', 'canulle', 'se', 'tient', 'avecq', 'la']","['pourceque', 'elle', 'nest', 'poinct', 'chaulde', 'Quand', 'la', 'canulle', 'est', 'assez']"
tc_p007r_preTEI,bouche,"['La', 'colle', 'de']","['se', 'faict', 'de', 'ratisseures', 'de', 'parchemin', 'et', 'on', 'sen', 'sert']"
tc_p007r_preTEI,bouche,"['pour', 'coller', 'papier', 'ou', 'choses', 'semblables', 'la', 'mouillant', 'avecq', 'la']",[]
tc_p007v_preTEI,matrice,"['sont', 'pour', 'une', 'dose', 'Excellent', 'remede', 'contre', 'la', 'suffocation', 'de']",[]
tc_p007v_preTEI,urine,"['jaulne', 'subtillement', 'pulverisee', 'demy', 'once', 'de', 'storax', '4', 'lb', 'd']","['incorpores', 'bien', 'tout', 'ensemble', 'peu', 'a', 'peu', 'dans', 'un', 'mortier']"
tc_p007v_preTEI,urine,"['couvert', 'affin', 'que', 'la', 'fumee', 'nexhale', 'poinct', 'Apres', 'distilles', 'l']","['cest', 'imbibee', '&', 'separee', 'par', 'inclination', 'En', 'un', 'alembic', 'bien']"
tc_p011r_preTEI,ongle,"['gros', 'ne', 'se', 'peut', 'travailler', 'Essaye', 'le', 'doncq', 'sur', 'l']","['ou', 'sur', 'la', 'pallette', 'a', 'huile', 'sil', 'se', 'trouve', 'areneus']"
tc_p011v_preTEI,yeulx,"['cru', '&', 'avecq', 'un', 'bandeau', 'aplique', 'la', 'nuict', 'sur', 'les']",[]
tc_p011v_preTEI,ongle,"['Mays', 'Cest', 'pourquoy', 'il', 'ne', 'mord', 'pas', 'facillement', 'sur', 'l']","['qui', 'est', 'polie', '&', 'grasse', 'Mays', 'quand', 'le', 'poliment', 'est']"
tc_p012r_preTEI,doigt,"['espes', 'ton', 'plastre', 'en', 'eau', '&', 'desmelle', 'bien', 'avecq', 'le']","['et', 'sil', 'faict', 'des', 'pustules', 'jectes', 'y', 'dessus', 'de', 'la']"
tc_p012r_preTEI,doigt,"['dessus', 'de', 'la', 'pouldre', 'dudict', 'plastre', '&', 'broye', 'avecq', 'le']","['jusques', 'a', 'ce']"
tc_p012v_preTEI,bouche,"['petits', 'charbons', 'a', 'demy', 'brusles', 'Et', 'ne', 'souflay', 'quavecq', 'la']","['Et', 'touteffois', 'la', 'chose', 'vint', 'a', 'rougir', '&', 'prendre', 'ignition']"
tc_p013v_preTEI,doigt,"['sur', 'un', 'papier', '&', 'la', 'caches', '&', 'lestens', 'avecq', 'le']","['pourceque', 'si', 'elle', 'est', 'meslee', 'elle', 'se', 'trouvera', 'diverse', '&']"
tc_p014r_preTEI,pied,"['entre', 'lesquelles', 'il', 'gectent', 'la', 'terre', 'faisant', 'chasque', 'couche', 'dun']","['ou', 'environ', 'lentremeslant', 'comme', 'S', 'S', 'S', 'de', 'branches', 'de']"
tc_p015v_preTEI,oeil,"['dy', 'rien', 'mectre', 'dedans', 'Et', 'selon', 'le', 'proverbe', 'a', 'l']","['&', 'a', 'loreille', 'il', 'ny', 'fault', 'toucher', 'que', 'du', 'coulde']"
tc_p015v_preTEI,oreille,"['dedans', 'Et', 'selon', 'le', 'proverbe', 'a', 'loeil', '&', 'a', 'l']","['il', 'ny', 'fault', 'toucher', 'que', 'du', 'coulde', 'Touteffois', 'a', 'l']"
tc_p015v_preTEI,coulde,"['loeil', '&', 'a', 'loreille', 'il', 'ny', 'fault', 'toucher', 'que', 'du']","['Touteffois', 'a', 'loreille', 'affectee', 'est', 'bon', 'de', 'mectre', 'du', 'cothon']"
tc_p015v_preTEI,oreille,"['il', 'ny', 'fault', 'toucher', 'que', 'du', 'coulde', 'Touteffois', 'a', 'l']","['affectee', 'est', 'bon', 'de', 'mectre', 'du', 'cothon', 'musque', 'cest', 'a']"
tc_p015v_preTEI,oreille,"['Aulcuns', 'mectent', 'une', 'gousse', 'dail', 'dans', 'l']","['qui', 'est', 'du', 'coste', 'que', 'la', 'dent', 'faict', 'mal', '&']"
tc_p015v_preTEI,dent,"['gousse', 'dail', 'dans', 'loreille', 'qui', 'est', 'du', 'coste', 'que', 'la']","['faict', 'mal', '&', 'en', 'deux', 'ou', 'trois', 'heures', 'il', 'sen']"
tc_p015v_preTEI,narine,"['trois', 'heures', 'il', 'sen', 'trouvent', 'bien', 'Aultres', 'mectent', 'dans', 'la']","['qui', 'est', 'du', 'coste', 'de', 'la', 'dent', 'qui', 'deult', 'de']"
tc_p015v_preTEI,dent,"['mectent', 'dans', 'la', 'narine', 'qui', 'est', 'du', 'coste', 'de', 'la']","['qui', 'deult', 'de', 'la', 'peau', 'verte', 'raclee', 'deu', 'serment', 'de']"
tc_p016r_preTEI,poignees,"['mectent', 'a', 'la', 'bouche', 'de', 'leur', 'fonte', 'deulx', 'ou', 'trois']","['dhiebles', 'comme', 'ilz', 'veulent', 'faire', 'courre', 'la', 'fonte', 'Et', 'cela']"
tc_p018r_preTEI,poulse,"['disant', 'que', 'chasque', 'refoulement', 'faict', 'haulser', '&', 'done', 'advantage', 'dun']","['Mays', 'cela', 'nest', 'gueres', 'asseure', 'pour', 'les', 'grandes', 'pieces', 'qui']"
tc_p019v_preTEI,ongle du poulce droict,"['le', 'rond', 'justement', 'avecq', 'la', 'plume', '&', 'Aultrement', 'avecq', 'l']","['&', 'le', 'grand', 'doigt', 'replye', 'Si', 'tu', 'nas', 'poinct', 'de']"
tc_p019v_preTEI,granddoigt,"['plume', '&', 'Aultrement', 'avecq', 'longle', 'du', 'poulce', 'droict', '&', 'le']","['replye', 'Si', 'tu', 'nas', 'poinct', 'de', 'reigle', 'replye', 'du', 'papier']"
tc_p019v_preTEI,vent,"['aysem', 'le', 'clistere', 'Il', 'est', 'vray', 'quelle', 'faict', 'tousjours', 'du']","['a', 'la', 'fin']"
