folio,text in tag,before,after
tl_p001v_preTEI,stomach,"['sugar', '&', 'if', 'one', 'wants', 'a', 'little', 'cinnamon', 'for', 'the']",[]
tl_p001v_preTEI,belly,"['with', 'water', '&', 'taking', 'it', 'in', 'the', 'morning', 'loosens', 'the']",[]
tl_p003r_preTEI,finger,"['to', 'the', 'varnish', 'which', 'needs', 'to', 'be', 'applied', 'with', 'the']","['in', 'order', 'to', 'spread', 'it', 'thinner', 'and', 'less', 'thick', 'for']"
tl_p004r_preTEI,finger,"['if', 'it', 'is', 'fatty', 'when', 'you', 'handle', 'it', 'with', 'a']","['it', 'is', 'ready', 'And', 'for', 'one', 'lb', 'of', 'lavender', 'spike']"
tl_p004v_preTEI,handful,"['size', 'of', 'a', 'walnut', 'of', 'black', 'pitch', '&', 'a', 'double']","['of', 'grains', 'of', 'wheat', 'without', 'removing', 'the', 'garlic', '&', 'onions']"
tl_p005r_preTEI,face,"['will', 'represent', 'you', 'the', 'right', 'way', 'up', 'but', 'with', 'your']","['quite', 'large', '&', 'the', 'hairs', 'of', 'your', 'beard', 'as', 'thick']"
tl_p005r_preTEI,hairs of yourbeard,"['way', 'up', 'but', 'with', 'your', 'face', 'quite', 'large', '&', 'the']","['as', 'thick', 'as']"
tl_p005v_preTEI,nipple,"['string', '&', 'will', 'represent', 'a']","['as', 'large', 'as', 'a', 'plate', 'and', 'women', 'can', 'see', 'the']"
tl_p005v_preTEI,secret places,"['as', 'large', 'as', 'a', 'plate', 'and', 'women', 'can', 'see', 'the']","['that', 'they', 'do', 'not', 'want', 'to', 'show', 'to', 'surgeons', 'It']"
tl_p005v_preTEI,finger,"['touch', 'the', 'place', 'the', 'eye', 'of', 'the', 'representation', 'with', 'your']","['another', 'finger', 'will', 'come', 'against', 'yours']"
tl_p005v_preTEI,finger,"['place', 'the', 'eye', 'of', 'the', 'representation', 'with', 'your', 'finger', 'another']","['will', 'come', 'against', 'yours']"
