folio,text in tag,before,after
tl_p001v_preTEI,for the ,"['adding', 'in', 'sugar', '&', 'if', 'one', 'wants', 'a', 'little', 'cinnamon']",['stomach']
tl_p001v_preTEI,mollifying,"['root', 'in', 'a', 'chicken', 'broth', 'The', 'fresh', 'kind', 'is', 'more']",[]
tl_p001v_preTEI,loosens the ,"['sweet', 'jujubes', 'with', 'water', '&', 'taking', 'it', 'in', 'the', 'morning']",['belly']
tl_p007v_preTEI,against the suffocation of the ,"['for', 'six', 'extinguished', 'walnuts', 'are', 'for', 'one', 'dose', 'Excellent', 'cure']",['matrix']
tl_p007v_preTEI,injectionem,"['refrigerata', 'colentur', 'cum', 'forti', 'expressione', '&', 'de', 'colatura', 'utatur', 'per']",[]
tl_p013v_preTEI,"theywill be neither able to move, nor speak, nor thwart ","['a', 'brazier', 'in', 'the', 'chamber', 'of', 'some', 'persons', 'at', 'night']",['thieves']
tl_p015v_preTEI,defluxion,"['When', 'some']","['occurs', 'there', 'one', 'needs', 'to', 'be', 'very', 'careful', 'not', 'to']"
tl_p015v_preTEI,one ought only to touch the,"['not', 'to', 'put', 'anything', 'inside', 'and', 'according', 'to', 'the', 'proverb']","['ear', '&', 'the', 'eye', 'with', 'the', 'elbow', 'However', 'it', 'is']"
tl_p015v_preTEI,comforts quite well,"['cotton', 'that', 'is', 'to', 'say', 'kept', 'in', 'musk', 'for', 'it']",[]
tl_p016v_preTEI,injection,"['in', 'clear', 'water', '&', 'of', 'this', 'mucilaginous', 'water', 'make', 'an']",[]
tl_p020v_preTEI,against the windy colic,"['Sap', 'squeezed', 'or', 'water', 'distilled', 'from', 'orange', 'peel', 'is', 'excellent']","['Candied', 'peel', 'too', 'is', 'excellent', 'for', 'the', 'winds', 'of', 'the']"
tl_p020v_preTEI,for the ,"['excellent', 'against', 'the', 'windy', 'colic', 'Candied', 'peel', 'too', 'is', 'excellent']","['winds', 'of', 'the', 'belly', 'And', 'to', 'make', 'a', 'trial', 'of']"
