folio,text in tag,before,after
tcn_p001r_preTEI,pastel,"['pres', 'Sainct', 'Jaques', 'de', 'la', 'Boucherie', 'courroyeur', 'Essayer', 'fleur', 'de']",[]
tcn_p001v_preTEI,pruneaux,['Les'],"['de', 'Sainct', 'Antonin', '&', 'si', 'tu', 'veulx', 'parmy', 'tu', 'pourras']"
tcn_p001v_preTEI,mauves,"['si', 'tu', 'veulx', 'parmy', 'tu', 'pourras', 'mectre', 'des', 'foeilles', 'de']","['&', 'de', 'viole', 'y', 'adjoustant', 'du', 'sucre', '&', 'si', 'on']"
tcn_p001v_preTEI,viole,"['parmy', 'tu', 'pourras', 'mectre', 'des', 'foeilles', 'de', 'mauves', '&', 'de']","['y', 'adjoustant', 'du', 'sucre', '&', 'si', 'on', 'veult', 'un', 'peu']"
tcn_p001v_preTEI,canelle,"['adjoustant', 'du', 'sucre', '&', 'si', 'on', 'veult', 'un', 'peu', 'de']","['pour', 'l', 'estomac']"
tcn_p001v_preTEI,guimave,"['bien', 'dans', 'un', 'bouillon', 'de', 'poulet', 'de', 'la', 'racine', 'de']","['La', 'fresche', 'est', 'plus', 'remollitive']"
tcn_p001v_preTEI,guindoles,"['Battre', 'du', 'cirop', 'de']","['doulces', 'avecq', 'de', 'l', 'eau', '&', 'en', 'prendre', 'au', 'matin']"
tcn_p002r_preTEI,choux,"['huile', 'de', 'Jacob', 'et', 'sel', 'tiré', 'de', 'la', 'cendre', 'de']",[]
tcn_p003r_preTEI,noix,"['mectre', 'une', 'once', 'de', 'vermeillon', 'broyé', 'subtillement', 'avecq', 'huile', 'de']","['et', 'si', 'tu', 'y', 'adjoustes', 'un', 'peu', 'de', 'laque', 'platte']"
tcn_p004v_preTEI,lin,"['Prens', 'huile', 'de']","['ou', 'pour', 'meilleur', 'marché', 'de', 'l', 'huile', 'de', 'noix', 'et']"
tcn_p004v_preTEI,noix,"['de', 'lin', 'ou', 'pour', 'meilleur', 'marché', 'de', 'l', 'huile', 'de']","['et', 'la', 'fais', 'desgraisser', 'avecq', 'des', 'aulx', '&', 'oignons', 'queues']"
tcn_p004v_preTEI,aulx,"['l', 'huile', 'de', 'noix', 'et', 'la', 'fais', 'desgraisser', 'avecq', 'des']","['&', 'oignons', 'queues', 'de', 'pourrce', 'aulx', 'aulcuns', 'adjoustent', 'des', 'crostes']"
tcn_p004v_preTEI,oigno,"['de', 'noix', 'et', 'la', 'fais', 'desgraisser', 'avecq', 'des', 'aulx', '&']","['ns', 'queues', 'de', 'pourrceaulx', 'aulcuns', 'adjoustent', 'des', 'crostes', 'de', 'pain']"
tcn_p004v_preTEI,queues de pourrceaulx,"['noix', 'et', 'la', 'fais', 'desgraisser', 'avecq', 'des', 'aulx', '&', 'oignons']","['aulcuns', 'adjoustent', 'des', 'crostes', 'de', 'pain', 'que', 'tu', 'feras', 'bouillir']"
tcn_p004v_preTEI,noix,"['une', 'lb', 'd', 'huile', 'ainsy', 'bouilly', 'la', 'grosseur', 'd', 'une']","['de', 'poix', 'noire', '&', 'une', 'joinctée', 'de', 'bled', 'de', 'froment']"
tcn_p004v_preTEI,bled de froment,"['d', 'une', 'noix', 'de', 'poix', 'noire', '&', 'une', 'joinctée', 'de']","['sans', 'oster', 'les', 'aulx', '&', 'oignons', 'et', 'laisser', 'bouillir', 'ensemble']"
tcn_p004v_preTEI,aulx,"['fais', 'desgraisser', 'avecq', 'des', 'aulx', '&', 'oignons', 'queues', 'de', 'pourrce']","['aulcuns', 'adjoustent', 'des', 'crostes', 'de', 'pain', 'que', 'tu', 'feras', 'bouillir']"
tcn_p004v_preTEI,oignons,"['de', 'noix', 'et', 'la', 'fais', 'desgraisser', 'avecq', 'des', 'aulx', '&']","['queues', 'de', 'pourrceaulx', 'aulcuns', 'adjoustent', 'des', 'crostes', 'de', 'pain', 'que']"
tcn_p004v_preTEI,noix,"['Aulcuns', 'estiment', 'l', 'huile', 'de']",['meilleur']
tcn_p004v_preTEI,ail,"['de', 'galipot', 'qui', 'coste', '4', 'sols', '&', 'des', 'gousses', 'd']","['pelées', 'Ce', 'vernis', 'de', 'soymesme', 'n', 'est', 'pas', 'noir', 'mays']"
tcn_p004v_preTEI,aspic,"['Prens', 'vernis', 'd', 'huile', 'd']","['&', 'y', 'mesle', 'du', 'noir', 'à', 'noircir', 'ou', 'du', 'noir']"
tcn_p004v_preTEI,lin,"['Prens', 'huile', 'de']","['ou', 'huile', 'de', 'noix', '&', 'au', 'lieu', 'de', 'poix', 'noire']"
tcn_p004v_preTEI,noix,"['Prens', 'huile', 'de', 'lin', 'ou', 'huile', 'de']","['&', 'au', 'lieu', 'de', 'poix', 'noire', 'tu', 'y', 'mectras', 'un']"
tcn_p005r_preTEI,linge,['ou'],"['&', 'le', 'laisser', 'ainsy', 'xx4', 'heures', '&', 'il', 'sera', 'gravé']"
tcn_p006r_preTEI,prele,"['Et', 'la', 'derniere', 'estant', 'seiche', 'frotte', 'la', 'avecq', 'de', 'la']","['qui', 'est', 'une', 'herbe', 'aultrement', 'appellée', 'queue', 'de', 'cheval', 'pour']"
