folio,text in tag,before,after
tl_p002v_preTEI,crucible,"['℥', 'verdet', '3', '|ʒ|', 'Incorporate', 'all', 'together', 'put', 'in', 'a']","['covered', 'with', 'another', 'well', 'luted', 'that', 'has', 'a', 'hole', 'in']"
tl_p002v_preTEI,luted,"['all', 'together', 'put', 'in', 'a', 'crucible', 'covered', 'with', 'another', 'well']","['that', 'has', 'a', 'hole', 'in', 'the', 'top', 'Fusion', '7', 'hours']"
tl_p003r_preTEI,brazier,"['pot', '&', 'melt', 'the', 'resin', '&', 'boil', 'it', 'over', 'the']","['a', 'good', 'hour', '&', 'until', 'it', 'appears', 'not', 'to', 'be']"
tl_p003r_preTEI,stick,"['&', 'easily', 'runs', '&', 'flows', 'from', 'the', 'tip', 'of', 'a']","['with', 'which', 'you', 'grind', 'it', '&', 'test', 'it', 'Then', 'pour']"
tl_p003r_preTEI,file,"['The', 'coral', 'made', 'of', 'gules', 'red', 'enamel', 'endures', 'the']","['and', 'polishing']"
tl_p003r_preTEI,pestled,"['It', 'is', 'made', 'like', 'cement', 'that', 'is', 'stronger', 'mixed', 'with']","['than', 'of', 'glass', 'rather', 'than', 'with', 'brick', 'Thus', 'here', 'one']"
tl_p003r_preTEI,pestled,"['glass', 'rather', 'than', 'with', 'brick', 'Thus', 'here', 'one', 'mixes', 'well']","['gules', 'red', 'enamel', 'which', 'is', 'red', 'in', 'body', 'with', 'the']"
tl_p003r_preTEI,pot,"['a', 'lb', 'of', 'Venice', 'turpentine', '&', 'heat', 'it', 'in', 'a']","['until', 'it', 'simmers', 'and', 'put', 'in', 'half', 'a', 'lb', 'of']"
tl_p003v_preTEI,vessel,['This'],"['is', 'for', 'making', 'large', 'quantities', 'of', 'turpentine', 'oil', 'that', 'is']"
tl_p003v_preTEI,vessel,"['sold', 'at', 'xii', 'sous', '&', 'at', 'the', 'bottom', 'of', 'the']","['remains', 'the', 'colophony', 'or', 'pix', 'graeca', 'In', 'this', 'vessel', 'eau-de-vie']"
tl_p003v_preTEI,vessel,"['the', 'vessel', 'remains', 'the', 'colophony', 'or', 'pix', 'graeca', 'In', 'this']","['eau-de-vie', 'is', 'also', 'made', 'well', 'and', 'there', 'is', 'no', 'need']"
tl_p003v_preTEI,oven,"['need', 'to', 'distill', 'it', 'again', 'You', 'do', 'not', 'need', 'a']","['for', 'this', 'copper', 'vessel', 'but', 'only', 'charcoal', 'around', 'it', 'if']"
tl_p003v_preTEI,trivet,"['if', 'it', 'is', 'round', 'you', 'will', 'place', 'it', 'on', 'a']",[]
tl_p004r_preTEI,plate,"['by', 'taking', 'a', 'little', 'of', 'the', 'said', 'varnish', 'on', 'a']","['and', 'if', 'it', 'is', 'fatty', 'when', 'you', 'handle', 'it', 'with']"
tl_p004r_preTEI,sieved,"['Take', 'white', 'soap', '&']","['ashese', '&', 'soak', 'both', 'in', 'water', 'And', 'with', 'a', 'sponge']"
tl_p004r_preTEI,sponge,"['sieved', 'ashese', '&', 'soak', 'both', 'in', 'water', 'And', 'with', 'a']","['take', 'the', 'said', 'ashes', '&', 'soap', '&', 'rub', 'the', 'panel']"
tl_p004v_preTEI,feather,"['a', 'low', 'charcoal', 'fire', '&', 'apply', 'your', 'varnish', 'with', 'a']","['or', 'a', 'brush', 'And', 'when', 'you', 'see', 'that', 'it', 'no']"
tl_p004v_preTEI,brush,"['fire', '&', 'apply', 'your', 'varnish', 'with', 'a', 'feather', 'or', 'a']","['And', 'when', 'you', 'see', 'that', 'it', 'no', 'longer', 'smokes', 'it']"
tl_p004v_preTEI,brush,"['fire', 'it', 'will', 'mix', 'in', 'by', 'itself', 'Varnish', 'with', 'a']","['&', 'it', 'will', 'soon', 'be', 'dry', 'Turpentine', 'varnish', 'will', 'be']"
tl_p004v_preTEI,sponge,"['this', 'liquor', 'or', 'sauce', 'on', 'the', 'engraved', 'object', 'with', 'a']",[]
