folio,text in tag,before,after
tc_p001r_preTEI,mestre,"['Cousin', 'qui', 'demeure', 'au', 'faulxbourgs', 'de', 'sainct', 'germain', 'scaict', 'du']","['Mestre', 'Jehan', 'Garnier', 'a', 'la', 'rue', 'des', 'escrivains', 'pres', 'sainct']"
tc_p001r_preTEI,courroyeur,"['la', 'rue', 'des', 'escrivains', 'pres', 'sainct', 'Jaques', 'de', 'la', 'boucherie']","['essayer', 'fleur', 'de', 'pastel']"
tc_p001r_preTEI,moissonneur,['Le'],"['laissant', 'quelques', 'espis', 'nest', 'repris', 'Sacra', 'Eleusinæ', 'deæ', 'propalare', 'nefas']"
tc_p001r_preTEI,historicus,"['venatione', 'Nicolaus', 'Damascenus', 'Cares', 'de', 'rebus', 'persarum', 'Isidorus', 'Osorius', 'Eupolemus']","['gentilis', 'qui', 'de', 'rebus', 'davidis', '&', 'salomonis', 'scripsit', 'monsieur', 'Cathalogue']"
tc_p001r_preTEI,bergiers,"['davidis', '&', 'salomonis', 'scripsit', 'monsieur', 'Cathalogue', 'des', 'villes', 'Calendrier', 'des']","['Grammaire', 'Italiene', 'Arithmetique', 'de', 'Savonne', 'Instruction', 'pour', 'le', 'faict', 'des']"
tc_p001r_preTEI,inventeur des rustiques figulines,"['des', 'finances', 'a', 'Lyon', 'Synesius', 'Olaus', 'Magnus', 'Mestre', 'Bernard', 'palissi']","['du', 'roy', 'et', 'de', 'la', 'royne', 'mere']"
tc_p001r_preTEI,roy,"['Olaus', 'Magnus', 'Mestre', 'Bernard', 'palissi', 'inventeur', 'des', 'rustiques', 'figulines', 'du']","['et', 'de', 'la', 'roy', 'ne', 'mere']"
tc_p001r_preTEI,royne mere,"['palissi', 'inventeur', 'des', 'rustiques', 'figulines', 'du', 'roy', 'et', 'de', 'la']",[]
tc_p002v_preTEI,febvre,"['Caillous', 'ou', 'christal', '8', '℥', 'minium', '16', '℥', 'sel', 'de']","['4', '℥', 'coryal', 'extincellent', '4', 'grains', 'fuzion', '6', 'heures']"
tc_p004r_preTEI,quadraniers,"['bon', 'ni', 'si', 'gras', 'Cestuy', 'cy', 'est', 'promptement', 'sec', 'Les']","['pour', 'eviter', 'la', 'peyne', 'de', 'polir', 'leur', 'hebene', 'le', 'vernissent']"
tc_p004v_preTEI,fourbisseur,"['partye', 'de', 'ce', 'livre', 'apres', 'les', 'sables', 'au', 'chapitre', 'du']",[]
tc_p005v_preTEI,f,[],"['isselle', '&', 'representera', 'aussi', 'un', 'teston', 'grand', 'comme', 'une', 'assiette']"
tc_p005v_preTEI,Chirurgiens,"['voyent', 'les', 'lieulx', 'secrets', 'quelles', 'ne', 'veulent', 'pas', 'monstrer', 'aulx']","['Il', 'gecte', 'la', 'representation', 'hors', 'de', 'soy', 'Et', 'si', 'tu']"
tc_p006v_preTEI,boutonniers aussi de verre,"['qui', 'se', 'couppent', 'comme', 'dict', 'est', 'avecq', 'la', 'lime', 'Les']","['saident', 'dudict', 'fourneau']"
tc_p007r_preTEI,menusiers,"['faict', 'avecq', 'peau', 'de', 'moulue', 'boullie', 'plustost', 'questre', 'salee', 'Les']","['en', 'collent', 'leurs', 'chef', 'doeuvre', 'et', 'les', 'quiternier', 'sen', 'servent']"
tc_p007v_preTEI,fabrorum,['Aquæ'],"['antiquæ', 'lb', 'i', 'boli', 'armeniæ', 'in', 'tel', 'tenuissimum', 'pollinem', 'redactæ']"
tc_p009r_preTEI,mestiviers,"['Pource', 'que', 'le', 'millet', 'est', 'de', 'nature', 'fort', 'sec', 'les']","['le', 'plus', 'souvent', 'le', 'battent', 'de', 'nuict', 'a', 'la', 'frescheur']"
tc_p009r_preTEI,aprentifs,"['quattre', 'livres', 'Le', 'tyrant', 'qui', 'est', 'un', 'formulayre', 'pour', 'les']","['par', 'lequel', 'ilz', 'peuvent', 'scavoir', 'ce', 'que', 'chasque', 'piece', 'de']"
tc_p009v_preTEI,Marchans,"['Le', 'Raiglement', 'que', 'les']","['ont', 'accoustumé', 'tenir', 'en', 'leurs', 'livres', 'Scavoir', 'le', 'livre', 'Brouillart']"
tc_p010r_preTEI,painctres,['Les'],"['la', 'font', 'belle', 'faisant', 'la', 'premiere', 'assiette', 'dazur', 'commun', 'ou']"
