folio,text in tag,before,after
tcn_p002v_preTEI,luté,"['ensemble', 'mis', 'dans', 'un', 'croiset', 'couvert', 'd', 'un', 'aultre', 'bien']","['qui', 'ait', 'un', 'trou', 'dans', 'le', 'hault', 'Fuzion', '7', 'heures']"
tcn_p003r_preTEI,pot ,"['chose', 'que', 'rousine', 'recuite', 'Pour', 'bien', 'la', 'faire', 'ayes', 'un']","['plombé', '&', 'fais', 'fondre', 'la', 'resine', '&', 'bouillir', 'sur', 'brasier']"
tcn_p003r_preTEI,brasier,"['pot', 'plombé', '&', 'fais', 'fondre', 'la', 'resine', '&', 'bouillir', 'sur']","['une', 'bonne', 'heure', '&', 'jusques', 'à', 'ce', 'qu', 'elle', 'ne']"
tcn_p003r_preTEI,baston,"['que', 'facillement', 'elle', 'coule', '&', 'file', 'au', 'bout', 'd', 'un']","['avecq', 'lequel', 'tu', 'la', 'broyes', '&', 'en', 'fais', 'l', 'essay']"
tcn_p003r_preTEI,lime,"['Le', 'coral', 'faict', 'd', 'esmail', 'de', 'gueule', 'endure', 'la']","['et', 'le', 'polissement']"
tcn_p003r_preTEI,pilé,"['ciment', 'qui', 'est', 'plus', 'fort', 'meslé', 'de', 'verre', 'que', 'de']","['que', 'de', 'brique', 'Ainsy', 'on', 'y', 'mesle', 'avecq', 'le', 'vermeillon']"
tcn_p003r_preTEI,pilé,"['l', 'esmail', 'de', 'gueule', 'qui', 'est', 'rouge', 'en', 'corps', 'bien']","['Ainsy', 'de', 'toutes', 'couleurs', 'd', 'esmails']"
tcn_p003r_preTEI,pot,"['de', 'tourmentine', 'de', 'Venise', '&', 'la', 'faire', 'chaufer', 'dans', 'un']","['jusques', 'à', 'ce', 'qu', 'elle', 'fremisse', 'et', 'mectre', 'dedans', 'demy']"
tcn_p003v_preTEI,vaisseau,['Ce'],"['est', 'pour', 'faire', 'grande', 'quantité', 'd', 'huile', 'de', 'tourmentine', 'sçavoir']"
tcn_p003v_preTEI,vaisseau,"['lb', 's', 'en', 'vent', 'xii', 'sols', '&', 'au', 'fonds', 'du']","['demeure', 'la', 'colophoine', 'aultrement', 'pix', 'grӕca', 'Dans', 'ce', 'vaisseau', 'se']"
tcn_p003v_preTEI,vaisseau,"['du', 'vaisseau', 'demeure', 'la', 'colophoine', 'aultrement', 'pix', 'grӕca', 'Dans', 'ce']","['se', 'fait', 'bien', 'aussi', 'l', 'eau', 'de', 'vye', 'et', 'n']"
tcn_p003v_preTEI,fourneau,"['besoin', 'de', 'la', 'repasser', 'Il', 'ne', 'te', 'fault', 'poinct', 'de']","['pour', 'ce', 'vaisseau', 'de', 'cuivre', 'ains', 'seulement', 'du', 'charbon', 'aultour']"
tcn_p003v_preTEI,vaisseau de ,"['repasser', 'Il', 'ne', 'te', 'fault', 'poinct', 'de', 'fourneau', 'pour', 'ce']","['cuivre', 'ains', 'seulement', 'du', 'charbon', 'aultour', 's', 'il', 'a', 'le']"
tcn_p003v_preTEI,trepier,"['mays', 's', 'il', 'est', 'rond', 'tu', 'le', 'mectras', 'sur', 'un']",[]
tcn_p003v_preTEI,vaisseau de ,"['disent', 'qu', 'il', 'n', 'est', 'bon', 'de', 'distiler', 'dans', 'ce']","['cuivre', 'pource', 'qu', 'il', 'faict', 'vert', 'Touteffois', 'estamé', 'il', 'est']"
tcn_p004r_preTEI,assiette,"['tu', 'cognoistras', 'en', 'prenant', 'un', 'peu', 'dudict', 'vernis', 'sur', 'une']","['et', 's', 'il', 'est', 'gras', 'en', 'le', 'maniant', 'avecq', 'le']"
tcn_p004r_preTEI,tamisée,"['Prens', 'du', 'savon', 'blanc', '&', 'de', 'la', 'cendree']","['&', 'le', 'tout', 'destremper', 'dans', 'de', 'l', 'eau', 'Et', 'avecq']"
tcn_p004r_preTEI,esponge,"['le', 'tout', 'destremper', 'dans', 'de', 'l', 'eau', 'Et', 'avecq', 'une']","['prens', 'de', 'ladicte', 'cendre', '&', 'savon', '&', 'en', 'frotte', 'le']"
tcn_p004v_preTEI,plume,"['sur', 'le', 'foeu', 'legier', 'de', 'charbons', '&', 'aplique', 'avecques', 'une']","['ou', 'broisse', 'ton', 'vernis', 'Et', 'quand', 'tu', 'verras', 'qu', 'il']"
tcn_p004v_preTEI,broisse,"['foeu', 'legier', 'de', 'charbons', '&', 'aplique', 'avecques', 'une', 'plume', 'ou']","['ton', 'vernis', 'Et', 'quand', 'tu', 'verras', 'qu', 'il', 'ne', 'fumera']"
tcn_p004v_preTEI,broisse,"['foeu', 'il', 'se', 'destrempe', 'de', 'soi', 'mesme', 'Vernis', 'avecq', 'une']","['&', 'il', 'sera', 'bien', 'tost', 'sec', 'Le', 'vernis', 'de', 'tourmentine']"
tcn_p004v_preTEI,poincte d’,"['ne', 'fumera', 'plus', 'il', 'est', 'sec', 'Grave', 'aprés', 'avecq', 'la']","['acier', 'ce', 'que', 'tu', 'voul', 'd', 'ras', 'Aprés', 'ayes', 'd']"
tcn_p004v_preTEI,esponge,"['ceste', 'liqueur', 'ou', 'saulce', 'sur', 'la', 'chose', 'gravée', 'avecq', 'une']",[]
tcn_p005r_preTEI,moule,"['rosette', '&', 'l', 'estain', 'pource', 'qu', 'il', 'se', 'gecte', 'en']","['&', 'se', 'faict', 'rond', 'cave', 'convexe', '&', 'comme', 'on', 'veult']"
tcn_p005r_preTEI,creuseau,"['n', 'a', 'poinct', 'encores', 'servi', 'Et', 'les', 'mects', 'dans', 'un']","['&', 'premierement', 'fais', 'bien', 'fondre', 'le', 'cuivre', 'Et', 'estant', 'bien']"
tcn_p005r_preTEI,"moule, de ","['l', 'estain', 'dedans', 'et', 'mesle', 'ensemble', 'Puys', 'gecte', 'dans', 'le']","['pierre', 'blanche', 'poinct', 'oeilletee', '&', 'oints', 'le', 'moule', 'd', 'huile']"
tcn_p005r_preTEI,moule,"['l', 'estain', 'dedans', 'et', 'mesle', 'ensemble', 'Puys', 'gecte', 'dans', 'le']","['de', 'pierre', 'blanche', 'poinct', 'oeilletee', '&', 'oints', 'le', 'moule', 'd']"
tcn_p005r_preTEI,moulé,"['d', 'huile', '&', 'qu', 'il', 'soict', 'mediocrement', 'chault', 'Puys', 'ayant']","['ton', 'mirouer', 'tu', 'le', 'pourras', 'polir', 'en', 'ceste', 'sorte']"
tcn_p005r_preTEI,mirouer concave,['Le'],"['composé', 'de', 'la', 'forme', 'susdicte', 'rend', 'une', 'infinité', 'de', 'gentilesses']"
