folio,text in tag,before,after
tl_p003r_preTEI,in the shade,"['without', 'corrupting', 'the', 'colors', 'or', 'yellowing', 'And', 'it', 'dries', 'both']","['and', 'in', 'the', 'sun', 'and', 'overnight', 'and', 'during', 'the', 'winter']"
tl_p003r_preTEI,in the sun,"['or', 'yellowing', 'And', 'it', 'dries', 'both', 'in', 'the', 'shade', 'and']","['and', 'overnight', 'and', 'during', 'the', 'winter', 'as', 'well', 'as', 'in']"
tl_p003r_preTEI,rain,"['to', 'keep', 'them', 'from', 'dust', 'Mastic', 'varnish', 'does', 'not', 'resist']","['whereas', 'that', 'of', 'oil', 'and', 'rosin', 'does']"
tl_p003v_preTEI,in the sun,"['varnish', 'a', 'little', 'bit', 'rather', 'than', 'to', 'put', 'it', 'out']","['because', 'this', 'makes', 'the', 'panel', 'warp']"
tl_p004r_preTEI,in thesun,"['it', 'Next', 'put', 'it', 'for', 'a', 'quarter', 'of', 'an', 'hour']","['to', 'make', 'it', 'dry', 'and', 'to', 'revive', 'the', 'colors', 'Next']"
tl_p004v_preTEI,courtyard,"['and', 'is', 'hard', 'to', 'extinguish', 'Make', 'this', 'therefore', 'in', 'a']","['or', 'an', 'open', 'space']"
tl_p004v_preTEI,open space,"['to', 'extinguish', 'Make', 'this', 'therefore', 'in', 'a', 'courtyard', 'or', 'an']",[]
tl_p005v_preTEI,window,"['place', 'the', 'concave', 'mirror', 'behind', 'a', 'candle', 'placed', 'on', 'the']","['You', 'will', 'be', 'able', 'to', 'read', 'and', 'write', 'quite', 'far']"
tl_p005v_preTEI,street,"['table', 'for', 'you', 'To', 'see', 'what', 'is', 'happening', 'on', 'a']","['shutter', 'the', 'window', 'whereby', 'the', 'more', 'of', 'it', 'you', 'can']"
tl_p005v_preTEI,window,"['To', 'see', 'what', 'is', 'happening', 'on', 'a', 'street', 'shutter', 'the']","['whereby', 'the', 'more', 'of', 'it', 'you', 'can', 'shut', 'the', 'better']"
tl_p005v_preTEI,window,"['the', 'other', 'Then', 'place', 'a', 'sheet', 'of', 'paper', 'on', 'the']","['&', 'let', 'the', 'middle', 'of', 'the', 'sheet', 'be', 'over', 'the']"
tl_p005v_preTEI,street,"['represent', 'to', 'you', 'all', 'those', 'who', 'pass', 'by', 'in', 'the']","['on', 'the', 'sheet', 'of', 'paper', 'Similarly', 'with', 'the', 'pierced', 'door']"
tl_p005v_preTEI,pierced door of a closed room,"['the', 'street', 'on', 'the', 'sheet', 'of', 'paper', 'Similarly', 'with', 'the']","['You', 'can', 'make', 'wavy', 'ones', '&', 'triangular', 'ones', 'in', 'the']"
tl_p005v_preTEI,sun,"['from', 'quite', 'far', 'away', 'and', 'lights', 'a', 'candle', 'with', 'the']","['Also', 'it', 'heats', 'through', 'the', 'reverberation', 'of', 'fire']"
tl_p006r_preTEI,in the rain,"['it', 'with', 'oil', 'And', 'this', 'or', 'mat', 'thus', 'applied', 'keeps']","['like', 'gilded', 'lead', 'work', '&', 'similar', 'things', 'Therefore', 'for', 'burnished']"
tl_p007r_preTEI,inthe sun,"['fatty', 'oil', 'which', 'is', 'made', 'in', 'seven', 'or', 'eight', 'days']","['with', 'walnut', 'oil', 'and', 'lead', 'white', '&', 'with', 'stirring', 'it']"
tl_p007r_preTEI,in the rain,"['leaf', 'on', 'it', 'with', 'cotton', 'Such', 'gold', 'will', 'hold', 'up']","['on', 'houses', '&', 'elsewhere', 'And', 'if', 'you', 'have', 'gilded', 'with']"
tl_p008r_preTEI,wall,"['Having', 'made', 'a', 'hole', 'in', 'the']","['as', 'you', 'know', 'put', 'a', 'petard', 'inside', 'charged', 'with', 'powder']"
tl_p009r_preTEI,in the cool& by moonlight,"['nature', 'very', 'dry', 'harvesters', 'beat', 'it', 'most', 'often', 'at', 'night']","['Which', 'could', 'not', 'be', 'done', 'with', 'another', 'grain', 'that', 'is']"
tl_p009r_preTEI,court,"['payment', '&', 'to', 'this', 'one', 'l', 'credence', 'is', 'given', 'in']",[]
tl_p011r_preTEI,veins of the mountain,"['vert', 'd', 'azur', 'is', 'found', 'which', 'distills', 'naturally', 'through', 'the']","['or', 'is', 'distilled', 'through', 'an', 'alembic', 'par', 'from', 'mineral', 'stones']"
tl_p012r_preTEI,in wind,"['greyish', '&', 'lively', 'one', 'is', 'not', 'good', 'Do', 'not', 'cast']","['&', 'in', 'cold', 'for', 'it', 'would', 'become', 'porous']"
tl_p012r_preTEI,in cold,"['one', 'is', 'not', 'good', 'Do', 'not', 'cast', 'in', 'wind', '&']","['for', 'it', 'would', 'become', 'porous']"
tl_p012r_preTEI,mountains,"['That', 'from', 'the']","['is', 'greyer', 'and', 'the', 'the', 'one', 'from', 'the', 'region', 'of']"
tl_p012v_preTEI,near the fire,"['inside', '&', 'then', 'I', 'let', 'it', 'cool', 'on', 'its', 'own']","['for', 'otherwise', 'exposing', 'it', 'suddenly', 'to', 'cold', 'air', 'it', 'would']"
tl_p013v_preTEI,chamber,"['puts', 'the', 'powder', 'of', 'it', 'on', 'a', 'brazier', 'in', 'the']","['of', 'some', 'persons', 'at', 'night', 'they', 'will', 'be', 'neither', 'able']"
tl_p014r_preTEI,good & fertile land,"['of', 'earth', 'are', 'not', 'found', 'everywhere', 'those', 'who', 'are', 'on']","['after', 'marking', 'out', 'with', 'a', 'measuring', 'line', 'the', 'width', '&']"
tl_p016v_preTEI,cool & dry place,"['however', 'that', 'it', 'is', 'enough', 'to', 'keep', 'them', 'in', 'a']","['in', 'such', 'manner', 'that', 'they', 'are', 'not', 'pressed', 'together', 'It']"
tl_p017r_preTEI,ditch casemates,"['which', 'are', 'small', 'short', 'cannons', 'It', 'is', 'for', 'fighting', 'the']","['&', 'for', 'battering', 'at', 'close', 'range', 'It', 'bears', 'a', 'large']"
tl_p017r_preTEI,private houses,"['have', 'as', 'much', 'force', 'as', 'the', 'big', 'ones', 'especially', 'for']","['&', 'small', 'towns', '&', 'fortresses', 'of', 'little', 'importance', 'They', 'are']"
tl_p017r_preTEI,small towns,"['force', 'as', 'the', 'big', 'ones', 'especially', 'for', 'private', 'houses', '&']","['&', 'fortresses', 'of', 'little', 'importance', 'They', 'are', 'no', 'more', 'subject']"
tl_p017r_preTEI,fortresses of littleimportance,"['big', 'ones', 'especially', 'for', 'private', 'houses', '&', 'small', 'towns', '&']","['They', 'are', 'no', 'more', 'subject', 'to', 'bursting', 'than', 'the', 'others']"
tl_p017v_preTEI,casemates,"['eight', 'pans', 'long', '&', 'they', 'are', 'for', 'battering', 'defenses', '&']","['s', 'placing', 'them', 'via', 'trenches', 'on', 'the', 'edge', 'of', 'the']"
tl_p017v_preTEI,trenches,"['are', 'for', 'battering', 'defenses', '&', 'casemates', 's', 'placing', 'them', 'via']","['on', 'the', 'edge', 'of', 'the', 'ditch', 'by', 'night']"
tl_p017v_preTEI,edge of the ditch,"['defenses', '&', 'casemates', 's', 'placing', 'them', 'via', 'trenches', 'on', 'the']","['by', 'night']"
tl_p018r_preTEI,gabions,"['They', 'serve', 'to', 'batter', 'defences', 'of', 'little', 'importance', 'such', 'as']","['and', 'garrets', 'topped', 'with', 'a', 'tower', '&', 'similar', 'things', 'It']"
tl_p018r_preTEI,garrets topped with a tower,"['to', 'batter', 'defences', 'of', 'little', 'importance', 'such', 'as', 'gabions', 'and']","['&', 'similar', 'things', 'It', 'is', 'thirteen', 'or', 'xiiii', 'pans', 'long']"
tl_p018r_preTEI,city,"['which', 's', 'cannot', 'be', 'moved', 'by', 'carriage', 'but', 'are', 'for']","['defences', 'Some', 'make', 'these', 'xxvii', 'or', 'xxviii', 'pans', 'long', 'like']"
