folio,text in tag,before,after
tl_p004r_preTEI,guitar,"['of', 'polishing', 'their', 'ebony', 'varnish', 'it', 'with', 'this', 'as', 'do']","['makers', 'This', 'is', 'not', 'as', 'appropriate', 'for', 'panels', 'as', 'that']"
tl_p007r_preTEI,guitar,"['than', 'being', 'salted', 'Joiners', 'glue', 'their', 'masterpieces', 'with', 'it', 'and']","['maker', 'use', 'it', 'for', 'delicate', 'works', 'It', 'wants', 'to', 'be']"
tl_p104v_preTEI,cittern,"['all', 'around', 'the', 'edge', 'and', 'attach', 'quills', 'as', 'for', 'a']","['or', 'a', 'spinet', '&', 'arrange', 'them', 'according', 'to', 'the', 'song']"
tl_p104v_preTEI,spinet,"['edge', 'and', 'attach', 'quills', 'as', 'for', 'a', 'cittern', 'or', 'a']","['&', 'arrange', 'them', 'according', 'to', 'the', 'song', 'you', 'want', 'to']"
tl_p111r_preTEI,spinet,"['smaller', '&', 'thin', 'p', 'like', 'the', 'thick', 'strings', 'of', 'a']","['for', 'the', 'small', 'works', 'Once', 'de', 'reheated', 'you', 'make', 'clamps']"
tl_p113r_preTEI,spinets,"['be', 'subtle', '&', 'delicate', 'almost', 'like', 'the', 'thickest', 'strings', 'of']","['And', 'it', 'is', 'better', 'that', 'they', 'be', 'of', 'iron', 'wire']"
tl_p113r_preTEI,mandore,"['having', 'placed', 'your', 'animal', 'on', 'the', 'cake', 'shaped', 'like', 'a']","['place', 'all', 'around', 'a', 'circle', 'of', 'the', 'same', 'earth', 'in']"
tl_p113v_preTEI,mandore,"['knife', 'giving', '||', 'to', 'it', 'the', 'long', 'shape', 'of', 'a']",['Rasche']
tl_p114r_preTEI,cittern,"['you', 'need', 'to', 'make', 'delicate', 'points', 'of', 'of', 'fil', 'cist']","['strings', 'both', 'long', '&', 'short']"
tl_p114v_preTEI,mandore,"['two', 'molds', 'uniformly', 'together', 'in', 'a', 'long', 'shape', 'of', 'a']","['as', 'mentioned', 'because', 'of', 'the', 'cast', 'Then', 'dip', 'a', 'little']"
tl_p116r_preTEI,mandore,"['alum', 'on', 'top', 'having', 'arranged', 'your', 'image', 'on', 'the', 'clay']","['&', 'having', 'made', 'a', 'circle', 'around', 'it', 'de', 'to', 'give']"
tl_p117r_preTEI,mandore,"['have', 'done', 'for', 'the', 'snakes', 'in', 'the', 'form', 'of', 'a']","['in', 'such', 'a', 'way', 'that', 'according', 'to', 'the', 'size', 'of']"
tl_p117r_preTEI,mandore,"['pass', 'the', 'wire', 'stem', 'through', 'the', 'end', 'of', 'the', 'earthen']","['in', 'order', 'that', 'the', 'wax', 'q', 'peg', 'where', 'the', 'plant']"
tl_p117r_preTEI,mandore,"['plant', 'is', 'fastened', 'joins', 'to', 'the', 'end', 'of', 'the', 'earthen']","['And', 'arrange', 'thus', 'your', 'plant', 'in', 'such', 'a', 'way', 'lying']"
tl_p117r_preTEI,mandore,"['down', 'that', 'it', 'remains', 'in', 'the', 'middle', 'of', 'the', 'said']","['without', 'touching', 'on', 'either', 'side', 'so', 'that', 'a', 'the', 'sand']"
tl_p117r_preTEI,mandore,"['sand', 'much', 'thinner', 'than', 'the', 'one', 'for', 'snakes', 'in', 'the']","['And', 'the', 'sooner', 'the', 'better', 'in', 'order', 'that', 'the', 'eau-de-vie']"
tl_p156v_preTEI,spinet,"['iron', 'point', 'You', 'will', 'also', 'cut', 'some', 'small', 'bits', 'of']","['strings', '&', 'glue', 'with', 'the', 'said', 'glue', '&', 'once', 'dry']"
tl_p157r_preTEI,spinet,"['with', 'wax', 'or', 'fashion', 'some', 'out', 'of', 'swine', 'bristle', 'or']","['string', 'Fix', 'the', 'leaf', 'on', 'the', 'clay', 'slab', 'with', 'two']"
tl_p165v_preTEI,spinet,"['keep', 'their', 'mouths', 'open', 'put', 'in', 'a', 'little', 'bit', 'of']","['string', 'which', 'will', 'not', 'take', 'up', 'space']"
