folio,text in tag,before,after
tcn_p001r_preTEI,rue de la Heaumerie,"['Mestre', 'Nico', 'Costé', 'à', 'la']","['à', 'l', 'image', 'Sainct', 'Claude', '/', 'Mirouers', 'Mestre', 'Jehan', 'Cousin']"
tcn_p001r_preTEI,faulxbourgsde S,"['ainct', 'Claude', '/', 'Mirouers', 'Mestre', 'Jehan', 'Cousin', 'qui', 'demeure', 'au']","['ainct', 'Germain', 'sçaict', 'du', 'mestre', 'Mestre', 'Jehan', 'Garnier', 'à', 'la']"
tcn_p001r_preTEI,rue desEscrivains,"['Sainct', 'Germain', 'sçaict', 'du', 'mestre', 'Mestre', 'Jehan', 'Garnier', 'à', 'la']","['pres', 'Sainct', 'Jaques', 'de', 'la', 'Boucherie', 'courroyeur', 'Essayer', 'fleur', 'de']"
tcn_p001r_preTEI,S,"['Costé', 'à', 'la', 'rue', 'de', 'la', 'Heaumerie', 'à', 'l', 'image']","['ainct', 'Claude', '/', 'Mirouers', 'Mestre', 'Jehan', 'Cousin', 'qui', 'demeure', 'au']"
tcn_p001r_preTEI,Eleusinæ,"['Le', 'moissonneur', 'laissant', 'quelques', 'espis', 'n', 'est', 'repris', 'Sacra']","['deæ', 'propalare', 'nefas', 'Trompettes', 'voy', 'le', 'livre', 'des', 'funerailles']"
tcn_p001r_preTEI,Ingolstadiensis,"['Vuolfangus', 'Lazius', 'Petrus', 'Appianus', 'mathematicus']","['Comment', 'urb', 'rom', 'Hieronimo', 'Ruscelli', 'Hermolaus', 'Barbarus', 'Angelius', 'Bargæus', 'De']"
tcn_p001r_preTEI,urb. rom.,"['Vuolfangus', 'Lazius', 'Petrus', 'Appianus', 'mathematicus', 'Ingolstadiensis', 'Comment']","['Hieronimo', 'Ruscelli', 'Hermolaus', 'Barbarus', 'Angelius', 'Bargæus', 'De', 'aucupio', 'et', 'venatione']"
tcn_p001r_preTEI,italiene,"['Salomonis', 'scripsit', 'monsieur', 'Cathalogue', 'des', 'villes', 'Calendrier', 'des', 'bergiers', 'Grammaire']","['Arithmetique', 'de', 'Savonne', 'Instruction', 'pour', 'le', 'faict', 'des', 'finances', 'Questions']"
tcn_p001r_preTEI,Lyon,"['aeigmatiques', 'Des', 'præceptes', 'd', 'agriculture', 'Le', 'secret', 'des', 'finances', 'à']","['Synesius', 'Olaus', 'Magnus', 'Mestre', 'Bernard', 'Palissi', 'inventeur', 'des', 'rustiques', 'figulines']"
tcn_p001r_preTEI,Alex,[],"['ander', 'Aphrodisæus', 'Polydorus', 'Vergilius', 'Appianus', 'Athenæus', 'Pausanias', 'Statius', 'Thebaidos', 'Servius']"
tcn_p001r_preTEI,Romæ,"['Aquatilium', 'animalium', 'historiæ', 'Hypolito', 'Salviano', 'Typhernate', 'authore']",['1554']
tcn_p001r_preTEI,Normandie,"['Les', 'Annales', 'de']",[]
