folio,text in tag,before,after
tcn_p001r_preTEI,mestre,"['Cousin', 'qui', 'demeure', 'au', 'faulxbourgs', 'de', 'Sainct', 'Germain', 'sçaict', 'du']","['Mestre', 'Jehan', 'Garnier', 'à', 'la', 'rue', 'des', 'Escrivains', 'pres', 'Sainct']"
tcn_p001r_preTEI,courroyeur,"['la', 'rue', 'des', 'Escrivains', 'pres', 'Sainct', 'Jaques', 'de', 'la', 'Boucherie']","['Essayer', 'fleur', 'de', 'pastel']"
tcn_p001r_preTEI,moissonneur,['Le'],"['laissant', 'quelques', 'espis', 'n', 'est', 'repris', 'Sacra', 'Eleusinae', 'deae', 'propalare']"
tcn_p001r_preTEI,historicus,"['venatione', 'Nicolaus', 'Damascenus', 'Caresariensis', 'De', 'rebus', 'Persarum', 'Isidorus', 'Osorius', 'Eupolemus']","['gentilisqui', 'de', 'rebus', 'Davidis', '&', 'Salomonis', 'scripsit', 'monsieur', 'Cathalogue', 'des']"
tcn_p001r_preTEI,bergiers,"['Davidis', '&', 'Salomonis', 'scripsit', 'monsieur', 'Cathalogue', 'des', 'villes', 'Calendrier', 'des']","['Grammaire', 'italiene', 'Arithmetique', 'de', 'Savonne', 'Instruction', 'pour', 'le', 'faict', 'des']"
tcn_p001r_preTEI,inventeur des rustiques figulines,"['des', 'finances', 'à', 'Lyon', 'Synesius', 'Olaus', 'Magnus', 'Mestre', 'Bernard', 'Palissi']","['du', 'roy', 'et', 'de', 'la', 'royne', 'mere']"
tcn_p001r_preTEI,roy,"['Olaus', 'Magnus', 'Mestre', 'Bernard', 'Palissi', 'inventeur', 'des', 'rustiques', 'figulines', 'du']","['et', 'de', 'la', 'roy', 'ne', 'mere']"
tcn_p001r_preTEI,royne mere,"['Palissi', 'inventeur', 'des', 'rustiques', 'figulines', 'du', 'roy', 'et', 'de', 'la']",[]
tcn_p002v_preTEI,febvre,"['Caillous', 'ou', 'christal', '8', '℥', 'minium', '16', '℥', 'sel', 'de']","['4', '℥', 'coryal', 'extincellent', '4', 'grains', 'Fuzion', '6', 'heures']"
tcn_p004r_preTEI,quadraniers,"['bon', 'ni', 'si', 'gras', 'Cestuy', 'cy', 'est', 'promptement', 'sec', 'Les']","['pour', 'eviter', 'la', 'peyne', 'de', 'polir', 'leur', 'hebene', 'le', 'vernissent']"
tcn_p004v_preTEI,fourbisseur.,"['partye', 'de', 'ce', 'livre', 'aprés', 'les', 'sables', 'au', 'chapitre', 'du']",[]
tcn_p005v_preTEI,f,[],"['isselle', '&', 'representera', 'aussi', 'un', 'teston', 'grand', 'comme', 'une', 'assiette']"
tcn_p005v_preTEI,chirurgiens,"['les', 'lieulx', 'secrets', 'qu', 'elles', 'ne', 'veulent', 'pas', 'monstrer', 'aulx']","['Il', 'gecte', 'la', 'representation', 'hors', 'de', 'soy', 'et', 'si', 'tu']"
tcn_p006v_preTEI,boutonniers aussi de verre,"['qui', 'se', 'couppent', 'comme', 'dict', 'est', 'avecq', 'la', 'lime', 'Les']","['s', 'aident', 'dudict', 'fourneau']"
tcn_p007r_preTEI,menusiers,"['avecq', 'peau', 'de', 'moulue', 'boullie', 'plustost', 'qu', 'estre', 'salée', 'Les']","['en', 'collent', 'leurs', 'chef', 'd', 'oeuvre', 'et', 'les', 'quiternier', 's']"
tcn_p007v_preTEI,fabrorum,['Aquae'],"['antiquae', 'lb', 'i', 'boli', 'Armeniae', 'in', 'tel', 'tenuissimum', 'pollinem', 'redactae']"
tcn_p009r_preTEI,mestiviers,"['Pource', 'que', 'le', 'millet', 'est', 'de', 'nature', 'fort', 'sec', 'les']","['le', 'plus', 'souvent', 'le', 'battent', 'de', 'nuict', 'à', 'la', 'frescheur']"
tcn_p009r_preTEI,aprentifs,"['quattre', 'livres', 'Le', 'tyrant', 'qui', 'est', 'un', 'formulayre', 'pour', 'les']","['par', 'lequel', 'ilz', 'peuvent', 'sçavoir', 'ce', 'que', 'chasque', 'piece', 'de']"
tcn_p009v_preTEI,marchans,"['Le', 'raiglement', 'que', 'les']","['ont', 'accoustumé', 'tenir', 'en', 'leurs', 'livres', 'sçavoir', 'le', 'livre', 'brouillart']"
tcn_p010r_preTEI,painctres,['Les'],"['la', 'font', 'belle', 'faisant', 'la', 'premiere', 'assiette', 'd', 'azur', 'commun']"
tcn_p011r_preTEI,communspainctres,"['C', 'est', 'un', 'secret', 'qui', 'n', 'est', 'gueres', 'cogneu', 'des']","['Aulcuns', 'prennent', 'le', 'plus', 'deslié', 'qu', 'ilz', 'peuvent', '&', 'le']"
tcn_p012r_preTEI,barbiers,"['feu', 'clos', 'comme', 'à', 'feu', 'de', 'reverberation', 'ou', 'fours', 'de']","['Et', 'le', 'plus', 'frais', 'cuict', 'est', 'le', 'meilleur', 'à', 'mectre']"
tcn_p012v_preTEI,orfevres,"['Fais', 'les', 'doulcement', 'bouillir', 'dans', 'la', 'bouteure', 'd']","['puys', 'avecq', 'du', 'tripoly', '&', 'un', 'lopin', 'de', 'cuir', 'saulpouldré']"
tcn_p012v_preTEI,anciens lapidaires,"['soict', 'naturelle', 'aultres', 'disent', 'que', 'c', 'est', 'un', 'secret', 'des']","['qui', 's', 'est', 'perdu', 'aultres', 'disent', 'que', 'c', 'est', 'esmail']"
tcn_p012v_preTEI,orfevre,"['petite', 'cassete', 'de', 'fer', 'au', 'feu', 'de', 'ma', 'forge', 'd']","['avecq', 'trois', 'ou', 'quattre', 'petits', 'charbons', 'à', 'demy', 'bruslés', 'et']"
tcn_p013r_preTEI,vitrier,"['la', 'mis', 'dedans', 'Puys', 'je', 'fis', 'rougir', 'deulx', 'souldouers', 'de']","['&', 'comme', 'ilz', 'estoient', 'rouges', 'je', 'les', 'presentois', 'l', 'ung']"
tcn_p013v_preTEI,sophistiqueurs,"['de', 'couleur', 'pour', 'ce', 'que', 'l', 'huile', 'l', 'obscurcist', 'Quelques']","['les', 'meslent', 'mays', 'tu', 'cognoistras', 'cela', 'si', 'tu', 'en', 'verses']"
tcn_p013v_preTEI,larrons,"['ne', 'pourront', 'se', 'mouvoir', 'ne', 'parler', 'ne', 'donner', 'empeschement', 'aulx']",[]
tcn_p013v_preTEI,chandeliers,"['Jamays', 'les']","['ne', 'font', 'bonne', 'chandelle', 'lorsque', 'le', 'vent', 'd', 'haultan', 'soufle']"
tcn_p014r_preTEI,pouldriers,"['a', 'du', 'salpestre', 'C', 'est', 'pourquoy', 'quand', 'elles', 'tumbent', 'les']","['en', 'font', 'leur', 'proffict']"
tcn_p015r_preTEI,fondeurs,"['chassis', 'car', 'si', 'elle', 'estoit', 'humide', 'comme', 'le', 'sable', 'des']","['l', 'or', 'ou', 'l', 'argent', 'saulteroient', '&', 'porteroient', 'dommaige', 'Il']"
tcn_p016r_preTEI,commun,['Le'],"['estime', 'que', 'le', 'fer', 'une', 'fois', 'fondu', 'ne', 'se', 'peult']"
tcn_p016r_preTEI,alchemistes,"['petites', 'forges', 'où', 'il', 'ne', 'faict', 'que', 'prendre', 'ignition', 'Les']","['se', 'promectent', 'de', 'le', 'faire', 'fondre', 'avecq', 'du', 'realgar', 'ou']"
tcn_p016r_preTEI,minerons,['Les'],"['pour', 'fayre', 'courre', 'le', 'fer', 'mectent', 'à', 'la', 'bouche', 'de']"
tcn_p016r_preTEI,ouvriers,"['ce', 'que', 'ne', 'pourroit', 'f', 'pas', 'faire', 'la', 'force', 'des']","['On', 'dresse', 'doncq', 'la', 'muraille', 'comme', 'tu', 'vois', '&', 'le']"
tcn_p016v_preTEI,ouvrier,"['le', 'vert', 'qui', 'aussi', 'revienent', 'a', 'meilleur', 'compte', 'a', 'l']","['Le', 'noir', 'abonde', 'moings', 'pource', 'qu', 'il', 'charge', 'fort']"
tcn_p017r_preTEI,roy,"['estre', 'plus', 'loing', 'Sa', 'balle', 'poise', 'communement', 'du', 'qualibre', 'du']","['40', 'lb', 'Il', 'y', 'a', 'canon', 'perrier', 'qui', 'poyse', 'xxv']"
tcn_p017r_preTEI,roy,"['battre', 'de', 'pres', 'Il', 'porte', 'grand', 'balle', 'de', 'qualibre', 'de']","['comme', 'les', 'aultres', 'sçavoir', 'de', '40', 'lb', 'Il', 'ne', 'porte']"
tcn_p017r_preTEI,roy,"['c', 'est', 'pan', 'de', 'Montpellier', '&', 'non', 'pas', 'pan', 'de']","['qui', 'n', 'est', 'pas', 'usité', 'en', 'la', 'fonte', 'de', 'canons']"
tcn_p017r_preTEI,roy,"['&', 'recompensent', 'en', 'espesseur', 'ce', 'la', 'longueur', 'qu', 'ilz', 'au']","['ent', 'au', 'pan', 'de', 'roy', 'à', 'quelle', 'mesure', 'ilz', 'se']"
tcn_p017r_preTEI,roy,"['Le', 'pan', 'de', 'Montpellier', 'est', 'de', 'six', 'poulces', 'de']","['qui', 'en', 'en', 'emporte', 'deulx', 'commungs']"
tcn_p017v_preTEI,m,"['Le', 'grand', 'canon', 'qui', 'est', 'pour', 'grandes', 'batteries', 'poise', 'co']","['m', 'une', 'm', 'ent', 'cinquante', 'cinq', 'ou', 'lx', 'quintals', 'Sur']"
