folio,text in tag,before,after
tc_p003r_preTEI,a lombre,"['choses', 'painctes', 'sans', 'corrompre', 'les', 'couleurs', 'ne', 'jaulnir', 'Et', 'seiche']","['&', 'au', 'soleil', '&', 'du', 'jour', 'au', 'lendemain', 'Et', 'aussy']"
tc_p003r_preTEI,ausoleil,"['couleurs', 'ne', 'j', 'au', 'lnir', 'Et', 'seiche', 'a', 'lombre', '&']","['&', 'du', 'jour', 'au', 'lendemain', 'Et', 'au', 'ssy', 'bien', 'en']"
tc_p003r_preTEI,pluye,"['la', 'poulsiere', 'Le', 'vernis', 'de', 'mastic', 'ne', 'soubstient', 'point', 'la']","['Mays', 'bien', 'celuy', 'dhuile', 'et', 'rousine']"
tc_p003v_preTEI,au,"['Il', 'est', 'mieulx', 'de', 'ch']","['fer', 'un', 'peu', 'le', 'vernis', 'que', 'le', 'coucher', 'au', 'soleil']"
tc_p004r_preTEI,au soleil,"['au', 'pour', 'le', 'nettoyer', 'Apres', 'mects', 'le', 'un', 'quart', 'dheure']","['pour', 'le', 'faire', 'seicher', 'et', 'revenir', 'les', 'couleurs', 'Apres', 'estant']"
tc_p004v_preTEI,basse court,"['dessus', 'et', 'est', 'malaise', 'destaindre', 'Fais', 'le', 'doncq', 'dans', 'une']","['ou', 'lieu', 'descouvert']"
tc_p004v_preTEI,lieu,"['malaise', 'destaindre', 'Fais', 'le', 'doncq', 'dans', 'une', 'basse', 'court', 'ou']",['descouvert']
tc_p005v_preTEI,fenestre,"['poses', 'le', 'mirouer', 'concave', 'derriere', 'la', 'chandelle', 'posee', 'sur', 'la']","['Tu', 'liras', '&', 'escripras', 'bien', 'loing', 'de', 'la', 'chandelle', 'si']"
tc_p005v_preTEI,rue,"['la', 'table', 'Pour', 'voir', 'ce', 'qui', 'se', 'faict', 'en', 'une']","['Ferme', 'une', 'fenestre', 'ou', 'le', 'plus', 'que', 'tu', 'en', 'fermeras']"
tc_p005v_preTEI,fenestre,"['voir', 'ce', 'qui', 'se', 'faict', 'en', 'une', 'rue', 'Ferme', 'une']","['ou', 'le', 'plus', 'que', 'tu', 'en', 'fermeras', 'sera', 'le', 'meilleur']"
tc_p005v_preTEI,fenestre,"['en', 'part', 'puys', 'pose', 'une', 'foeuille', 'de', 'papier', 'sur', 'la']","['&', 'que', 'le', 'milieu', 'de', 'la', 'foeille', 'soict', 'sur', 'le']"
tc_p005v_preTEI,rue,"['&', 'il', 'te', 'representera', 'tout', 'ceulx', 'qui', 'passeront', 'en', 'la']","['sur', 'la', 'foeille', 'de', 'papier', 'De', 'mesmes', 'a', 'la', 'porte']"
tc_p005v_preTEI,porte percee dune chambre fermee,"['rue', 'sur', 'la', 'foeille', 'de', 'papier', 'De', 'mesmes', 'a', 'la']","['Tu', 'en', 'peulx', 'faire', 'dondes', '&', 'triangulaires', '&', 'de', 'la']"
tc_p005v_preTEI,soleil,"['loing', 'a', 'de', 'la', 'paille', 'allume', 'une', 'chandelle', 'avecq', 'le']","['A', 'la', 'reverberation', 'aussy', 'du', 'foeu', 'il', 'eschaufe']"
tc_p006r_preTEI,a la pluye,"['tout', 'a', 'huile', 'Et', 'cest', 'or', 'mat', 'ainsy', 'aplique', 'dure']","['comme', 'les', 'plomberies', 'dorees', '&', 'choses', 'semblables', 'Doncques', 'pour', 'or']"
tc_p007r_preTEI,ausoleil,"['lhuile', 'gras', 'qui', 'se', 'faict', 'en', 'sept', 'ou', 'huict', 'jours']","['avecq', 'de', 'lhuile', 'de', 'noix', 'et', 'du', 'blanc', 'de', 'plomb']"
tc_p007r_preTEI,a la pluye,"['la', 'foeille', 'dor', 'dessus', 'avecq', 'du', 'cotton', 'Cet', 'or', 'tiendra']","['sur', 'les', 'maysons', '&', 'ailleurs', 'Et', 'si', 'tu', 'auras', 'dore']"
tc_p008r_preTEI,muraille,"['Ayant', 'faict', 'trou', 'dans', 'la']","['comme', 'tu', 'scais', 'mects', 'un', 'mortier', 'dedans', 'charge', 'de', 'pouldre']"
tc_p009r_preTEI,a la frescheur &aux,"['sec', 'les', 'mestiviers', 'le', 'plus', 'souvent', 'le', 'battent', 'de', 'nuict']","['rays', 'de', 'la', 'lune', 'Ce', 'qui', 'ne', 'se', 'pourroict', 'faire']"
tc_p009r_preTEI,jugement,"['&', 'a', 'cestuy', 'cy', 'l', 'il', 'est', 'adjouxte', 'foy', 'en']",[]
tc_p011r_preTEI,veines de la montaigne,"['ou', 'vert', 'dazur', 'se', 'trouve', 'qui', 'naturellement', 'distille', 'par', 'les']","['Ou', 'qui', 'est', 'par', 'alambic', 'distillee', 'par', 'des', 'pierres', 'mineralles']"
tc_p012r_preTEI,au vent,"['le', 'grisastre', '&', 'vif', 'nest', 'pas', 'bon', 'Ne', 'gecte', 'pas']","['&', 'au', 'froict', 'car', 'il', 'soufleroit']"
tc_p012r_preTEI,au froict,"['vif', 'nest', 'pas', 'bon', 'Ne', 'gecte', 'pas', 'au', 'vent', '&']","['car', 'il', 'soufleroit']"
tc_p012r_preTEI,montaigne,"['Celuy', 'de']","['est', 'plus', 'gris', 'et', 'le', 'celuy', 'dalbigeois', 'plus', 'blanc', 'Il']"
tc_p012v_preTEI,pres,"['par', 'dedans', '&', 'lors', 'je', 'la', 'laissay', 'de', 'soymesmes', 'refroidir']","['du', 'feu', 'car', 'aultrement', 'lexposant', 'tout', 'a', 'coup', 'a', 'lair']"
tc_p013v_preTEI,chambre,"['mect', 'de', 'la', 'pouldre', 'dicelle', 'sur', 'un', 'brasier', 'en', 'la']","['de', 'quelques', 'uns', 'de', 'nuict', 'quilz', 'ne', 'pourront', 'se', 'mouvoir']"
tc_p013v_preTEI,vent d,"['d', 'eliers', 'ne', 'font', 'bonne', 'chan', 'd', 'elle', 'lorsque', 'le']","['haultan', 'soufle', 'pourcequelle', 'est', 'tousjours', 'fon', 'd', 'ante', 'quelque', 'bon']"
tc_p014r_preTEI,bon & fertile territoire,"['pas', 'par', 'tout', 'de', 'semblables', 'terres', 'Ceulx', 'qui', 'sont', 'en']","['Ayants', 'designe', 'avecq', 'le', 'cordeau', 'les', 'largeur', '&', 'longueur', 'de']"
tc_p016v_preTEI,en lieu frais & sec,"['je', 'croy', 'que', 'cest', 'asses', 'de', 'les', 't', 'en', 'ir']","['de', 'telle', 'sorte', 'quelles', 'ne', 'soi', 'en', 't', 'point', 'pressees']"
