folio,text in tag,before,after
tcn_p001v_preTEI,estomac,"['&', 'si', 'on', 'veult', 'un', 'peu', 'de', 'canelle', 'pour', 'l']",[]
tcn_p001v_preTEI,ventre,"['de', 'l', 'eau', '&', 'en', 'prendre', 'au', 'matin', 'lasche', 'le']",[]
tcn_p003r_preTEI,doigt,"['donner', 'corps', 'au', 'vernis', 'lequel', 'se', 'doibt', 'coucher', 'avecq', 'le']","['affin', 'de', 'l', 'estendre', 'plus', 'delié', 'et', 'moings', 'espés', 'car']"
tcn_p004r_preTEI,doigt,"['et', 's', 'il', 'est', 'gras', 'en', 'le', 'maniant', 'avecq', 'le']","['c', 'est', 'faict', 'Et', 'pour', 'une', 'lb', 'd', 'huile', 'd']"
tcn_p004v_preTEI,joinctée,"['la', 'grosseur', 'd', 'une', 'noix', 'de', 'poix', 'noire', '&', 'une']","['de', 'bled', 'de', 'froment', 'sans', 'oster', 'les', 'aulx', '&', 'oignons']"
tcn_p005r_preTEI,visaige,"['de', 'pres', 'il', 'te', 'represente', 'à', 'l', 'endroit', 'mays', 'le']","['fort', 'grand', '&', 'le', 'poil', 'de', 'la', 'barbe', 'gros', 'comme']"
tcn_p005r_preTEI,poil de la barbe,"['à', 'l', 'endroit', 'mays', 'le', 'visaige', 'fort', 'grand', '&', 'le']","['gros', 'comme']"
tcn_p005v_preTEI,teston,"['fisselle', '&', 'representera', 'aussi', 'un']","['grand', 'comme', 'une', 'assiette', 'et', 'les', 'femmes', 'voyent', 'les', 'lieulx']"
tcn_p005v_preTEI,lieulxsecrets,"['teston', 'grand', 'comme', 'une', 'assiette', 'et', 'les', 'femmes', 'voyent', 'les']","['qu', 'elles', 'ne', 'veulent', 'pas', 'monstrer', 'aulx', 'chirurgiens', 'Il', 'gecte']"
tcn_p005v_preTEI,doigt,"['la', 'representation', 'hors', 'de', 'soy', 'et', 'si', 'tu', 'touches', 'du']","['le', 'lieu', 'l', 'oeil', 'de', 'la', 'representation', 'un', 'aultre', 'doigt']"
tcn_p005v_preTEI,doigt,"['doigt', 'le', 'lieu', 'l', 'oeil', 'de', 'la', 'representation', 'un', 'aultre']","['viendra', 'contre', 'le', 'tien']"
tcn_p005v_preTEI,petit doigt,"['Fais', 'à', 'celle', 'd', 'embas', 'un', 'trou', 'gros', 'comme', 'le']","['tout', 'rond', 'de', 'part', 'en', 'part', 'Puys', 'pose', 'une', 'foeuille']"
tcn_p006v_preTEI,main,"['l', 'aultre', 'bout', 'de', 'la', 'canulle', 'se', 'tient', 'avecq', 'la']","['pource', 'que', 'elle', 'n', 'est', 'poinct', 'chaulde', 'Quand', 'la', 'canulle']"
tcn_p007r_preTEI,bouche,"['La', 'colle', 'de']","['se', 'faict', 'de', 'ratisseures', 'de', 'parchemin', 'et', 'on', 's', 'en']"
tcn_p007r_preTEI,bouche,"['pour', 'coller', 'papier', 'ou', 'choses', 'semblables', 'la', 'mouillant', 'avecq', 'la']",[]
tcn_p007v_preTEI,matrice,"['sont', 'pour', 'une', 'dose', 'Excellent', 'remede', 'contre', 'la', 'suffocation', 'de']",[]
tcn_p007v_preTEI,urine,"['jaulne', 'subtillement', 'pulverisée', 'demy', 'once', 'de', 'storax', '4', 'lb', 'd']","['incorporés', 'bien', 'tout', 'ensemble', 'peu', 'à', 'peu', 'dans', 'un', 'mortier']"
tcn_p007v_preTEI,urine,"['affin', 'que', 'la', 'fumée', 'n', 'exhale', 'poinct', 'Aprés', 'distillés', 'l']","['cest', 'imbibée', '&', 'separée', 'par', 'inclination', 'en', 'un', 'alembic', 'bien']"
tcn_p011r_preTEI,ongle,"['gros', 'ne', 'se', 'peut', 'travailler', 'Essaye', 'le', 'doncq', 'sur', 'l']","['ou', 'sur', 'la', 'pallette', 'à', 'huile', 'S', 'il', 'se', 'trouve']"
tcn_p011v_preTEI,yeulx,"['cru', '&', 'avecq', 'un', 'bandeau', 'aplique', 'la', 'nuict', 'sur', 'les']",[]
tcn_p011v_preTEI,ongle,"['C', 'est', 'pourquoy', 'il', 'ne', 'mord', 'pas', 'facillement', 'sur', 'l']","['qui', 'est', 'polie', '&', 'grasse', 'Mays', 'quand', 'le', 'poliment', 'est']"
tcn_p012r_preTEI,doigt,"['espés', 'ton', 'plastre', 'en', 'eau', '&', 'desmelle', 'bien', 'avecq', 'le']","['et', 's', 'il', 'faict', 'des', 'pustules', 'jectes', 'y', 'dessus', 'de']"
tcn_p012r_preTEI,doigt,"['dessus', 'de', 'la', 'pouldre', 'dudict', 'plastre', '&', 'broye', 'avecq', 'le']","['jusques', 'à', 'ce']"
tcn_p012v_preTEI,bouche,"['charbons', 'à', 'demy', 'bruslés', 'et', 'ne', 'souflay', 'qu', 'avecq', 'la']","['Et', 'touteffois', 'la', 'chose', 'vint', 'à', 'rougir', '&', 'prendre', 'ignition']"
tcn_p013v_preTEI,doigt,"['un', 'papier', '&', 'l', 'acaches', '&', 'l', 'estens', 'avecq', 'le']","['pource', 'que', 'si', 'elle', 'est', 'meslée', 'elle', 'se', 'trouvera', 'diverse']"
tcn_p014r_preTEI,pied,"['lesquelles', 'ilz', 'gectent', 'la', 'terre', 'faisant', 'chasque', 'couche', 'd', 'un']","['ou', 'environ', 'l', 'entremeslant', 'comme', 'S', 'S', 'S', 'de', 'branches']"
tcn_p015v_preTEI,oeil,"['y', 'rien', 'mectre', 'dedans', 'et', 'selon', 'le', 'proverbe', 'à', 'l']","['&', 'à', 'l', 'oreille', 'il', 'n', 'y', 'fault', 'toucher', 'que']"
tcn_p015v_preTEI,oreille,"['et', 'selon', 'le', 'proverbe', 'à', 'l', 'oeil', '&', 'à', 'l']","['il', 'n', 'y', 'fault', 'toucher', 'que', 'du', 'coulde', 'Touteffois', 'à']"
tcn_p015v_preTEI,coulde,"['à', 'l', 'oreille', 'il', 'n', 'y', 'fault', 'toucher', 'que', 'du']","['Touteffois', 'à', 'l', 'oreille', 'affectée', 'est', 'bon', 'de', 'mectre', 'du']"
tcn_p015v_preTEI,oreille,"['n', 'y', 'fault', 'toucher', 'que', 'du', 'coulde', 'Touteffois', 'à', 'l']","['affectée', 'est', 'bon', 'de', 'mectre', 'du', 'cothon', 'musqué', 'c', 'est']"
tcn_p015v_preTEI,oreille,"['Aulcuns', 'mectent', 'une', 'gousse', 'd', 'ail', 'dans', 'l']","['qui', 'est', 'du', 'costé', 'que', 'la', 'dent', 'faict', 'mal', '&']"
tcn_p015v_preTEI,dent,"['ail', 'dans', 'l', 'oreille', 'qui', 'est', 'du', 'costé', 'que', 'la']","['faict', 'mal', '&', 'en', 'deux', 'ou', 'trois', 'heures', 'ilz', 's']"
tcn_p015v_preTEI,narine,"['heures', 'ilz', 's', 'en', 'trouvent', 'bien', 'Aultres', 'mectent', 'dans', 'la']","['qui', 'est', 'du', 'costé', 'de', 'la', 'dent', 'qui', 'deult', 'de']"
tcn_p015v_preTEI,dent,"['mectent', 'dans', 'la', 'narine', 'qui', 'est', 'du', 'costé', 'de', 'la']","['qui', 'deult', 'de', 'la', 'peau', 'verte', 'raclee', 'deu', 'serment', 'de']"
tcn_p016r_preTEI,poignées,"['mectent', 'à', 'la', 'bouche', 'de', 'leur', 'fonte', 'deulx', 'ou', 'trois']","['d', 'hiebles', 'comme', 'ilz', 'veulent', 'faire', 'courre', 'la', 'fonte', 'Et']"
tcn_p018r_preTEI,poulse,"['que', 'chasque', 'refoulement', 'faict', 'haulser', '&', 'done', 'advantage', 'd', 'un']","['Mays', 'cela', 'n', 'est', 'gueres', 'asseuré', 'pour', 'les', 'grandes', 'pieces']"
tcn_p019v_preTEI,ongle du poulce droict,"['le', 'rond', 'justement', 'avecq', 'la', 'plume', '&', 'aultrement', 'avecq', 'l']","['&', 'le', 'grand', 'doigt', 'replyé', 'Si', 'tu', 'n', 'as', 'poinct']"
tcn_p019v_preTEI,granddoigt,"['&', 'aultrement', 'avecq', 'l', 'ongle', 'du', 'poulce', 'droict', '&', 'le']","['replyé', 'Si', 'tu', 'n', 'as', 'poinct', 'de', 'reigle', 'replye', 'du']"
tcn_p019v_preTEI,vent,"['le', 'clistere', 'Il', 'est', 'vray', 'qu', 'elle', 'faict', 'tousjours', 'du']","['à', 'la', 'fin']"
tcn_p020v_preTEI,vents de l’,"['aussi', 'confite', 'est', 'exce', 'l', 'l', 'ente', 'pour', 'l', 'es']","['estomac', 'Et', 'pour', 'en', 'faire', 'preuve', 'ayant', 'versé', 'du', 'vin']"
tcn_p020v_preTEI,estomac,"['escorce', 'aussi', 'confite', 'est', 'excellente', 'pour', 'les', 'vents', 'de', 'l']","['Et', 'pour', 'en', 'faire', 'preuve', 'ayant', 'versé', 'du', 'vin', 'escumant']"
tcn_p020v_preTEI,doigt,"['les', 'moyeulx', 'bien', 'saulpouldrés', 'de', 'sucre', 'Et', 'aprés', 'bois', 'un']","['de', 'vin', 'Et', 'oultre', 'ce', 'que', 'cela', 'est', 'nourrissant', 'il']"
tcn_p020v_preTEI,ventre,"['Et', 'oultre', 'ce', 'que', 'cela', 'est', 'nourrissant', 'il', 'faict', 'bon']",[]
tcn_p023r_preTEI,doigt,"['fer', 'd', 'un', 'pan', 'de', 'long', '&', 'grosses', 'comme', 'le']","['qui', 'ayent', 'la', 'poincte', 'comme', 'un', 'vibrequin', 'guinbelet', '&', 'toute']"
tcn_p023r_preTEI,doigts,"['et', 'que', 'la', 'liste', 'soict', 'large', 'de', 'quattre', 'ou', 'cinq']","['Fais', 'la', 'bien', 'couldre', 'de', 'sorte', 'qu', 'elle', 'soict', 'comme']"
tcn_p024r_preTEI,visaige,"['verre', 'qui', 's', 'y', 'mect', 'avecq', 'affin', 'que', 'par', 'le']","['ou', 'lieulx', 'que', 'la', 'pouldre', 'fera', 'son', 'effect', 'les', 'blessures']"
tcn_p024r_preTEI,blessures,"['visaige', 'ou', 'lieulx', 'que', 'la', 'pouldre', 'fera', 'son', 'effect', 'les']","['en', 'soient', 'pires', 'La', 'meilleure', 'pouldre', 'd', 'harquebus', 'y', 'est']"
tcn_p024r_preTEI,doigt,"['la', 'grenade', '&', 'sortir', 'hors', 'd', 'icelle', 'un', 'travers', 'de']","['Tu', 'l', 'empliras', 'de', 'bonne', 'pouldre', 'pilée', 'dans', 'un', 'mortier']"
tcn_p024r_preTEI,main,"['Pour', 'gecter', 'ta', 'grenade', 'prens', 'la', 'hardiment', '&', 'd', 'une']","['&', 'de', 'l', 'aultre', 'donne', 'foeu', 'avecq', 'la', 'une', 'meche']"
tcn_p024v_preTEI,doigts,"['tables', 'pour', 'faire', 'la', 'solle', 'ou', 'platteforme', 'qui', 'ont', 'quattre']","['ou', 'demy', 'pied', 'd', 'espés', 'et', 'on', 'les', 'enchasse', 'en']"
tcn_p024v_preTEI,pied,"['la', 'solle', 'ou', 'platteforme', 'qui', 'ont', 'quattre', 'doigts', 'ou', 'demy']","['d', 'espés', 'et', 'on', 'les', 'enchasse', 'en', 'terre', 'La', 'platteforme']"
tcn_p024v_preTEI,pieds,"['largeur', 'des', 'roues', 'du', 'canon', 'de', 'cinq', 'ou', 'six', 'cano']","['de', 'chasque', 'costé', 'm', 's', 'il', 'n', 'y', 'ha', 'qu']"
tcn_p028v_preTEI,genoils,"['moules', 'froids', 'qu', 'ilz', 'tiennnent', 'joincts', '&', 'serrés', 'entre', 'les']","['Et', 'bientost', 'ilz', 'ouvrent', 'les', 'moules', 'affin', 'qu', 'ilz', 'ne']"
tcn_p030r_preTEI,bras,"['pas', 'en', 'saulmon', 'mays', 'en', 'lattes', 'de', 'la', 'longueur', 'du']","['ou', 'environ', '&', 'de', 'largeur', 'de', 'trois', 'doigts', 'Il', 's']"
tcn_p030r_preTEI,doigts,"['longueur', 'du', 'bras', 'ou', 'environ', '&', 'de', 'largeur', 'de', 'trois']","['Il', 's', 'en', 'porte', 'à', 'Lyon', 'et', 'de', 'cestuy', 'cy']"
tcn_p030v_preTEI,petitdoigt,"['leur', 'desgrusoue', 'desgrusouer', 'd', 'une', 'corde', 'grosse', 'corde', 'comme', 'le']","['&', 'l', 'apuyent', 'ferme', 'sur', 'la', 'barre', 'traversante', 'pour', 'le']"
tcn_p030v_preTEI,main,"['promptement', 'ilz', 'conduisent', 'le', 'trenchant', 'de', 'l', 'esgrusouer', 'avecq', 'la']","['s', 'au', 'bord', 'du', 'rond', 'cave', '&', 'doulcement', 'le', 'conduisent']"
tcn_p031r_preTEI,poignées,"['force', 'branches', 'l', 'ayant', 'labourée', 'mects', 'a', 'chasque', 'pied', 'deulx']","['de', 'fiente', 'de', 'pigeon']"
tcn_p031r_preTEI,urine distillée,['L'],"['le', 'vinaigre', 'distillé', 'et', 'l', 'eau', 'de', 'vye', 'prenent', 'taincture']"
tcn_p031r_preTEI,doigt,"['se', 'fondroit', 'Mays', 'on', 'les', 'frotte', 'de', 'couleur', 'avecq', 'le']",[]
tcn_p033r_preTEI,nes,"['caché', 'dans', 'le', 'manche', 'Et', 'quand', 'tu', 'vouldras', 'coupper', 'le']","['ou', 'le', 'doigt', 'fais', 'semblant', 'd', 'esguiser', 'ton', 'cousteau', 'sur']"
tcn_p033r_preTEI,doigt,"['manche', 'Et', 'quand', 'tu', 'vouldras', 'coupper', 'le', 'nes', 'ou', 'le']","['fais', 'semblant', 'd', 'esguiser', 'ton', 'cousteau', 'sur', 'la', 'cuisse', 'et']"
tcn_p033r_preTEI,cuisse,"['le', 'doigt', 'fais', 'semblant', 'd', 'esguiser', 'ton', 'cousteau', 'sur', 'la']","['et', 'en', 'en', 'ce', 'faisant', 'tu', 'tourneras', 'le', 'cousteau', 'dextrement']"
tcn_p033r_preTEI,doigt,"['endroict', 'de', 'la', 'coche', 'que', 'tu', 'couvriras', 'l', 'd', 'un']","['te', 'viendra', 'en', 'main', 'et', 'tu', 'poseras', 'la', 'coche', 'colorée']"
tcn_p033r_preTEI,main,"['que', 'tu', 'couvriras', 'l', 'd', 'un', 'doigt', 'te', 'viendra', 'en']","['et', 'tu', 'poseras', 'la', 'coche', 'colorée', 'de', 'rosette', 'de', 'bresil']"
tcn_p033r_preTEI,nes,"['de', 'bresil', 'ou', 'du', 'jus', 'de', 'cerises', 'noires', 'sur', 'le']",[]
tcn_p033r_preTEI,visage,"['mots', 'de', 'passe', 'passe', 'affin', 'qu', 'ilz', 'le', 'regardent', 'au']","['&', 'non', 'pas', 'à', 'ses', 'mains']"
tcn_p033r_preTEI,mains,"['ilz', 'le', 'regardent', 'au', 'visage', '&', 'non', 'pas', 'à', 'ses']",[]
tcn_p033r_preTEI,indice,"['curedant', '&', 'la', 'm', 'mects', 'l', 'un', 'bout', 'entre', 'l']","['&', 'le', 'grand', 'doigt', 'et', 'enlasse', 'les', 'deulx', 'mains', 'les']"
tcn_p033r_preTEI,grand doigt,"['m', 'mects', 'l', 'un', 'bout', 'entre', 'l', 'indice', '&', 'le']","['et', 'enlasse', 'les', 'deulx', 'mains', 'les', 'doigt', 's', 'bien', 'joincts']"
tcn_p033r_preTEI,mains,"['l', 'indice', '&', 'le', 'grand', 'doigt', 'et', 'enlasse', 'les', 'deulx']","['les', 'doigts', 'bien', 'joincts', 'et', 'les', 'passe', 'dextrement', 'aultour', 'de']"
tcn_p033r_preTEI,doigts,"['&', 'le', 'grand', 'doigt', 'et', 'enlasse', 'les', 'deulx', 'mains', 'les']","['bien', 'joincts', 'et', 'les', 'passe', 'dextrement', 'aultour', 'de', 'la', 'chandelle']"
tcn_p033r_preTEI,mains,"['couvrir', '&', 'ton', 'osier', 's', 'allumera', '&', 'soubdain', 'retire', 'les']","['jo', 'ainsy', 'enlassées', '&', 'soubdain', 'tue', 'la', 'chandelle', 'Et', 'puys']"
tcn_p033r_preTEI,mains,"['enlassées', '&', 'soubdain', 'tue', 'la', 'chandelle', 'Et', 'puys', 'remects', 'tes']","['aultour', 'comme', 'si', 'tu', 'la', 'voulois', 'couvrir', '&', 'ta', 'petite']"
tcn_p033r_preTEI,paulmes,"['moyen', 'de', 'la', 'fumée', 'que', 'tu', 'retiens', 'avecq', 'les', 'deulx']","['la', 'chandelle', 's', 'allumera', 'Puys', 'soubdain', 'estains', 'ton', 'ozier', '&']"
tcn_p033v_preTEI,front,"['et', 'la', 'mouille', 'et', 'te', 'la', 'fais', 'tenir', 'contre', 'le']","['Puys', 'dis', 'à', 'l', 'assistant', 'que', 'si', 'tu', 'la', 'luy']"
tcn_p033v_preTEI,front,"['assistant', 'que', 'si', 'tu', 'la', 'luy', 'mects', 'ainsy', 'sur', 'son']","['qu', 'il', 'ne', 'la', 'pourra', 'faire', 'tumber', 'sans', 'y', 'porter']"
tcn_p033v_preTEI,mains,"['il', 'ne', 'la', 'pourra', 'faire', 'tumber', 'sans', 'y', 'porter', 'les']","['quelque', 'secouement', 'qu', 'il', 'fasse', 'de', 'la', 'teste', 'Et', 'faisant']"
tcn_p033v_preTEI,teste,"['porter', 'les', 'mains', 'quelque', 'secouement', 'qu', 'il', 'fasse', 'de', 'la']","['Et', 'faisant', 'semblant', 'de', 'la', 'luy', 'poser', 'sur', 'le', 'front']"
tcn_p033v_preTEI,front,"['teste', 'Et', 'faisant', 'semblant', 'de', 'la', 'luy', 'poser', 'sur', 'le']","['retiens', 'la', 'dans', 'la', 'main', '&', 'mouille', 'ton', 'pouse', 'de']"
tcn_p033v_preTEI,main,"['il', 'ne', 'la', 'pourra', 'faire', 'tumber', 'sans', 'y', 'porter', 'les']","['s', 'quelque', 'secouement', 'qu', 'il', 'fasse', 'de', 'la', 'teste', 'Et']"
