folio,text in tag,before,after
tcn_p001r_preTEI,fleur de,"['des', 'Escrivains', 'pres', 'Sainct', 'Jaques', 'de', 'la', 'Boucherie', 'courroyeur', 'Essayer']",['pastel']
tcn_p001v_preTEI,foeilles de ,"['Antonin', '&', 'si', 'tu', 'veulx', 'parmy', 'tu', 'pourras', 'mectre', 'des']","['mauves', '&', 'de', 'viole', 'y', 'adjoustant', 'du', 'sucre', '&', 'si']"
tcn_p001v_preTEI,sucre,"['des', 'foeilles', 'de', 'mauves', '&', 'de', 'viole', 'y', 'adjoustant', 'du']","['&', 'si', 'on', 'veult', 'un', 'peu', 'de', 'canelle', 'pour', 'l']"
tcn_p001v_preTEI,bouillon de ,"['Ou', 'bien', 'dans', 'un']","['poulet', 'de', 'la', 'racine', 'de', 'guimave', 'La', 'fresche', 'est', 'plus']"
tcn_p001v_preTEI,racinede ,"['Ou', 'bien', 'dans', 'un', 'bouillon', 'de', 'poulet', 'de', 'la']","['guimave', 'La', 'fresche', 'est', 'plus', 'remollitive']"
tcn_p001v_preTEI,cirop de ,"['Battre', 'du']","['guindoles', 'doulces', 'avecq', 'de', 'l', 'eau', '&', 'en', 'prendre', 'au']"
tcn_p001v_preTEI,eau,"['Battre', 'du', 'cirop', 'de', 'guindoles', 'doulces', 'avecq', 'de', 'l']","['&', 'en', 'prendre', 'au', 'matin', 'lasche', 'le', 'ventre']"
tcn_p002r_preTEI,Huile de tourmentine,[],"['huile', 'de', 'Jacob', 'et', 'sel', 'tiré', 'de', 'la', 'cendre', 'de']"
tcn_p002r_preTEI,huile de Jacob,"['Huile', 'de', 'tourmentine']","['et', 'sel', 'tiré', 'de', 'la', 'cendre', 'de', 'choux']"
tcn_p002r_preTEI,sel tiré dela cendre,"['Huile', 'de', 'tourmentine', 'huile', 'de', 'Jacob', 'et']","['de', 'choux']"
tcn_p002v_preTEI,miniu,"['J', 'ai', 'prins']","['m', '26', '℥', 'christal', 'et', 'broié', 'sur', 'le', 'marbre', '12']"
tcn_p002v_preTEI,marbre,"['ai', 'prins', 'minium', '26', '℥', 'christal', 'et', 'broié', 'sur', 'le']","['12', '℥', 'verdet', '3', '|ʒ|', 'Incorporés', 'le', 'tout', 'ensemble', 'mis']"
tcn_p002v_preTEI,v,"['26', '℥', 'christal', 'et', 'broié', 'sur', 'le', 'marbre', '12', '℥']","['erdet', '3', '|ʒ|', 'Incorporés', 'le', 'tout', 'ensemble', 'mis', 'dans', 'un']"
tcn_p002v_preTEI,miniu,"['J', 'ai', 'prins']","['m', '12', '℥', 'christal', '6', '℥', 'verdet', '2', 'grains', 'Fuzion']"
tcn_p002v_preTEI,v,"['J', 'ai', 'prins', 'minium', '12', '℥', 'christal', '6', '℥']","['erdet', '2', 'grains', 'Fuzion', 'doulce', 'v', 'i', 'heures', 'recuicte', '24']"
tcn_p002v_preTEI,Caillous,[],"['ou', 'christal', '8', '℥', 'minium', '16', '℥', 'sel', 'de', 'febvre']"
tcn_p002v_preTEI,miniu,"['Caillous', 'ou', 'christal', '8', '℥']","['m', '16', '℥', 'sel', 'de', 'febvre', '4', '℥', 'coryal', 'extincellent']"
tcn_p002v_preTEI,sel de ,"['Caillous', 'ou', 'christal', '8', '℥', 'minium', '16', '℥']","['febvre', '4', '℥', 'coryal', 'extincellent', '4', 'grains', 'Fuzion', '6', 'heures']"
tcn_p002v_preTEI,coryal,"['8', '℥', 'minium', '16', '℥', 'sel', 'de', 'febvre', '4', '℥']","['extincellent', '4', 'grains', 'Fuzion', '6', 'heures']"
tcn_p003r_preTEI,boys,"['Il', 'fault', 'premierement', 'faire', 'les', 'branches', 'de']","['ou', 'prendre', 'une', 'branche', 'd', 'espine', 'bisarre', 'puys', 'fondre', 'une']"
tcn_p003r_preTEI,branche d’espine,"['premierement', 'faire', 'les', 'branche', 's', 'de', 'boys', 'ou', 'prendre', 'une']","['bisarre', 'puys', 'fondre', 'une', 'lb', 'de', 'poix', 'resine', 'claire', 'de']"
tcn_p003r_preTEI,poix resine claire,"['une', 'branche', 'd', 'espine', 'bisarre', 'puys', 'fondre', 'une', 'lb', 'de']","['de', 'la', 'plus', 'belle', 'et', 'y', 'mectre', 'une', 'once', 'de']"
tcn_p003r_preTEI,vermeillon broyé subtillem,"['de', 'la', 'plus', 'belle', 'et', 'y', 'mectre', 'une', 'once', 'de']","['ent', 'avecq', 'huile', 'de', 'noix', 'et', 'si', 'tu', 'y', 'adjoustes']"
tcn_p003r_preTEI,huile de ,"['et', 'y', 'mectre', 'une', 'once', 'de', 'vermeillon', 'broyé', 'subtillement', 'avecq']","['noix', 'et', 'si', 'tu', 'y', 'adjoustes', 'un', 'peu', 'de', 'laque']"
tcn_p003r_preTEI,laque platte de,"['de', 'noix', 'et', 'si', 'tu', 'y', 'adjoustes', 'un', 'peu', 'de']","['Venise', 'la', 'couleur', 'en', 'sera', 'plus', 'vive', 'et', 'remuer', 'le']"
tcn_p003r_preTEI,resine,"['branche', 'd', 'espine', 'bisarre', 'puys', 'fondre', 'une', 'lb', 'de', 'poix']","['claire', 'de', 'la', 'plus', 'belle', 'et', 'y', 'mectre', 'une', 'once']"
tcn_p003r_preTEI,charbon,"['remuer', 'le', 'tout', 'dans', 'la', 'resine', 'fondue', 'sur', 'foeu', 'de']","['et', 'non', 'de', 'flamme', 'de', 'peur', 'que', 'le', 'feu', 'ne']"
tcn_p003r_preTEI,charbon,"['restoit', 'quelque', 'filament', 'tourne', 'la', 'branche', 'sur', 'la', 'chaleur', 'du']",[]
tcn_p003r_preTEI,colophonie,['La'],"['n', 'est', 'aultre', 'chose', 'que', 'rousine', 'recuite', 'Pour', 'bien', 'la']"
tcn_p003r_preTEI,rousine,"['La', 'colophonie', 'n', 'est', 'aultre', 'chose', 'que']","['recuite', 'Pour', 'bien', 'la', 'faire', 'ayes', 'un', 'pot', 'plombé', '&']"
tcn_p003r_preTEI,plombé,"['que', 'rousine', 'recuite', 'Pour', 'bien', 'la', 'faire', 'ayes', 'un', 'pot']","['&', 'fais', 'fondre', 'la', 'resine', '&', 'bouillir', 'sur', 'brasier', 'une']"
tcn_p003r_preTEI,resine,"['la', 'faire', 'ayes', 'un', 'pot', 'plombé', '&', 'fais', 'fondre', 'la']","['&', 'bouillir', 'sur', 'brasier', 'une', 'bonne', 'heure', '&', 'jusques', 'à']"
tcn_p003r_preTEI,eau,"['ne', 'demonstre', 'estre', 'poinct', 'espesse', 'ains', 'claire', '&', 'liquide', 'comme']","['&', 'que', 'facillement', 'elle', 'coule', '&', 'file', 'au', 'bout', 'd']"
tcn_p003r_preTEI,gros caneva,"['&', 'en', 'fais', 'l', 'essay', 'Lors', 'coule', 'la', 'par', 'quelque']","['ou', 'estamine', 'bien', 'claire', 'de', 'sorte', 'qu', 'en', 'coulant', 'elle']"
tcn_p003r_preTEI,estamine bien claire,"['l', 'essay', 'Lors', 'coule', 'la', 'par', 'quelque', 'gros', 'caneva', 'ou']","['de', 'sorte', 'qu', 'en', 'coulant', 'elle', 'tombe', 'dans', 'du', 'vinaigre']"
tcn_p003r_preTEI,vinaigre,"['claire', 'de', 'sorte', 'qu', 'en', 'coulant', 'elle', 'tombe', 'dans', 'du']","['le', 'plus', 'fort', 'que', 'tu', 'pourras', 'car', 'le', 'vinaigre', 'luy']"
tcn_p003r_preTEI,vinaigre,"['du', 'vinaigre', 'le', 'plus', 'fort', 'que', 'tu', 'pourras', 'car', 'le']","['luy', 'donne', 'force', '&', 'l', 'empesche', 'd', 'estre', 'si', 'frangible']"
tcn_p003r_preTEI,coral,"['&', 'elle', 'sera', 'belle', '&', 'bien', 'purifiée', 'Pour', 'contrefaire', 'ton']","['tu', 'peulx', 'mesler', 'la', 'quarte', 'partie', 'de', 'mastic', 'parmy', 'ta']"
tcn_p003r_preTEI,mastic,"['contrefaire', 'ton', 'coral', 'tu', 'peulx', 'mesler', 'la', 'quarte', 'partie', 'de']","['parmy', 'ta', 'rousine', 'purifiée', 'pour', 'la', 'rendre', 'plus', 'ferme', 'et']"
tcn_p003r_preTEI,rousine purifiée,"['tu', 'peulx', 'mesler', 'la', 'quarte', 'partie', 'de', 'mastic', 'parmy', 'ta']","['pour', 'la', 'rendre', 'plus', 'ferme', 'et', 'plus', 'belle', '&', 'si']"
tcn_p003r_preTEI,mastic,"['plus', 'belle', '&', 'si', 'tu', 'prenois', 'la', 'seule', 'larme', 'du']","['tant', 'mieulx', 'seroit', 'mais', 'il', 'seroit', 'trop', 'long']"
tcn_p003r_preTEI,Soufre,[],"['&', 'vermeillon', 'faict', 'le', 'mesme', 'effect']"
tcn_p003r_preTEI,vermeillon,"['Soufre', '&']","['faict', 'le', 'mesme', 'effect']"
tcn_p003r_preTEI,coral,['Le'],"['faict', 'd', 'esmail', 'de', 'gueule', 'endure', 'la', 'lime', 'et', 'le']"
tcn_p003r_preTEI,esmail de gueule,"['Le', 'coral', 'faict', 'd']","['endure', 'la', 'lime', 'et', 'le', 'polissement']"
tcn_p003r_preTEI,ciment,"['Il', 'se', 'faict', 'comme', 'le']","['qui', 'est', 'plus', 'fort', 'meslé', 'de', 'verre', 'que', 'de', 'pilé']"
tcn_p003r_preTEI,verre ,"['faict', 'comme', 'le', 'ciment', 'qui', 'est', 'plus', 'fort', 'meslé', 'de']","['que', 'de', 'pilé', 'que', 'de', 'brique', 'Ainsy', 'on', 'y', 'mesle']"
tcn_p003r_preTEI,brique,"['plus', 'fort', 'meslé', 'de', 'verre', 'que', 'de', 'pilé', 'que', 'de']","['Ainsy', 'on', 'y', 'mesle', 'avecq', 'le', 'vermeillon', 'de', 'l', 'esmail']"
tcn_p003r_preTEI,vermeillon,"['pilé', 'que', 'de', 'brique', 'Ainsy', 'on', 'y', 'mesle', 'avecq', 'le']","['de', 'l', 'esmail', 'de', 'gueule', 'qui', 'est', 'rouge', 'en', 'corps']"
tcn_p003r_preTEI,esmail,"['brique', 'Ainsy', 'on', 'y', 'mesle', 'avecq', 'le', 'vermeillon', 'de', 'l']","['de', 'gueule', 'qui', 'est', 'rouge', 'en', 'corps', 'bien', 'pilé', 'Ainsy']"
tcn_p003r_preTEI,esmails,"['rouge', 'en', 'corps', 'bien', 'pilé', 'Ainsy', 'de', 'toutes', 'couleurs', 'd']",[]
tcn_p003r_preTEI,tourmentine de,"['Prendre', 'une', 'lb', 'de']","['Venise', '&', 'la', 'faire', 'chaufer', 'dans', 'un', 'pot', 'jusques', 'à']"
tcn_p003r_preTEI,huile de tormentine,"['ce', 'qu', 'elle', 'fremisse', 'et', 'mectre', 'dedans', 'demy', 'lb', 'd']","['de', 'la', 'plus', 'blanche', 'que', 'tu', 'pourras', 'et', 'la', 'remuer']"
tcn_p003r_preTEI,charbon,"['tu', 'pourras', 'et', 'la', 'remuer', 'bien', 'ensemble', 'sur', 'foeu', 'de']","['et', 'l', 'oster', 'incontinent', 'Et', 'elle', 'c', 'est', 'faict', 'Mays']"
